정답여부, 문제 번호, 문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1006,습격자 초라기
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1020,디지털 카운터
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1023,괄호 문자열
true,1024,수열의 합
true,1025,제곱수 찾기
true,1026,보물
true,1027,고층 건물
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1030,프렉탈 평면
true,1031,스타 대결
true,1032,명령 프롬프트
true,1033,칵테일
true,1034,램프
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1041,주사위
true,1043,거짓말
true,1044,팀 선발
true,1045,도로
true,1047,울타리
true,1049,기타줄
true,1051,숫자 정사각형
true,1052,물병
true,1053,팰린드롬 공장
true,1056,수
true,1057,토너먼트
true,1058,친구
true,1059,수2
true,1062,가르침
true,1063,킹
true,1064,평행사변형
true,1065,한수
true,1067,이동
true,1068,트리
true,1069,집으로
true,1071,소트
true,1072,게임
true,1073,도미노
true,1074,Z
true,1075,나누기
true,1076,저항
true,1077,넓이
true,1080,행렬
true,1081,합
true,1082,방 번호
true,1083,소트
true,1084,방 번호 2
true,1085,직사각형에서 탈출
true,1086,박성원
true,1087,쥐 잡기
true,1088,케이크
true,1089,엘리베이터
true,1090,체커
true,1092,배
true,1093,스티커 수집
true,1094,막대기
true,1100,하얀 칸
true,1101,스티커 정리 1
true,1102,발전소
true,1103,게임
true,1105,팔
true,1106,호텔
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1114,통나무 자르기
true,1115,순열
true,1116,순열 2
true,1119,그래프
true,1120,문자열
true,1121,도형
true,1124,언더프라임
true,1126,같은 탑
true,1127,떡국
true,1128,피보나치 냅색
true,1129,키
true,1132,합
true,1135,뉴스 전하기
true,1138,한 줄로 서기
true,1139,울타리
true,1141,접두사
true,1143,경찰
true,1144,싼 비용
true,1145,적어도 대부분의 배수
true,1146,지그재그 서기
true,1149,RGB거리
true,1150,백업
true,1152,단어의 개수
true,1153,네 개의 소수
true,1154,팀 편성
true,1155,변형 하노이
true,1156,장난감
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1160,Random Number Generator
true,1161,버스
true,1162,도로포장
true,1164,가리기
true,1166,선물
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1170,선인장의 개수
true,1171,사오정
true,1172,선인장 Automorphisms
true,1173,운동
true,1177,조쌤포스
true,1178,간선 추가
true,1179,마지막 요세푸스 문제
true,1180,선인장의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1183,약속
true,1184,귀농
true,1185,유럽여행
true,1186,직사각형 색칠하기
true,1187,숫자 놀이
true,1188,음식 평론가
true,1189,컴백홈
true,1191,게임
true,1192,장갑
true,1193,분수찾기
true,1195,킥다운
true,1196,잭 바우어
true,1197,최소 스패닝 트리
true,1198,삼각형으로 자르기
true,1199,오일러 회로
true,1200,기상예측
true,1201,NMK
true,1202,보석 도둑
true,1205,등수 구하기
true,1206,사람의 수
true,1208,부분수열의 합 2
true,1209,단조수열 만들기
true,1210,마피아
true,1211,보일의 법칙
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1214,쿨한 물건 구매
true,1215,잘못 작성한 요세푸스 코드
true,1217,하우스 M.D.
true,1218,로봇
true,1219,오민식의 고민
true,1220,MEGACITY
true,1222,홍준 프로그래밍 대회
true,1225,이상한 곱셈
true,1226,국회
true,1227,그녀의 마음
true,1229,빅뱅의 여섯 번째 멤버
true,1230,문자열 거리
true,1231,주식왕 동호
true,1233,주사위
true,1234,크리스마스 트리
true,1235,학생 번호
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1239,차트
true,1240,노드사이의 거리
true,1241,머리 톡톡
true,1242,소풍
true,1243,팰린드롬
true,1244,스위치 켜고 끄기
true,1245,농장 관리
true,1246,온라인 판매
true,1247,부호
true,1248,맞춰봐
true,1249,워드똑똑
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1253,좋다
true,1254,팰린드롬 만들기
true,1256,사전
true,1257,엄청난 부자
true,1258,문제 할당
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1262,알파벳 다이아몬드
true,1263,시간 관리
true,1264,모음의 개수
true,1265,순열
true,1267,핸드폰 요금
true,1268,임시 반장 정하기
true,1269,대칭 차집합
true,1270,전쟁 - 땅따먹기
true,1271,엄청난 부자2
true,1273,샷
true,1275,커피숍2
true,1276,교각 놓기
true,1277,발전소 설치
true,1278,연극
true,1279,내멋대로 주사위
true,1280,나무 심기
true,1281,보석상
true,1282,P-수열
true,1284,집 주소
true,1285,동전 뒤집기
true,1286,부분 직사각형
true,1287,할 수 있다
true,1288,전쟁 - 국지전
true,1289,트리의 가중치
true,1291,이면수와 임현수
true,1292,쉽게 푸는 문제
true,1294,문자열 장식
true,1295,평면도
true,1296,데이트
true,1297,TV 크기
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1305,광고
true,1306,달려라 홍준
true,1309,동물원
true,1310,달리기 코스
true,1312,소수
true,1315,RPG
true,1316,그룹 단어 체커
true,1321,군인
true,1322,X와 K
true,1325,효율적인 해킹
true,1326,폴짝폴짝
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1337,올바른 배열
true,1339,단어 수학
true,1340,연도 진행바
true,1342,행운의 문자열
true,1343,폴리오미노
true,1344,축구
true,1345,등차수열
true,1348,주차장
true,1350,진짜 공간
true,1351,무한 수열
true,1354,무한 수열 2
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1358,하키
true,1359,복권
true,1360,되돌리기
true,1365,꼬인 전깃줄
true,1368,물대기
true,1369,배열값
true,1371,가장 많은 글자
true,1372,단어 합치기
true,1373,2진수 8진수
true,1374,강의실
true,1376,민식우선탐색
true,1377,버블 소트
true,1379,강의실 2
true,1380,귀걸이
true,1384,메시지
true,1387,배열 교환
true,1389,케빈 베이컨의 6단계 법칙
true,1390,테트리스
true,1391,종이접기
true,1392,노래 악보
true,1395,스위치
true,1396,크루스칼의 공
true,1398,동전 문제
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1406,에디터
true,1407,2로 몇 번 나누어질까
true,1408,24
true,1412,일방통행
true,1413,박스 안의 열쇠
true,1415,사탕
true,1416,팬 서비스
true,1418,K-세준수
true,1420,학교 가지마!
true,1423,원숭이 키우기
true,1424,새 앨범
true,1425,원숭이 땅을 옮기다
true,1427,소트인사이드
true,1431,시리얼 번호
true,1432,그래프 수정
true,1436,영화감독 숌
true,1438,가장 작은 직사각형
true,1439,뒤집기
true,1442,멋진 수
true,1444,숌 언어
true,1445,일요일 아침의 데이트
true,1446,지름길
true,1448,삼각형 만들기
true,1450,냅색문제
true,1453,피시방 알바
true,1459,걷기
true,1460,진욱이의 농장
true,1461,도서관
true,1462,퀴즈쇼
true,1463,1로 만들기
true,1467,수 지우기
true,1470,올림픽 게임
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1478,정사각형
true,1479,네 부분문자열
true,1480,보석 모으기
true,1484,다이어트
true,1485,정사각형
true,1489,대결
true,1492,합
true,1494,절댓값 수열
true,1495,기타리스트
true,1499,뒤집기 수열
true,1500,최대 곱
true,1502,숫자 퍼즐 ≤ 8
true,1504,특정한 최단 경로
true,1506,경찰서
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1521,랜덤 소트
true,1524,세준세비
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1528,금민수의 합
true,1531,투명
true,1533,길의 개수
true,1535,안녕
true,1536,"Dance, Dance"
true,1539,이진 검색 트리
true,1541,잃어버린 괄호
true,1542,체스 연습
true,1543,문서 검색
true,1544,사이클 단어
true,1545,안티 팰린드롬
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1557,제곱 ㄴㄴ
true,1560,비숍
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1564,팩토리얼5
true,1565,수학
true,1566,P배열
true,1568,새
true,1572,중앙값
true,1573,트리 인코딩
true,1574,룩 어택
true,1575,졸업
true,1577,도로의 개수
true,1579,보물 찾기
true,1582,아티스트 이동호
true,1583,이동호의 트럭
true,1585,경찰
true,1587,이분 매칭
true,1591,수열 복원
true,1593,문자 해독
true,1595,북쪽나라의 도로
true,1598,꼬리를 무는 숫자 나열
true,1602,도망자 원숭이
true,1605,반복 부분문자열
true,1607,원숭이 타워
true,1608,스타 대회
true,1611,강강술래
true,1612,가지고 노는 1
true,1613,역사
true,1615,교차개수세기
true,1616,드럼통 메시지
true,1617,허후민
true,1619,점 고르기
true,1620,나는야 포켓몬 마스터 이다솜
true,1622,공통 순열
true,1624,데크 소트
true,1626,두 번째로 작은 스패닝 트리
true,1629,곱셈
true,1633,최고의 팀 만들기
true,1637,날카로운 눈
true,1638,컨벡스 헐
true,1639,행운의 티켓
true,1640,동전 뒤집기
true,1642,딱따구리
true,1644,소수의 연속합
true,1645,성지의 생일파티
true,1646,피이보나치 트리
true,1647,도시 분할 계획
true,1648,격자판 채우기
true,1649,택시
true,1650,지민이의 테러 Season II
true,1652,누울 자리를 찾아라
true,1653,양팔 저울
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1657,두부장수 장홍준
true,1658,돼지 잡기
true,1659,수
true,1660,캡틴 이다솜
true,1663,XYZ 문자열
true,1665,화물열차
true,1666,최대 증가 직사각형 집합
true,1667,지민이의 테러 Season IV
true,1668,트로피 진열
true,1669,멍멍이 쓰다듬기
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1672,DNA 해독
true,1673,치킨 쿠폰
true,1675,팬더 밥주기
true,1676,팩토리얼 0의 개수
true,1680,쓰레기 수거
true,1681,줄 세우기
true,1682,돌리기
true,1684,같은 나머지
true,1686,복날
true,1687,행렬 찾기
true,1688,지민이의 테러
true,1689,겹치는 선분
true,1691,석판
true,1692,뒤집기
true,1693,트리 색칠하기
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1698,보안 패널
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1702,고속도로
true,1703,생장점
true,1704,붕어빵타이쿤
true,1705,컵
true,1707,이분 그래프
true,1708,볼록 껍질
true,1711,직각삼각형
true,1712,손익분기점
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1718,암호
true,1720,타일 코드
true,1722,순열의 순서
true,1723,점 나누기
true,1725,히스토그램
true,1726,로봇
true,1727,커플 만들기
true,1731,추론
true,1732,레이저
true,1733,등번호
true,1734,교통 체계
true,1735,분수 합
true,1736,쓰레기 치우기
true,1737,Pibonacci
true,1739,도로 정비하기
true,1740,거듭제곱
true,1741,반 나누기
true,1742,레이싱결과
true,1743,음식물 피하기
true,1744,수 묶기
true,1745,숨기
true,1746,단체 릴레이
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1749,점수따먹기
true,1750,서로소의 개수
true,1751,디버그
true,1752,세상에서 제일 착한 다솜
true,1753,최단경로
true,1754,진영 순열
true,1755,숫자놀이
true,1756,피자 굽기
true,1757,달려달려
true,1758,알바생 강호
true,1759,암호 만들기
true,1760,N-Rook
true,1761,정점들의 거리
true,1762,평면그래프와 삼각형
true,1763,트리 색칠
true,1764,듣보잡
true,1765,닭싸움 팀 정하기
true,1766,문제집
true,1767,N-Rook II
true,1769,3의 배수
true,1771,카드 묶음
true,1772,정원 정리
true,1773,폭죽쇼
true,1774,우주신과의 교감
true,1777,순열복원
true,1780,종이의 개수
true,1781,컵라면
true,1783,병든 나이트
true,1785,보드 게임
true,1786,찾기
true,1787,문자열의 주기 예측
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1792,공약수
true,1793,타일링
true,1796,신기한 키보드
true,1797,균형잡힌 줄서기
true,1799,비숍
true,1800,인터넷 설치
true,1801,직사각형 만들기
true,1802,종이 접기
true,1803,무술 연습
true,1805,나무수송
true,1806,부분합
true,1810,징검다리 달리기 2
