정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1074,Z
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1103,게임
true,1107,리모컨
true,1115,순열
true,1135,뉴스 전하기
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1327,소트 게임
true,1330,두 수 비교하기
true,1351,무한 수열
true,1389,케빈 베이컨의 6단계 법칙
true,1392,노래 악보
true,1405,미친 로봇
true,1406,에디터
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1463,1로 만들기
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1516,게임 개발
true,1528,금민수의 합
true,1535,안녕
true,1546,평균
true,1550,16진수
true,1561,놀이 공원
true,1600,말이 되고픈 원숭이
true,1629,곱셈
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1717,집합의 표현
true,1725,히스토그램
true,1759,암호 만들기
true,1764,듣보잡
true,1786,찾기
true,1793,타일링
true,1799,비숍
true,1854,K번째 최단경로 찾기
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1938,통나무 옮기기
true,1953,팀배분
true,1966,프린터 큐
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2015,수들의 합 4
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2078,무한이진트리
true,2104,부분배열 고르기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2231,분해합
true,2234,성곽
true,2243,사탕상자
true,2266,금고 테스트
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2336,굉장한 학생
true,2357,최솟값과 최댓값
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2481,해밍 경로
true,2493,탑
true,2495,연속구간
true,2504,괄호의 값
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2531,회전 초밥
true,2548,대표 자연수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2565,전깃줄
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2615,오목
true,2617,구슬 찾기
true,2623,음악프로그램
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2805,나무 자르기
true,2839,설탕 배달
true,2846,오르막길
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2905,홍준이와 울타리
true,2921,도미노
true,2933,미네랄
true,2960,에라토스테네스의 체
true,2979,트럭 주차
true,2980,도로와 신호등
true,3052,나머지
true,3055,탈출
true,3079,입국심사
true,3085,사탕 게임
true,3108,로고
true,3109,빵집
true,3184,양
true,3186,소변기
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3568,iSharp
true,3653,영화 수집
true,3671,산업 스파이의 편지
true,3876,sed 이용
true,3985,롤 케이크
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4781,사탕 가게
true,4889,안정적인 문자열
true,4963,섬의 개수
true,5012,불만 정렬
true,5021,왕위 계승
true,5052,전화번호 목록
true,5076,Web Pages
true,5212,지구 온난화
true,5217,쌍의 합
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5430,AC
true,5532,방학 숙제
true,5613,계산기 프로그램
true,5721,사탕 줍기 대회
true,5988,홀수일까 짝수일까
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,7785,회사에 있는 사람
true,8393,합
true,8895,막대 배치
true,8922,두찌 수열
true,8958,OX퀴즈
true,8984,막대기
true,9012,괄호
true,9047,6174
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9316,Hello Judge
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9492,Perfect Shuffle
true,9498,시험 성적
true,9518,로마 카톨릭 미사
true,9520,NP-hard
true,9613,GCD 합
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10429,QUENTO
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10610,30
true,10699,오늘 날짜
true,10708,크리스마스 파티
true,10718,We love kriii
true,10775,공항
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10864,친구
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10987,모음의 개수
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11365,!밀비 급일
true,11403,경로 찾기
true,11441,합 구하기
true,11505,구간 곱 구하기
true,11507,카드셋트
true,11508,2+1 세일
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11774,MOLEKULE
true,11950,2016 IOI
true,11970,Fence Painting
true,11971,속도 위반
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12760,최후의 승자는 누구?
true,12791,Starman
true,12865,평범한 배낭
true,13023,ABCDE
true,13265,색칠하기
true,13302,리조트
true,13458,시험 감독
true,13561,House Rental
true,13717,포켓몬 GO
true,13752,히스토그램
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14430,자원 캐기
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14570,나무 위의 구슬
true,14614,Calculate!
true,14645,와이버스 부릉부릉
true,14647,준오는 조류혐오야!!
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14918,더하기
true,15552,빠른 A+B
true,15592,Blocked Billboard II
true,15593,Lifeguards (Bronze)
true,15643,Yee
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15662,톱니바퀴 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15680,연세대학교
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15733,나는 누구인가
true,15763,Team Tic Tac Toe
true,15764,Milking Order
true,15765,Family Tree
true,15802,타노스
true,15961,회전 초밥
true,15997,승부 예측
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16933,벽 부수고 이동하기 3
true,16953,A → B
true,16954,움직이는 미로 탈출
true,16956,늑대와 양
true,16957,체스판 위의 공
true,16958,텔레포트
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17281,⚾
false,1275,커피숍2
false,1504,특정한 최단 경로
false,1726,로봇
false,1929,소수 구하기
false,2001,보석 줍기
false,2637,장난감조립
false,2941,크로아티아 알파벳
false,3954,Brainf**k 인터프리터
false,7469,K번째 수
false,10837,동전 게임
false,11404,플로이드
false,11440,피보나치 수의 제곱의 합
false,13460,구슬 탈출 2
false,14852,타일 채우기 3
false,15594,Out of Place
false,16914,K번째 부분 문자열
false,16989,Baaaaaaaaaduk2 (Hard)
false,17106,빙고
