정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1023,괄호 문자열
true,1026,보물
true,1029,그림 교환
true,1031,스타 대결
true,1039,교환
true,1068,트리
true,1074,Z
true,1085,직사각형에서 탈출
true,1102,발전소
true,1108,검색 엔진
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1181,단어 정렬
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1210,마피아
true,1219,오민식의 고민
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1275,커피숍2
true,1280,나무 심기
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1305,광고
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1339,단어 수학
true,1348,주차장
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1405,미친 로봇
true,1406,에디터
true,1420,학교 가지마!
true,1427,소트인사이드
true,1431,시리얼 번호
true,1449,수리공 항승
true,1456,거의 소수
true,1463,1로 만들기
true,1484,다이어트
true,1493,박스 채우기
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1546,평균
true,1557,제곱 ㄴㄴ
true,1562,계단 수
true,1574,룩 어택
true,1585,경찰
true,1605,반복 부분문자열
true,1613,역사
true,1626,두 번째로 작은 스패닝 트리
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1657,두부장수 장홍준
true,1658,돼지 잡기
true,1671,상어의 저녁식사
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1733,등번호
true,1738,골목길
true,1743,음식물 피하기
true,1745,숨기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1766,문제집
true,1780,종이의 개수
true,1786,찾기
true,1787,문자열의 주기 예측
true,1806,부분합
true,1848,동굴 탐험
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1867,돌멩이 제거
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1944,복제 로봇
true,1948,임계경로
true,1949,우수 마을
true,1956,운동
true,1965,상자넣기
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2001,보석 줍기
true,2003,수들의 합 2
true,2014,소수의 곱
true,2038,골롱 수열
true,2042,구간 합 구하기
true,2051,최소 버텍스 커버
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2152,여행 계획 세우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2185,직사각형의 합집합
true,2188,축사 배정
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2213,트리의 독립집합
true,2225,합분해
true,2230,수 고르기
true,2231,분해합
true,2243,사탕상자
true,2248,이진수 찾기
true,2252,줄 세우기
true,2268,수들의 합
true,2287,모노디지털 표현
true,2291,Sequence
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2311,왕복 여행
true,2316,도시 왕복하기 2
true,2331,반복수열
true,2336,굉장한 학생
true,2339,석판 자르기
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2370,시장 선거 포스터
true,2401,최대 문자열 붙여넣기
true,2414,게시판 구멍 막기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2494,숫자 맞추기
true,2512,예산
true,2522,별 찍기 - 12
true,2533,사회망 서비스(SNS)
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2570,비숍2
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2623,음악프로그램
true,2630,색종이 만들기
true,2637,장난감조립
true,2644,촌수계산
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2798,블랙잭
true,2805,나무 자르기
true,2809,아스키 거리
true,2839,설탕 배달
true,2848,알고스팟어
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2904,수학은 너무 쉬워
true,2908,상수
true,2920,음계
true,2939,택배 배달
true,2960,에라토스테네스의 체
true,3006,터보소트
true,3033,가장 긴 문자열
true,3047,ABC
true,3052,나머지
true,3055,탈출
true,3080,아름다운 이름
true,3117,YouTube
true,3119,울타리
true,3176,도로 네트워크
true,3197,백조의 호수
true,3295,단방향 링크 네트워크
true,3392,화성 지도
true,3640,제독
true,3653,영화 수집
true,3665,최종 순위
true,3666,리스크
true,3687,성냥개비
true,3736,System Engineer
true,3745,오름세
true,3748,Lucky cities
true,3780,네트워크 연결
true,3896,소수 사이 수열
true,3977,축구 전술
true,4013,ATM
true,4195,친구 네트워크
true,4196,도미노
true,4198,열차정렬
true,4222,Mining Your Own Business
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4358,생태학
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4716,풍선
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,5014,스타트링크
true,5052,전화번호 목록
true,5398,틀렸습니다
true,5419,북서풍
true,5427,불
true,5446,용량 부족
true,5557,1학년
true,5582,공통 부분 문자열
true,5622,다이얼
true,5651,완전 중요한 간선
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5719,거의 최단 경로
true,5735,Emoticons :-)
true,6086,최대 유량
true,6236,용돈 관리
true,6241,Dining
true,6264,Sub-dictionary
true,6300,단어 퍼즐
true,6497,전력난
true,6543,그래프의 싱크
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7154,Job Postings
true,7287,등록
true,7469,K번째 수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7616,교실로 가는 길
true,7626,직사각형
true,8012,한동이는 영업사원!
true,8393,합
true,8879,Surely You Congest
true,8898,스포츠 전문 채널 GSK
true,8912,Sales
true,8958,OX퀴즈
true,8992,집기 게임
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9240,로버트 후드
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9253,스페셜 저지
true,9328,열쇠
true,9345,디지털 비디오 디스크(DVDs)
true,9370,미확인 도착지
true,9373,복도 뚫기
true,9413,제주도 관광
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9525,룩 배치하기
true,9576,책 나눠주기
true,9577,토렌트
true,9613,GCD 합
true,9663,N-Queen
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10070,벽
true,10159,저울
true,10167,금광
true,10171,고양이
true,10172,개
true,10217,KCM Travel
true,10252,그리드 그래프
true,10254,고속도로
true,10256,돌연변이
true,10265,MT
true,10319,좀비 아포칼립스
true,10413,반복되는 부분 문자열
true,10423,전기가 부족해
true,10430,나머지
true,10451,순열 사이클
true,10473,인간 대포
true,10534,락페스티벌
true,10538,빅 픽쳐
true,10718,We love kriii
true,10775,공항
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10825,국영수
true,10826,피보나치 수 4
true,10830,행렬 제곱
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10838,트리
true,10839,미술관
true,10844,쉬운 계단 수
true,10845,큐
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10891,Cactus? Not cactus?
true,10937,두부 모판 자르기
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,10999,구간 합 구하기 2
true,11000,강의실 배정
true,11004,K번째 수
true,11005,진법 변환 2
true,11014,컨닝 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11085,군사 이동
true,11111,두부장수 장홍준 2
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11406,책 구매하기 2
true,11407,책 구매하기 3
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11437,LCA
true,11438,LCA 2
true,11478,서로 다른 부분 문자열의 개수
true,11479,서로 다른 부분 문자열의 개수 2
true,11493,동전 교환
true,11495,격자 0 만들기
true,11505,구간 곱 구하기
true,11562,백양로 브레이크
true,11563,연돌이와 고잠녀
true,11568,민균이의 계략
true,11585,속타는 저녁 메뉴
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11670,초등 수학
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11758,CCW
true,11816,"8진수, 10진수, 16진수"
true,12015,가장 긴 증가하는 부분 수열 2
true,12738,가장 긴 증가하는 부분 수열 3
true,12837,가계부 (Hard)
true,12844,XOR
true,12852,1로 만들기 2
true,12858,Range GCD
true,12865,평범한 배낭
true,13161,분단의 슬픔
true,13166,범죄 파티
true,13264,접미사 배열 2
true,13276,Prefix와 Suffix
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13303,장애물 경기
true,13304,방 배정
true,13305,주유소
true,13306,트리
true,13308,주유소
true,13309,트리
true,13441,마법의 나무
true,13752,히스토그램
true,13904,과제
true,13907,세금
true,13925,수열과 쿼리 13
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14286,간선 끊어가기 2
true,14425,문자열 집합
true,14433,한조 대기 중
