정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1069,집으로
true,1072,게임
true,1074,Z
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1110,더하기 사이클
true,1120,문자열
true,1135,뉴스 전하기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1219,오민식의 고민
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1269,대칭 차집합
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1312,소수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1351,무한 수열
true,1374,강의실
true,1377,버블 소트
true,1379,강의실 2
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1477,휴게소 세우기
true,1486,등산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1528,금민수의 합
true,1543,문서 검색
true,1546,평균
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1670,정상 회담 2
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1725,히스토그램
true,1737,Pibonacci
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1786,찾기
true,1799,비숍
true,1806,부분합
true,1849,순열
true,1850,최대공약수
true,1865,웜홀
true,1866,택배
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1990,소수인팰린드롬
true,1992,쿼드트리
true,2010,플러그
true,2011,암호코드
true,2024,선분 덮기
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2141,우체국
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2161,카드1
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2211,네트워크 복구
true,2217,로프
true,2224,명제 증명
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2237,수열 축소
true,2240,자두나무
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2291,Sequence
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2306,유전자
true,2307,도로검문
true,2309,일곱 난쟁이
true,2331,반복수열
true,2343,기타 레슨
true,2401,최대 문자열 붙여넣기
true,2407,조합
true,2417,정수 제곱근
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2460,지능형 기차 2
true,2468,안전 영역
true,2470,두 용액
true,2474,교차 선분
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2479,경로 찾기
true,2480,주사위 세개
true,2482,색상환
true,2485,가로수
true,2487,섞기 수열
true,2490,윷놀이
true,2491,수열
true,2492,보석
true,2493,탑
true,2495,연속구간
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2507,공주 구하기
true,2512,예산
true,2525,오븐 시계
true,2531,회전 초밥
true,2535,아시아 정보올림피아드
true,2538,모눈종이 자르기
true,2539,모자이크
true,2541,점
true,2548,대표 자연수
true,2550,전구
true,2551,두 대표 자연수
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2564,경비원
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2573,빙산
true,2575,수열
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2585,경비행기
true,2589,보물섬
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2617,구슬 찾기
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2644,촌수계산
true,2662,기업투자
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2684,동전 게임
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2789,유학 금지
true,2792,보석 상자
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2875,대회 or 인턴
true,2887,행성 터널
true,2908,상수
true,2910,빈도 정렬
true,2920,음계
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2981,검문
true,3035,스캐너
true,3036,링
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3063,게시판
true,3079,입국심사
true,3117,YouTube
true,3653,영화 수집
true,3758,KCPC
true,3780,네트워크 연결
true,3933,라그랑주의 네 제곱수 정리
true,3981,큐브러버
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4354,문자열 제곱
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5060,무글 맵스
true,5338,마이크로소프트 로고
true,5376,소수를 분수로
true,5430,AC
true,5522,카드 게임
true,5523,경기 결과
true,5524,입실 관리
true,5525,IOIOI
true,5557,1학년
true,5566,주사위 게임
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5635,생일
true,6064,카잉 달력
true,6086,최대 유량
true,6236,용돈 관리
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6986,절사평균
true,6987,월드컵
true,6988,타일 밟기
true,7287,등록
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7573,고기잡이
true,7576,토마토
true,7578,공장
true,7579,앱
true,7785,회사에 있는 사람
true,7795,먹을 것인가 먹힐 것인가
true,8393,합
true,8452,그래프와 쿼리
true,8462,배열의 힘
true,8958,OX퀴즈
true,8979,올림픽
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9322,철벽 보안 알고리즘
true,9345,디지털 비디오 디스크(DVDs)
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9417,최대 GCD
true,9460,메탈
true,9461,파도반 수열
true,9466,텀 프로젝트
true,9498,시험 성적
true,9613,GCD 합
true,9663,N-Queen
true,9935,문자열 폭발
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10160,암호
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10253,헨리
true,10272,현상금 사냥꾼 김정은
true,10282,해킹
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10610,30
true,10713,기차 여행
true,10715,JOI 공원
true,10718,We love kriii
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10801,카드게임
true,10803,정사각형 만들기
true,10804,카드 역배치
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10825,국영수
true,10828,스택
true,10829,이진수 변환
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11000,강의실 배정
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11098,첼시를 도와줘!
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11444,피보나치 수 6
true,11506,占쏙옙
true,11509,풍선 맞추기
true,11567,선진이의 겨울 왕국
true,11585,속타는 저녁 메뉴
true,11652,카드
true,11654,아스키 코드
true,11660,구간 합 구하기 5
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11866,요세푸스 문제 0
true,11929,발렌타인 데이
true,11974,Subsequences Summing to Sevens
true,12016,라운드 로빈 스케줄러
true,12761,돌다리
true,12764,싸지방에 간 준하
true,12851,숨바꼭질 2
true,13241,최소공배수
true,13250,주사위 게임
true,13300,방 배정
true,13301,타일 장식물
true,13325,이진 트리
true,13333,Q-인덱스
true,13334,철로
true,13335,트럭
true,13547,수열과 쿼리 5
true,13549,숨바꼭질 3
true,13711,LCS 4
true,13903,출근
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14697,방 배정하기
true,14748,Flow Graph Complexity
true,14863,서울에서 경산까지
true,14864,줄서기
true,14867,물통
true,14868,문명
true,15552,빠른 A+B
true,15684,사다리 조작
true,15772,Segmentation
true,15802,타노스
true,15820,맞았는데 왜 틀리죠?
true,16639,괄호 추가하기 3
true,17952,과제는 끝나지 않아!
true,18221,교수님 저는 취업할래요
false,2146,다리 만들기
false,2234,성곽
false,3184,양
