정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1039,교환
true,1065,한수
true,1072,게임
true,1074,Z
true,1076,저항
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1202,보석 도둑
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1275,커피숍2
true,1280,나무 심기
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1339,단어 수학
true,1371,가장 많은 글자
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1493,박스 채우기
true,1516,게임 개발
true,1525,퍼즐
true,1546,평균
true,1547,공
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1725,히스토그램
true,1735,분수 합
true,1743,음식물 피하기
true,1759,암호 만들기
true,1766,문제집
true,1780,종이의 개수
true,1826,연료 채우기
true,1871,좋은 자동차 번호판
true,1904,01타일
true,1912,연속합
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1934,최소공배수
true,1935,후위 표기식2
true,1966,프린터 큐
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2010,플러그
true,2042,구간 합 구하기
true,2104,부분배열 고르기
true,2108,통계학
true,2110,공유기 설치
true,2150,Strongly Connected Component
true,2161,카드1
true,2164,카드2
true,2166,다각형의 면적
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2207,가위바위보
true,2212,센서
true,2217,로프
true,2231,분해합
true,2252,줄 세우기
true,2254,감옥 건설
true,2268,수들의 합
true,2294,동전 2
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2338,긴자리 계산
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2386,도비의 영어 공부
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2501,약수 구하기
true,2503,숫자 야구
true,2506,점수계산
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2529,부등호
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2605,줄 세우기
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2693,N번째 큰 수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2789,유학 금지
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2845,파티가 끝나고 난 뒤
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2979,트럭 주차
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3006,터보소트
true,3020,개똥벌레
true,3034,앵그리 창영
true,3035,스캐너
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3052,나머지
true,3055,탈출
true,3076,상근이의 체스판
true,3078,좋은 친구
true,3079,입국심사
true,3085,사탕 게임
true,3460,이진수
true,3745,오름세
true,3878,점 분리
true,3986,좋은 단어
true,4101,크냐?
true,4344,평균은 넘겠지
true,4375,1
true,4411,The Trip
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4641,Doubles
true,4673,셀프 넘버
true,4796,캠핑
true,4880,다음수
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,5014,스타트링크
true,5032,탄산 음료
true,5063,TGN
true,5076,Web Pages
true,5218,알파벳 거리
true,5337,웰컴
true,5355,화성 수학
true,5363,요다
true,5397,키로거
true,5427,불
true,5430,AC
true,5522,카드 게임
true,5523,경기 결과
true,5524,입실 관리
true,5543,상근날드
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5613,계산기 프로그램
true,5622,다이얼
true,5704,팬그램
true,5717,상근이의 친구들
true,5724,파인만
true,6086,최대 유량
true,6236,용돈 관리
true,6397,Bit Maps
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7510,고급 수학
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7576,토마토
true,8393,합
true,8895,막대 배치
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9076,점수 집계
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9240,로버트 후드
true,9316,Hello Judge
true,9455,박스
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9550,아이들은 사탕을 좋아해
true,9610,사분면
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10093,숫자
true,10103,주사위 게임
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10176,Opposite Words
true,10178,할로윈의 사탕
true,10180,Ship Selection
true,10214,Baseball
true,10430,나머지
true,10448,유레카 이론
true,10597,순열장난
true,10610,30
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,10999,구간 합 구하기 2
true,11000,강의실 배정
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11170,0의 개수
true,11279,최대 힙
true,11286,절댓값 힙
true,11320,삼각 무늬 - 1
true,11365,!밀비 급일
true,11403,경로 찾기
true,11441,합 구하기
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11575,Affine Cipher
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11758,CCW
true,11809,YODA
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,11966,2의 제곱인가?
true,12015,가장 긴 증가하는 부분 수열 2
true,12096,
true,12738,가장 긴 증가하는 부분 수열 3
true,12837,가계부 (Hard)
true,12865,평범한 배낭
true,13118,뉴턴과 사과
true,13752,히스토그램
true,13904,과제
true,14645,와이버스 부릉부릉
true,14889,스타트와 링크
true,14910,오르막
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15637,Lotto
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15686,치킨 배달
true,15688,수 정렬하기 5
true,15732,도토리 숨기기
true,15781,헬멧과 조끼
true,15963,CASIO
true,15969,행복
true,16397,탈출
true,16434,드래곤 앤 던전
true,17136,색종이 붙이기
true,17173,배수들의 합
true,17202,핸드폰 번호 궁합
true,17210,문문문
true,17263,Sort 마스터 배지훈
true,17284,Vending Machine
true,17294,귀여운 수~ε٩(๑> ₃ <)۶з
true,17295,엔드게임 스포일러
true,17350,2루수 이름이 뭐야
true,17356,욱 제
true,18808,스티커 붙이기
false,1168,요세푸스 문제 2
false,1874,스택 수열
false,1933,스카이라인
false,15630,Binary Game
false,16500,문자열 판별
