정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1017,소수 쌍
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1032,명령 프롬프트
true,1037,약수
true,1039,교환
true,1049,기타줄
true,1051,숫자 정사각형
true,1059,수2
true,1065,한수
true,1068,트리
true,1069,집으로
true,1074,Z
true,1083,소트
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1135,뉴스 전하기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1153,네 개의 소수
true,1157,단어 공부
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1181,단어 정렬
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1202,보석 도둑
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1222,홍준 프로그래밍 대회
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1240,노드사이의 거리
true,1244,스위치 켜고 끄기
true,1246,온라인 판매
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1296,데이트
true,1297,TV 크기
true,1305,광고
true,1322,X와 K
true,1327,소트 게임
true,1331,나이트 투어
true,1342,행운의 문자열
true,1356,유진수
true,1365,꼬인 전깃줄
true,1392,노래 악보
true,1405,미친 로봇
true,1406,에디터
true,1421,나무꾼 이다솜
true,1439,뒤집기
true,1446,지름길
true,1450,냅색문제
true,1453,피시방 알바
true,1463,1로 만들기
true,1495,기타리스트
true,1500,최대 곱
true,1501,영어 읽기
true,1504,특정한 최단 경로
true,1522,문자열 교환
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1544,사이클 단어
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1614,영식이의 손가락
true,1617,허후민
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1669,멍멍이 쓰다듬기
true,1670,정상 회담 2
true,1672,DNA 해독
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1712,손익분기점
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1753,최단경로
true,1761,정점들의 거리
true,1763,트리 색칠
true,1764,듣보잡
true,1766,문제집
true,1769,3의 배수
true,1793,타일링
true,1803,무술 연습
true,1806,부분합
true,1818,책정리
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1904,01타일
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1932,정수 삼각형
true,1934,최소공배수
true,1940,주몽
true,1946,신입 사원
true,1947,선물 전달
true,1952,달팽이2
true,1958,LCS 3
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1987,알파벳
true,1990,소수인팰린드롬
true,1991,트리 순회
true,1992,쿼드트리
true,2002,추월
true,2004,조합 0의 개수
true,2010,플러그
true,2014,소수의 곱
true,2018,수들의 합 5
true,2023,신기한 소수
true,2036,수열의 점수
true,2042,구간 합 구하기
true,2052,지수연산
true,2056,작업
true,2072,오목
true,2096,내려가기
true,2109,순회강연
true,2133,타일 채우기
true,2136,개미
true,2150,Strongly Connected Component
true,2153,소수 단어
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2191,들쥐의 탈출
true,2207,가위바위보
true,2229,조 짜기
true,2230,수 고르기
true,2231,분해합
true,2243,사탕상자
true,2253,점프
true,2261,가장 가까운 두 점
true,2290,LCD Test
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2331,반복수열
true,2355,시그마
true,2357,최솟값과 최댓값
true,2358,평행선
true,2410,2의 멱수의 합
true,2417,정수 제곱근
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2435,기상청 인턴 신현수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2463,비용
true,2464,비밀번호
true,2468,안전 영역
true,2473,세 용액
true,2475,검증수
true,2476,주사위 게임
true,2485,가로수
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2506,점수계산
true,2508,사탕 박사 고창영
true,2511,카드놀이
true,2512,예산
true,2513,통학버스
true,2514,자동분무기
true,2515,전시장
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2527,직사각형
true,2531,회전 초밥
true,2535,아시아 정보올림피아드
true,2547,사탕 선생 고창영
true,2550,전구
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2560,짚신벌레
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2569,짐정리
true,2573,빙산
true,2576,홀수
true,2579,계단 오르기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2591,숫자카드
true,2596,비밀편지
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2616,소형기관차
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2641,다각형그리기
true,2644,촌수계산
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2672,여러 직사각형의 전체 면적 구하기
true,2684,동전 게임
true,2696,중앙값 구하기
true,2711,오타맨 고창영
true,2713,규현이의 사랑을 담은 문자메시지
true,2720,세탁소 사장 동혁
true,2721,삼각수의 합
true,2725,보이는 점의 개수
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2752,세수정렬
true,2753,윤년
true,2758,로또
true,2776,암기왕
true,2783,삼각 김밥
true,2784,가로 세로 퍼즐
true,2798,블랙잭
true,2805,나무 자르기
true,2816,디지털 티비
true,2818,숙제하기 싫을 때
true,2822,점수 계산
true,2847,게임을 만든 동준이
true,2864,5와 6의 차이
true,2875,대회 or 인턴
true,2877,4와 7
true,2909,캔디 구매
true,2910,빈도 정렬
true,2947,나무 조각
true,2949,45도
true,2953,나는 요리사다
true,2959,거북이
true,2979,트럭 주차
true,2986,파스칼
true,2987,사과나무
true,2993,세 부분
true,3028,창영마을
true,3033,가장 긴 문자열
true,3034,앵그리 창영
true,3041,N-퍼즐
true,3046,R2
true,3049,다각형의 대각선
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3063,게시판
true,3067,Coins
true,3077,임진왜란
true,3103,순열의 순서
true,3163,떨어지는 개미
true,3226,전화 요금
true,3273,두 수의 합
true,3295,단방향 링크 네트워크
true,3392,화성 지도
true,3460,이진수
true,3613,Java vs C++
true,3711,학번
true,3896,소수 사이 수열
true,3908,서로 다른 소수의 합
true,3933,라그랑주의 네 제곱수 정리
true,3944,나머지 계산
true,3985,롤 케이크
true,4095,최대 정사각형
true,4101,크냐?
true,4307,개미
true,4375,1
true,4388,받아올림
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4673,셀프 넘버
true,4773,로마 숫자 계산기
true,4779,칸토어 집합
true,4811,알약
true,4848,집합 숫자 표기법
true,4913,페르마의 크리스마스 정리
true,4933,뉴턴의 사과
true,4963,섬의 개수
true,4998,저금
true,4999,아!
true,5026,박사 과정
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5211,가단조와 다장조
true,5214,환승
true,5217,쌍의 합
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5354,J박스
true,5361,전투 드로이드 가격
true,5525,IOIOI
true,5532,방학 숙제
true,5535,패셔니스타
true,5543,상근날드
true,5544,리그
true,5545,최고의 피자
true,5546,파스타
true,5549,행성 탐사
true,5557,1학년
true,5567,결혼식
true,5582,공통 부분 문자열
true,5613,계산기 프로그램
true,5623,수열의 합
true,5635,생일
true,5636,소수 부분 문자열
true,5639,이진 검색 트리
true,5676,음주 코딩
true,5692,팩토리얼 진법
true,5698,Tautogram
true,5704,팬그램
true,5724,파인만
true,5789,한다 안한다
true,5883,아이폰 9S
true,6378,디지털 루트
true,6500,랜덤 숫자 만들기
true,6504,킬로미터를 마일로
true,6549,히스토그램에서 가장 큰 직사각형
true,6571,피보나치 수의 개수
true,6574,새로운 과일
true,6591,이항 쇼다운
true,7140,데이터 만들기 1
true,7141,데이터 만들기 2
true,7142,데이터 만들기 3
true,7287,등록
true,7469,K번째 수
true,7476,최대 공통 증가 수열
true,7562,나이트의 이동
true,7575,바이러스
true,7578,공장
true,7662,이중 우선순위 큐
true,7894,큰 수
true,8393,합
true,8462,배열의 힘
true,8892,팰린드롬
true,8895,막대 배치
true,8896,가위 바위 보
true,8913,문자열 뽑기
true,8958,OX퀴즈
true,8979,올림픽
true,8983,사냥꾼
true,9019,DSLR
true,9020,골드바흐의 추측
true,9081,단어 맞추기
true,9085,더하기
true,9204,체스
true,9241,바이러스 복제
true,9242,폭탄 해체
true,9243,파일 완전 삭제
true,9249,최장 공통 부분 문자열
true,9251,LCS
true,9252,LCS 2
true,9318,위성 사진
true,9322,철벽 보안 알고리즘
true,9325,얼마?
true,9358,순열 접기 게임
true,9372,상근이의 여행
true,9414,프로그래밍 대회 전용 부지
true,9421,소수상근수
true,9455,박스
true,9461,파도반 수열
true,9463,순열 그래프
true,9464,직사각형 집합
true,9465,스티커
true,9469,폰 노이만
true,9470,Strahler 순서
true,9494,Text Roll
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9518,로마 카톨릭 미사
true,9520,NP-hard
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9764,서로 다른 자연수의 합
true,9933,민균이의 비밀번호
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,9987,포켓몬 마스터
true,9996,한국이 그리울 땐 서버에 접속하지
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10041,관광
true,10093,숫자
true,10101,삼각형 외우기
true,10156,과자
true,10159,저울
true,10164,격자상의 경로
true,10166,관중석
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10212,Mystery
true,10214,Baseball
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10253,헨리
true,10256,돌연변이
true,10258,스위치 배열
true,10699,오늘 날짜
true,10718,We love kriii
false,1006,습격자 초라기
false,1016,제곱 ㄴㄴ 수
false,1038,감소하는 수
false,1046,그림자
false,1072,게임
false,1076,저항
false,1152,단어의 개수
false,1162,도로포장
false,1184,귀농
false,1283,단축키 지정
false,1287,할 수 있다
false,1292,쉽게 푸는 문제
false,1318,포커
false,1350,진짜 공간
false,1357,뒤집힌 덧셈
false,1373,2진수 8진수
false,1377,버블 소트
false,1427,소트인사이드
false,1431,시리얼 번호
false,1432,그래프 수정
false,1435,네 점
false,1443,망가진 계산기
false,1502,숫자 퍼즐 ≤ 8
false,1564,팩토리얼5
false,1629,곱셈
false,1673,치킨 쿠폰
false,1711,직각삼각형
false,1759,암호 만들기
false,1774,우주신과의 교감
false,1854,K번째 최단경로 찾기
false,1912,연속합
false,1927,최소 힙
false,1931,회의실배정
false,1964,"오각형, 오각형, 오각형…"
false,1973,버스 노선
false,2087,암호문
false,2090,조화평균
false,2193,이친수
false,2295,세 수의 합
false,2415,직사각형
false,2456,나는 학급회장이다
false,2466,책장
false,2467,용액
false,2470,두 용액
false,2492,보석
false,2530,인공지능 시계
false,2533,사회망 서비스(SNS)
