정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1065,한수
true,1072,게임
true,1080,행렬
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1126,같은 탑
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1175,배달
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1201,NMK
true,1212,8진수 2진수
true,1234,크리스마스 트리
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1280,나무 심기
true,1301,비즈 공예
true,1306,달려라 홍준
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1390,테트리스
true,1395,스위치
true,1412,일방통행
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1514,자물쇠
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1535,안녕
true,1541,잃어버린 괄호
true,1546,평균
true,1550,16진수
true,1557,제곱 ㄴㄴ
true,1561,놀이 공원
true,1574,룩 어택
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1671,상어의 저녁식사
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1725,히스토그램
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1760,N-Rook
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1777,순열복원
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1789,수들의 합
true,1849,순열
true,1854,K번째 최단경로 찾기
true,1867,돌멩이 제거
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1948,임계경로
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1983,숫자 박스
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1994,등차수열
true,2011,암호코드
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2099,The game of death
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2216,문자열과 점수
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2243,사탕상자
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2268,수들의 합
true,2281,데스노트
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2311,왕복 여행
true,2316,도시 왕복하기 2
true,2331,반복수열
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2443,별 찍기 - 6
true,2468,안전 영역
true,2475,검증수
true,2482,색상환
true,2490,윷놀이
true,2512,예산
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2631,줄세우기
true,2644,촌수계산
true,2662,기업투자
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2705,팰린드롬 파티션
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2758,로또
true,2798,블랙잭
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2920,음계
true,2922,즐거운 단어
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,3020,개똥벌레
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3056,007
true,3117,YouTube
true,3176,도로 네트워크
true,3197,백조의 호수
true,3392,화성 지도
true,3640,제독
true,3653,영화 수집
true,3745,오름세
true,3908,서로 다른 소수의 합
true,3977,축구 전술
true,4013,ATM
true,4153,직각삼각형
true,4195,친구 네트워크
true,4196,도미노
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5063,TGN
true,5069,미로에 갇힌 상근
true,5419,북서풍
true,5532,방학 숙제
true,5543,상근날드
true,5549,행성 탐사
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5676,음주 코딩
true,6086,최대 유량
true,6118,숨바꼭질
true,6359,만취한 상범
true,6497,전력난
true,6543,그래프의 싱크
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7469,K번째 수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,8012,한동이는 영업사원!
true,8320,직사각형을 만드는 방법
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9470,Strahler 순서
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9525,룩 배치하기
true,9576,책 나눠주기
true,9613,GCD 합
true,9653,스타워즈 로고
true,9655,돌 게임
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10282,해킹
true,10422,괄호
true,10430,나머지
true,10451,순열 사이클
true,10564,팔굽혀펴기
true,10573,증가하는 수
true,10610,30
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10982,행운쿠키 제작소
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11407,책 구매하기 3
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11437,LCA
true,11438,LCA 2
true,11441,합 구하기
true,11444,피보나치 수 6
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12026,BOJ 거리
true,12738,가장 긴 증가하는 부분 수열 3
true,12837,가계부 (Hard)
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12886,돌 그룹
true,12996,Acka
true,13549,숨바꼭질 3
true,13698,Hawk eyes
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14438,수열과 쿼리 17
true,14442,벽 부수고 이동하기 2
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14728,벼락치기
true,14868,문명
true,14888,연산자 끼워넣기
true,15486,퇴사 2
true,15558,점프 게임
true,15596,정수 N개의 합
true,15650,N과 M (2)
true,15653,구슬 탈출 4
true,15658,연산자 끼워넣기 (2)
true,15784,질투진서
true,15819,너의 핸들은
true,15820,맞았는데 왜 틀리죠?
true,15821,낚이고 낚아라
true,15989,"1, 2, 3 더하기 4"
true,15992,"1, 2, 3 더하기 7"
true,16195,"1, 2, 3 더하기 9"
true,16197,두 동전
true,16282,Black Chain
true,16283,Farm
true,16397,탈출
true,16404,주식회사 승범이네
true,16562,친구비
true,16678,모독
true,16681,등산
true,16920,확장 게임
true,16928,뱀과 사다리 게임
true,16933,벽 부수고 이동하기 3
true,16948,데스 나이트
true,16952,체스판 여행 2
true,16956,늑대와 양
true,16959,체스판 여행 1
true,16973,직사각형 탈출
true,17071,숨바꼭질 5
true,17398,통신망 분할
true,17412,도시 왕복하기 1
true,17435,합성함수와 쿼리
true,17436,소수의 배수
true,17520,Balanced String
true,17528,Two Machines
true,17626,Four Squares
false,17230,문제집 만들기
