정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1065,한수
true,1075,나누기
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1126,같은 탑
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1153,네 개의 소수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1255,전쟁 - 선전포고
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1325,효율적인 해킹
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1427,소트인사이드
true,1439,뒤집기
true,1463,1로 만들기
true,1475,방 번호
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1546,평균
true,1550,16진수
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1629,곱셈
true,1630,오민식
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1668,트로피 진열
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1760,N-Rook
true,1764,듣보잡
true,1786,찾기
true,1850,최대공약수
true,1854,K번째 최단경로 찾기
true,1866,택배
true,1867,돌멩이 제거
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1958,LCS 3
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1991,트리 순회
true,2004,조합 0의 개수
true,2010,플러그
true,2012,등수 매기기
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2051,최소 버텍스 커버
true,2066,카드놀이
true,2091,동전
true,2096,내려가기
true,2110,공유기 설치
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2231,분해합
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2306,유전자
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2381,최대 거리
true,2413,비슷한 순열
true,2414,게시판 구멍 막기
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2458,키 순서
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2501,약수 구하기
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2532,먹이사슬
true,2533,사회망 서비스(SNS)
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2566,최댓값
true,2568,전깃줄 - 2
true,2570,비숍2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2611,자동차경주
true,2617,구슬 찾기
true,2623,음악프로그램
true,2631,줄세우기
true,2636,치즈
true,2644,촌수계산
true,2653,안정된 집단
true,2658,직각이등변삼각형찾기
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2662,기업투자
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2671,잠수함식별
true,2673,교차하지 않는 원의 현들의 최대집합
true,2675,문자열 반복
true,2693,N번째 큰 수
true,2698,인접한 비트의 개수
true,2702,초6 수학
true,2713,규현이의 사랑을 담은 문자메시지
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2812,크게 만들기
true,2824,최대공약수
true,2842,집배원 한상덕
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2877,4와 7
true,2878,캔디캔디
true,2881,산책길
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2914,저작권
true,2934,LRH 식물
true,2953,나는 요리사다
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3036,링
true,3046,R2
true,3049,다각형의 대각선
true,3052,나머지
true,3055,탈출
true,3058,짝수를 찾아라
true,3392,화성 지도
true,3683,고양이와 개
true,3908,서로 다른 소수의 합
true,4095,최대 정사각형
true,4101,크냐?
true,4153,직각삼각형
true,4233,가짜소수
true,4307,개미
true,4485,녹색 옷 입은 애가 젤다지?
true,4587,이집트 분수
true,4673,셀프 넘버
true,4921,나무 블록
true,4963,섬의 개수
true,4999,아!
true,5014,스타트링크
true,5032,탄산 음료
true,5086,배수와 약수
true,5214,환승
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5354,J박스
true,5427,불
true,5543,상근날드
true,5565,영수증
true,5597,과제 안 내신 분..?
true,5704,팬그램
true,5789,한다 안한다
true,6131,완전 제곱수
true,6144,Charm Bracelet
true,6219,소수의 자격
true,6246,풍선 놀이
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7476,최대 공통 증가 수열
true,7562,나이트의 이동
true,7567,그릇
true,7576,토마토
true,7983,내일 할거야
true,8393,합
true,8394,악수
true,8892,팰린드롬
true,8895,막대 배치
true,8949,대충 더해
true,8958,OX퀴즈
true,8980,택배
true,9020,골드바흐의 추측
true,9084,동전
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9316,Hello Judge
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9536,여우는 어떻게 울지?
true,9625,BABBA
true,9637,The Stones Game
true,9640,Modified LCS
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10103,주사위 게임
true,10156,과자
true,10159,저울
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10214,Baseball
true,10216,Count Circle Groups
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10252,그리드 그래프
true,10253,헨리
true,10255,교차점
true,10273,고대 동굴 탐사
true,10282,해킹
true,10430,나머지
true,10610,30
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10978,기숙사 재배정
true,10984,내 학점을 구해줘
true,10986,나머지 합
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11070,피타고라스 기댓값
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11382,꼬마 정민
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11497,통나무 건너뛰기
true,11505,구간 곱 구하기
true,11571,분수를 소수로
true,11609,Class Time
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11779,최소비용 구하기 2
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,12789,도키도키 간식드리미
true,12790,Mini Fantasy War
true,12791,Starman
true,12844,XOR
true,12847,꿀 아르바이트
true,13170,떨어진 수정
true,13305,주유소
true,13326,Diameter
true,13335,트럭
true,13345,Completing the Square
true,13414,수강신청
true,13463,Brexit
true,13472,Sticky Situation
true,13711,LCS 4
true,14727,퍼즐 자르기
true,14731,謎紛芥索紀 (Large)
true,15802,타노스
true,16459,독서의 계절
true,16460,Cupid
true,16461,듀얼 채널 VHF 무전기
true,16464,가주아
true,16465,Bookend
true,16468,크리스마스 트리 꾸미기
true,16472,고냥이
true,17224,APC는 왜 서브태스크 대회가 되었을까?
true,17225,세훈이의 선물가게
false,17227,그래서 팩 주냐?
false,17228,아름다운 만영로
false,17232,생명 게임
