정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1010,다리 놓기
true,1012,유기농 배추
true,1014,컨닝
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1024,수열의 합
true,1032,명령 프롬프트
true,1038,감소하는 수
true,1043,거짓말
true,1057,토너먼트
true,1058,친구
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1094,막대기
true,1100,하얀 칸
true,1103,게임
true,1107,리모컨
true,1120,문자열
true,1135,뉴스 전하기
true,1145,적어도 대부분의 배수
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1194,"달이 차오른다, 가자."
true,1236,성 지키기
true,1238,파티
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1302,베스트셀러
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1348,주차장
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1420,학교 가지마!
true,1427,소트인사이드
true,1459,걷기
true,1463,1로 만들기
true,1475,방 번호
true,1477,휴게소 세우기
true,1495,기타리스트
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1547,공
true,1551,수열의 변화
true,1562,계단 수
true,1563,개근상
true,1574,룩 어택
true,1593,문자 해독
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1717,집합의 표현
true,1722,순열의 순서
true,1725,히스토그램
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1760,N-Rook
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1786,찾기
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1793,타일링
true,1850,최대공약수
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1911,흙길 보수하기
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2010,플러그
true,2011,암호코드
true,2022,사다리
true,2033,반올림
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2149,암호 해독
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2186,문자판
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2414,게시판 구멍 막기
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2482,색상환
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2624,동전 바꿔주기
true,2631,줄세우기
true,2644,촌수계산
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2739,구구단
true,2740,행렬 곱셈
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2774,아름다운 수
true,2783,삼각 김밥
true,2789,유학 금지
true,2792,보석 상자
true,2798,블랙잭
true,2800,괄호 제거
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2823,유턴 싫어
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2851,슈퍼 마리오
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2877,4와 7
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2909,캔디 구매
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2957,이진 탐색 트리
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2981,검문
true,2985,세 수
true,2986,파스칼
true,2998,8진수
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3036,링
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3079,입국심사
true,3163,떨어지는 개미
true,3184,양
true,3295,단방향 링크 네트워크
true,3640,제독
true,3649,로봇 프로젝트
true,3650,암호 해독
true,3653,영화 수집
true,3665,최종 순위
true,3943,헤일스톤 수열
true,3986,좋은 단어
true,4153,직각삼각형
true,4195,친구 네트워크
true,4256,트리
true,4568,LRU Caching
true,4883,삼각 그래프
true,4921,나무 블록
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5054,주차의 신
true,5063,TGN
true,5218,알파벳 거리
true,5338,마이크로소프트 로고
true,5397,키로거
true,5427,불
true,5430,AC
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5558,チーズ
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5612,터널의 입구와 출구
true,5618,공약수
true,5622,다이얼
true,5639,이진 검색 트리
true,5651,완전 중요한 간선
true,5691,평균 중앙값 문제
true,5719,거의 최단 경로
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,8320,직사각형을 만드는 방법
true,8393,합
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9205,맥주 마시면서 걸어가기
true,9248,Suffix Array
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9328,열쇠
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9525,룩 배치하기
true,9576,책 나눠주기
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10172,개
true,10216,Count Circle Groups
true,10217,KCM Travel
true,10219,Meats On The Grill
true,10253,헨리
true,10409,서버
true,10539,수빈이와 수열
true,10610,30
true,10707,수도요금
true,10709,기상캐스터
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10820,문자열 분석
true,10821,정수의 개수
true,10828,스택
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,11004,K번째 수
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11405,책 구매하기
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11478,서로 다른 부분 문자열의 개수
true,11493,동전 교환
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11861,Maximal Area
true,11866,요세푸스 문제 0
true,12100,2048 (Easy)
true,12761,돌다리
true,12790,Mini Fantasy War
true,12796,나의 행렬곱셈 답사기
true,12846,무서운 아르바이트
true,13241,최소공배수
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13900,순서쌍의 곱의 합
true,14499,주사위 굴리기
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14579,덧셈과 곱셈
true,14584,암호 해독
true,14890,경사로
true,14891,톱니바퀴
true,15565,귀여운 라이언
false,1149,RGB거리
false,1298,노트북의 주인을 찾아서
false,1325,효율적인 해킹
false,1504,특정한 최단 경로
false,1865,웜홀
false,1904,01타일
false,2206,벽 부수고 이동하기
false,2240,자두나무
false,2316,도시 왕복하기 2
false,2910,빈도 정렬
false,3190,뱀
false,4354,문자열 제곱
false,5214,환승
false,6086,최대 유량
false,7469,K번째 수
false,7785,회사에 있는 사람
false,9426,중앙값 측정
false,11404,플로이드
false,11657,타임머신
false,15560,구간 합 최대? 1
