정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1012,유기농 배추
true,1034,램프
true,1043,거짓말
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1068,트리
true,1076,저항
true,1085,직사각형에서 탈출
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1159,농구 경기
true,1182,부분수열의 합
true,1213,팰린드롬 만들기
true,1222,홍준 프로그래밍 대회
true,1237,정ㅋ벅ㅋ
true,1239,차트
true,1242,소풍
true,1260,DFS와 BFS
true,1297,TV 크기
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1411,비슷한 단어
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1507,궁금한 민호
true,1527,금민수의 개수
true,1546,평균
true,1547,공
true,1550,16진수
true,1602,도망자 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1718,암호
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1773,폭죽쇼
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1871,좋은 자동차 번호판
true,1912,연속합
true,1914,하노이 탑
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1941,소문난 칠공주
true,1946,신입 사원
true,1948,임계경로
true,1956,운동
true,1967,트리의 지름
true,1976,여행 가자
true,1987,알파벳
true,1991,트리 순회
true,2010,플러그
true,2023,신기한 소수
true,2033,반올림
true,2037,문자메시지
true,2042,구간 합 구하기
true,2083,럭비 클럽
true,2110,공유기 설치
true,2138,전구와 스위치
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2178,미로 탐색
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2229,조 짜기
true,2231,분해합
true,2243,사탕상자
true,2261,가장 가까운 두 점
true,2268,수들의 합
true,2293,동전 1
true,2294,동전 2
true,2305,자리 배치
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2357,최솟값과 최댓값
true,2386,도비의 영어 공부
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2458,키 순서
true,2460,지능형 기차 2
true,2461,대표 선수
true,2463,비용
true,2480,주사위 세개
true,2481,해밍 경로
true,2490,윷놀이
true,2499,의좋은 형제
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2566,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2587,대표값2
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2641,다각형그리기
true,2660,회장뽑기
true,2702,초6 수학
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2744,대소문자 바꾸기
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2784,가로 세로 퍼즐
true,2805,나무 자르기
true,2812,크게 만들기
true,2830,행성 X3
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2879,코딩은 예쁘게
true,2887,행성 터널
true,2896,무알콜 칵테일
true,2897,몬스터 트럭
true,2903,중앙 이동 알고리즘
true,2920,음계
true,2942,퍼거슨과 사과
true,2948,2009년
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2966,찍기
true,2982,국왕의 방문
true,2992,크면서 작은 수
true,3006,터보소트
true,3018,캠프파이어
true,3028,창영마을
true,3034,앵그리 창영
true,3037,혼란
true,3046,R2
true,3058,짝수를 찾아라
true,3184,양
true,3197,백조의 호수
true,3449,해밍 거리
true,3649,로봇 프로젝트
true,3665,최종 순위
true,3671,산업 스파이의 편지
true,3948,홍준이의 친위대
true,3977,축구 전술
true,4195,친구 네트워크
true,4196,도미노
true,4344,평균은 넘겠지
true,4358,생태학
true,4435,중간계 전쟁
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4493,가위 바위 보?
true,4589,Gnome Sequencing
true,4593,"Rock, Paper, Scissors"
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4740,"거울, 오! 거울"
true,4811,알약
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5012,불만 정렬
true,5032,탄산 음료
true,5052,전화번호 목록
true,5054,주차의 신
true,5086,배수와 약수
true,5212,지구 온난화
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5354,J박스
true,5427,불
true,5532,방학 숙제
true,5533,유니크
true,5670,휴대폰 자판
true,5719,거의 최단 경로
true,5800,성적 통계
true,5988,홀수일까 짝수일까
true,6086,최대 유량
true,6236,용돈 관리
true,6359,만취한 상범
true,6376,e 계산
true,6439,교차
true,6443,애너그램
true,6502,동혁 피자
true,6543,그래프의 싱크
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7420,맹독 방벽
true,7490,0 만들기
true,7562,나이트의 이동
true,7569,토마토
true,7572,간지(干支)
true,7578,공장
true,8393,합
true,8958,OX퀴즈
true,9009,피보나치
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9243,파일 완전 삭제
true,9316,Hello Judge
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9950,Rectangles
true,10102,개표
true,10156,과자
true,10157,자리배정
true,10159,저울
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10219,Meats On The Grill
true,10255,교차점
true,10263,Opening Ceremony
true,10406,The fellowship of the ring
true,10419,지각
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10539,수빈이와 수열
true,10551,STROJOPIS
true,10698,Ahmed Aly
true,10699,오늘 날짜
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10718,We love kriii
true,10757,큰 수 A+B
true,10775,공항
true,10797,10부제
true,10814,나이순 정렬
true,10817,세 수
true,10819,차이를 최대로
true,10833,사과
true,10844,쉬운 계단 수
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10928,SHA-1
true,10929,SHA-224
true,10930,SHA-256
true,10931,SHA-384
true,10932,SHA-512
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10994,별 찍기 - 19
true,10995,별 찍기 - 20
true,10998,A×B
true,11000,강의실 배정
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11051,이항 계수 2
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11279,최대 힙
true,11286,절댓값 힙
true,11320,삼각 무늬 - 1
true,11365,!밀비 급일
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11403,경로 찾기
true,11404,플로이드
true,11508,2+1 세일
true,11562,백양로 브레이크
true,11654,아스키 코드
true,11655,ROT13
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11758,CCW
true,11812,K진 트리
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,11964,Fruit Feast
true,11991,Fenced In (Platinum)
true,11995,Fenced In (Gold)
true,11997,Load Balancing (Silver)
true,12000,Circular Barn (Bronze)
true,12001,Load Balancing (Bronze)
true,12004,Closing the Farm (Silver)
true,12005,Diamond Collector (Bronze)
true,12007,Field Reduction (Bronze)
true,12100,2048 (Easy)
true,12517,Centauri Prime (Small1)
true,12525,Centauri Prime (Small1)
true,12778,CTP공국으로 이민 가자
true,12781,PIZZA ALVOLOC
true,12790,Mini Fantasy War
true,12837,가계부 (Hard)
true,13073,Sums
true,13163,닉네임에 갓 붙이기
true,13228,The REAL Manhattan distance
true,13234,George Boole
true,13265,색칠하기
true,13305,주유소
true,13458,시험 감독
true,13484,Tarifa
true,13698,Hawk eyes
true,13701,중복 제거
true,13985,Equality
true,14469,소가 길을 건너간 이유 3
true,14487,욱제는 효도쟁이야!!
true,14500,테트로미노
true,14501,퇴사
true,14582,오늘도 졌다
true,14650,걷다보니 신천역 삼 (Small)
true,14697,방 배정하기
true,14746,Closest Pair
true,14753,MultiMax
true,14754,Pizza Boxes
true,14918,더하기
true,15087,DRM Messages
true,15088,Game of Throwns
true,15092,Sheba’s Amoebas
true,15094,Workout for a Dumbbell
true,15178,Angles
true,15340,Sim Card
true,15353,큰 수 A+B (2)
true,15449,Art
true,15460,My Cow Ate My Homework
true,15463,Blocked Billboard
true,15464,The Bovine Shuffle
true,15465,Milk Measurement
true,15552,빠른 A+B
true,15589,Lifeguards (Silver)
true,15590,Rental Service
true,15591,MooTube (Silver)
true,15592,Blocked Billboard II
true,15593,Lifeguards (Bronze)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15680,연세대학교
true,15685,드래곤 커브
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15732,도토리 숨기기
true,15733,나는 누구인가
true,15748,Rest Stops
true,15751,Teleportation
true,15753,Taming the Herd
true,15781,헬멧과 조끼
true,15786,Send me the money
true,15802,타노스
true,15813,너의 이름은 몇 점이니?
true,15814,야바위 대장
true,15820,맞았는데 왜 틀리죠?
true,15873,공백 없는 A+B
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15913,가위 바위 보 999
true,15953,상금 헌터
true,15964,이상한 기호
true,15969,행복
true,15970,화살표 그리기
true,15971,두 로봇
true,15973,두 박스
true,15979,스승님 찾기
true,16032,Income Inequality
true,16236,아기 상어
true,16491,대피소 찾기
true,16637,괄호 추가하기
true,16673,고려대학교에는 공식 와인이 있다
true,16674,2018년을 되돌아보며
true,16766,Convention
true,16767,Convention II
true,16768,Mooyo Mooyo
true,16769,Mixing Milk
true,16770,The Bucket List
true,16771,Back and Forth
true,16785,ソーシャルゲーム
true,16861,Harshad Numbers
true,16865,The Ups and Downs of Investing
true,17027,Shell Game
true,17036,Sleepy Cow Herding (Silver)
true,17037,Painting the Barn (Silver)
true,17038,The Great Revegetation (Silver)
true,17039,Sleepy Cow Herding (Bronze)
true,17040,The Great Revegetation (Bronze)
true,17041,Measuring Traffic
true,17143,낚시왕
true,17192,Snakes
true,17193,I Would Walk 500 Miles
true,17195,Left Out
true,17197,Fence Planning
true,17198,Bucket Brigade
true,17199,Milk Factory
true,17218,비밀번호 만들기
true,17262,팬덤이 넘쳐흘러
true,17291,새끼치기
true,17294,귀여운 수~ε٩(๑> ₃ <)۶з
true,17362,수학은 체육과목 입니다 2
true,17363,우유가 넘어지면?
true,17370,육각형 우리 속의 개미
true,17371,이사
true,17374,비트베리
true,17825,주사위 윷놀이
true,17836,공주님을 구해라!
false,15740,A+B - 9
false,15966,군계일학
