정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1017,소수 쌍
true,1023,괄호 문자열
true,1024,수열의 합
true,1028,다이아몬드 광산
true,1031,스타 대결
true,1032,명령 프롬프트
true,1033,칵테일
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1053,팰린드롬 공장
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1074,Z
true,1092,배
true,1100,하얀 칸
true,1103,게임
true,1105,팔
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1159,농구 경기
true,1182,부분수열의 합
true,1184,귀농
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1222,홍준 프로그래밍 대회
true,1237,정ㅋ벅ㅋ
true,1239,차트
true,1244,스위치 켜고 끄기
true,1260,DFS와 BFS
true,1285,동전 뒤집기
true,1289,트리의 가중치
true,1300,K번째 수
true,1309,동물원
true,1328,고층 빌딩
true,1350,진짜 공간
true,1369,배열값
true,1405,미친 로봇
true,1416,팬 서비스
true,1420,학교 가지마!
true,1432,그래프 수정
true,1433,화학 실험
true,1438,가장 작은 직사각형
true,1441,나누어 질까
true,1464,뒤집기 3
true,1479,네 부분문자열
true,1507,궁금한 민호
true,1518,뉴 매직 스퀘어
true,1519,부분 문자열 뽑기 게임
true,1525,퍼즐
true,1527,금민수의 개수
true,1534,다각형 자르기
true,1535,안녕
true,1536,"Dance, Dance"
true,1543,문서 검색
true,1548,부분 삼각 수열
true,1554,나무 심기
true,1563,개근상
true,1581,락스타 락동호
true,1620,나는야 포켓몬 마스터 이다솜
true,1639,행운의 티켓
true,1640,동전 뒤집기
true,1662,압축
true,1684,같은 나머지
true,1695,팰린드롬 만들기
true,1708,볼록 껍질
true,1711,직각삼각형
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1758,알바생 강호
true,1760,N-Rook
true,1764,듣보잡
true,1766,문제집
true,1783,병든 나이트
true,1785,보드 게임
true,1786,찾기
true,1790,수 이어 쓰기 2
true,1802,종이 접기
true,1821,수들의 합
true,1824,도미노
true,1850,최대공약수
true,1874,스택 수열
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1947,선물 전달
true,1958,LCS 3
true,1965,상자넣기
true,1967,트리의 지름
true,1992,쿼드트리
true,2012,등수 매기기
true,2056,작업
true,2078,무한이진트리
true,2079,팰린드롬
true,2109,순회강연
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2153,소수 단어
true,2156,포도주 시식
true,2166,다각형의 면적
true,2178,미로 탐색
true,2188,축사 배정
true,2207,가위바위보
true,2216,문자열과 점수
true,2240,자두나무
true,2266,금고 테스트
true,2275,트리의 높이 줄이기
true,2293,동전 1
true,2294,동전 2
true,2297,직각 이등변 삼각형
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2331,반복수열
true,2336,굉장한 학생
true,2341,팩스 문제
true,2399,거리의 합
true,2403,게시판 구멍 가리기
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2447,별 찍기 - 10
true,2468,안전 영역
true,2470,두 용액
true,2508,사탕 박사 고창영
true,2520,팬케이크 사랑
true,2536,버스 갈아타기
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2567,색종이 - 2
true,2570,비숍2
true,2578,빙고
true,2583,영역 구하기
true,2602,돌다리 건너기
true,2628,종이자르기
true,2630,색종이 만들기
true,2632,피자판매
true,2644,촌수계산
true,2661,좋은수열
true,2662,기업투자
true,2667,단지번호붙이기
true,2708,폴리큐브의 겉넓이
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2756,다트
true,2757,엑셀
true,2758,로또
true,2759,팬케익 뒤집기
true,2761,모형 로켓의 높이
true,2765,자전거 속도
true,2766,사탕 나누기 게임
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2777,숫자 놀이
true,2780,비밀번호
true,2816,디지털 티비
true,2819,상근이의 로봇
true,2900,프로그램
true,2908,상수
true,2910,빈도 정렬
true,2914,저작권
true,2997,네 번째 수
true,2998,8진수
true,2999,비밀 이메일
true,3000,직각 삼각형
true,3001,이상한 문제
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3005,크로스워드 퍼즐 쳐다보기
true,3006,터보소트
true,3009,네 번째 점
true,3010,페그
true,3018,캠프파이어
true,3019,테트리스
true,3020,개똥벌레
true,3022,PRASE
true,3023,마술사 이민혁
true,3024,마라톤 틱택토
true,3028,창영마을
true,3030,테니스
true,3031,리그
true,3037,혼란
true,3040,백설 공주와 일곱 난쟁이
true,3041,N-퍼즐
true,3042,트리플렛
true,3043,장난감 탱크
true,3045,이중 연결 리스트
true,3046,R2
true,3047,ABC
true,3048,개미
true,3049,다각형의 대각선
true,3050,집들이
true,3051,군사 기지
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3056,007
true,3060,욕심쟁이 돼지
true,3079,입국심사
true,3085,사탕 게임
true,3102,겹치지 않는 원
true,3123,배추
true,3158,Sierpinski 삼각형
true,3159,전구
true,3163,떨어지는 개미
true,3164,패턴
true,3165,5
true,3167,기차표 검사
true,3178,코코스
true,3192,매직 스퀘어
true,3213,피자
true,3226,전화 요금
true,3295,단방향 링크 네트워크
true,3407,맹세
true,3568,iSharp
true,3621,족보
true,3622,어떤 호박의 할로윈 여행
true,3640,제독
true,3644,그래프 매칭
true,3649,로봇 프로젝트
true,3651,이항계수
true,3652,새트리
true,3653,영화 수집
true,3655,먼저 가세요
true,3656,수영장 만들기
true,3661,생일 선물
true,3663,고득점
true,3665,최종 순위
true,3673,나눌 수 있는 부분 수열
true,3682,동치 증명
true,3683,고양이와 개
true,3684,어려운 문제
true,3687,성냥개비
true,3691,컴퓨터 조립
true,3693,컨테이너
true,3697,정상
true,3698,애매함
true,3699,주차 빌딩
true,3828,잘못된 계산
true,3845,잔디깎기
true,3863,행복한 전화 통화
true,3944,나머지 계산
true,3985,롤 케이크
true,3986,좋은 단어
true,3989,유행성 독감
true,4030,포켓볼
true,4090,뱀파이어 숫자
true,4134,다음 소수
true,4225,쓰레기 슈트
true,4243,보안 업체
true,4461,뱀파이어 김상근 백작
true,4706,쌍둥이 역설
true,4781,사탕 가게
true,4811,알약
true,4848,집합 숫자 표기법
true,4882,정규형
true,4883,삼각 그래프
true,4963,섬의 개수
true,4999,아!
true,5002,도어맨
true,5009,유치원
true,5010,수화물
true,5026,박사 과정
true,5042,나무 옮기기
true,5043,정말 좋은 압축
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5052,전화번호 목록
true,5054,주차의 신
true,5060,무글 맵스
true,5361,전투 드로이드 가격
true,5393,콜라츠
true,5419,북서풍
true,5430,AC
true,5532,방학 숙제
true,5549,행성 탐사
true,5565,영수증
true,5623,수열의 합
true,5626,제단
true,5635,생일
true,5636,소수 부분 문자열
true,5637,가장 긴 단어
true,5671,호텔 방 번호
true,5675,시침과 분침
true,5676,음주 코딩
true,5681,공 쌓기
true,5698,Tautogram
true,5710,전기 요금
true,5719,거의 최단 경로
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5883,아이폰 9S
true,5884,감시 카메라
true,5904,Moo 게임
true,5913,준규와 사과
true,6502,동혁 피자
true,6504,킬로미터를 마일로
true,6506,엘 도라도
true,6571,피보나치 수의 개수
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6597,트리 복구
true,6603,로또
true,6996,애너그램
true,7140,데이터 만들기 1
true,7476,최대 공통 증가 수열
true,7567,그릇
true,7568,덩치
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7573,고기잡이
true,7575,바이러스
true,7576,토마토
true,7578,공장
true,7579,앱
true,7770,아즈텍 피라미드
true,7771,배틀쉽
true,7774,콘센트
true,7788,복도
true,7806,GCD!
true,7881,YAPTCHA
true,8393,합
true,8880,인수
true,8907,네온 사인
true,8916,이진 검색 트리
true,8944,이진 검색 트리 2
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,8983,사냥꾼
true,8984,막대기
true,8986,전봇대
true,9084,동전
true,9203,호텔 예약
true,9204,체스
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9226,도깨비말
true,9251,LCS
true,9318,위성 사진
true,9319,도청 장치
true,9320,금고 열기
true,9322,철벽 보안 알고리즘
true,9323,무임승차
true,9324,진짜 메시지
true,9325,얼마?
true,9326,MI6
true,9328,열쇠
true,9329,패스트 푸드 상금
true,9335,소셜 광고
true,9337,Flood-It
true,9339,마라토너
true,9340,Network Planning
true,9342,염색체
true,9343,랜덤 걷기
true,9344,도로
true,9347,울타리
true,9461,파도반 수열
true,9501,꿍의 우주여행
true,9505,엔터프라이즈호 탈출
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9518,로마 카톨릭 미사
true,9519,졸려
true,9520,NP-hard
true,9522,직선 게임
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9662,돌 게임 8
true,10246,부동산 경매
true,10422,괄호
true,10423,전기가 부족해
true,10426,기념일 2
true,10427,빚
true,10429,QUENTO
true,10430,나머지
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10824,네 수
true,10828,스택
true,10872,팩토리얼
true,10950,A+B - 3
true,10951,A+B - 4
true,10992,별 찍기 - 17
true,11005,진법 변환 2
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11724,연결 요소의 개수
true,11728,배열 합치기
false,1006,습격자 초라기
false,1035,조각 움직이기
false,1038,감소하는 수
false,1068,트리
false,1107,리모컨
false,1162,도로포장
false,1348,주차장
false,1387,배열 교환
false,1462,퀴즈쇼
false,1761,정점들의 거리
false,1904,01타일
false,1937,욕심쟁이 판다
false,2036,수열의 점수
false,2208,보석 줍기
false,2250,트리의 높이와 너비
false,2385,Secret Sharing
false,2396,같은 길이 막대기 만들기
false,2504,괄호의 값
false,2541,점
false,2760,마술사 현우
false,2762,구역 채우기
false,2781,놀이 동산
false,2782,로맨틱 왕
false,2795,사업 확장
false,2836,수상 택시
false,2912,백설공주와 난쟁이
false,2963,무한 이진 트리 탐색
false,3002,아날로그 다이얼
false,3007,숫자 원
false,3008,직각 삼각형의 개수
false,3025,돌 던지기
false,3029,경고
false,3084,FPS
false,3086,초콜릿 자르기
false,3321,가장 큰 직사각형
false,3498,사전의 크기
false,3499,미토콘드리아 이브
false,3648,아이돌
false,3943,헤일스톤 수열
false,3996,위대한 사기꾼
false,5559,JOI 깃발
false,5821,쌀 창고
false,5911,선물
false,6064,카잉 달력
false,6286,리벤지 오브 피보나치
false,7569,토마토
false,7577,탐사
false,7620,편집 거리
false,7785,회사에 있는 사람
false,8982,수족관 1
false,8992,집기 게임
false,9330,Seven Kingdoms
false,9341,ZZ
