정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1006,습격자 초라기
true,1008,A/B
true,1009,분산처리
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1014,컨닝
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1023,괄호 문자열
true,1028,다이아몬드 광산
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1055,끝이없음
true,1062,가르침
true,1065,한수
true,1068,트리
true,1074,Z
true,1085,직사각형에서 탈출
true,1086,박성원
true,1094,막대기
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1126,같은 탑
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1300,K번째 수
true,1315,RPG
true,1316,그룹 단어 체커
true,1339,단어 수학
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1462,퀴즈쇼
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1514,자물쇠
true,1520,내리막 길
true,1525,퍼즐
true,1532,동전 교환
true,1541,잃어버린 괄호
true,1546,평균
true,1629,곱셈
true,1644,소수의 연속합
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1765,닭싸움 팀 정하기
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1806,부분합
true,1857,발레리노
true,1866,택배
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1956,운동
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1994,등차수열
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2011,암호코드
true,2033,반올림
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2130,수조
true,2143,두 배열의 합
true,2156,포도주 시식
true,2164,카드2
true,2172,팰린드롬 경로
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2231,분해합
true,2251,물통
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2342,Dance Dance Revolution
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2482,색상환
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2629,양팔저울
true,2630,색종이 만들기
true,2667,단지번호붙이기
true,2671,잠수함식별
true,2675,문자열 반복
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2861,원섭동 사람들
true,2869,달팽이는 올라가고 싶다
true,2879,코딩은 예쁘게
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2924,천재
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2981,검문
true,2986,파스칼
true,3009,네 번째 점
true,3012,올바른 괄호 문자열
true,3036,링
true,3053,택시 기하학
true,3055,탈출
true,3056,007
true,3101,토끼의 이동
true,3190,뱀
true,3830,교수님은 기다리지 않는다
true,3954,Brainf**k 인터프리터
true,4153,직각삼각형
true,4195,친구 네트워크
true,4243,보안 업체
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4673,셀프 넘버
true,4716,풍선
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5086,배수와 약수
true,5373,큐빙
true,5397,키로거
true,5430,AC
true,5444,시리얼 넘버
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5585,거스름돈
true,5622,다이얼
true,5626,제단
true,5639,이진 검색 트리
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6087,레이저 통신
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8111,0과 1
true,8393,합
true,8958,OX퀴즈
true,8984,막대기
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9376,탈옥
true,9461,파도반 수열
true,9498,시험 성적
true,9547,대통령 선거
true,9613,GCD 합
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10217,KCM Travel
true,10250,ACM 호텔
true,10422,괄호
true,10430,나머지
true,10610,30
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10937,두부 모판 자르기
true,10942,팰린드롬?
true,10949,숫자야구
true,10950,A+B - 3
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11058,크리보드
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11401,이항 계수 3
true,11404,플로이드
true,11575,Affine Cipher
true,11576,Base Conversion
true,11578,팀원 모집
true,11579,초차원전쟁 이나
true,11580,Footprint
true,11583,인경호의 징검다리
true,11584,저 집합은 해로운 집합이다
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11657,타임머신
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11866,요세푸스 문제 0
true,11880,개미
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,13002,Happy Cow
true,13023,ABCDE
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14391,종이 조각
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15486,퇴사 2
true,15552,빠른 A+B
true,15558,점프 게임
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15662,톱니바퀴 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15891,스타트링크 사무실을 파헤쳐보자
true,15988,"1, 2, 3 더하기 3"
true,15989,"1, 2, 3 더하기 4"
true,15990,"1, 2, 3 더하기 5"
true,15998,카카오머니
true,15999,뒤집기
true,16194,카드 구매하기 2
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17281,⚾
true,17404,RGB거리 2
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,18110,solved.ac
true,18248,제야의 종
true,18859,부모님께 큰절 하고
true,19235,모노미노도미노
false,1346,탑을 향해서
false,2449,전구
false,3025,돌 던지기
false,9537,잘생긴 GCD
false,11577,Condition of deep sleep
false,18185,라면 사기 (Small)
