정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1058,친구
true,1062,가르침
true,1063,킹
true,1064,평행사변형
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1173,운동
true,1174,줄어드는 숫자
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1205,등수 구하기
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1235,학생 번호
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1292,쉽게 푸는 문제
true,1296,데이트
true,1297,TV 크기
true,1300,K번째 수
true,1302,베스트셀러
true,1309,동물원
true,1312,소수
true,1316,그룹 단어 체커
true,1322,X와 K
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1331,나이트 투어
true,1339,단어 수학
true,1342,행운의 문자열
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1485,정사각형
true,1495,기타리스트
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1546,평균
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1671,상어의 저녁식사
true,1686,복날
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1725,히스토그램
true,1726,로봇
true,1740,거듭제곱
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1786,찾기
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1799,비숍
true,1806,부분합
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1874,스택 수열
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1952,달팽이2
true,1967,트리의 지름
true,1976,여행 가자
true,1987,알파벳
true,1992,쿼드트리
true,2003,수들의 합 2
true,2023,신기한 소수
true,2033,반올림
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2140,지뢰찾기
true,2146,다리 만들기
true,2156,포도주 시식
true,2157,여행
true,2160,그림 비교
true,2161,카드1
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2229,조 짜기
true,2239,스도쿠
true,2240,자두나무
true,2252,줄 세우기
true,2257,화학식량
true,2263,트리의 순회
true,2266,금고 테스트
true,2293,동전 1
true,2295,세 수의 합
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2411,아이템 먹기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2468,안전 영역
true,2470,두 용액
true,2493,탑
true,2501,약수 구하기
true,2503,숫자 야구
true,2504,괄호의 값
true,2526,싸이클
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2565,전깃줄
true,2567,색종이 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2589,보물섬
true,2607,비슷한 단어
true,2615,오목
true,2623,음악프로그램
true,2629,양팔저울
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2661,좋은수열
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2792,보석 상자
true,2805,나무 자르기
true,2823,유턴 싫어
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2887,행성 터널
true,2908,상수
true,2920,음계
true,2931,가스관
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2960,에라토스테네스의 체
true,2966,찍기
true,2980,도로와 신호등
true,2985,세 수
true,2986,파스칼
true,3040,백설 공주와 일곱 난쟁이
true,3047,ABC
true,3053,택시 기하학
true,3055,탈출
true,3098,소셜네트워크
true,3101,토끼의 이동
true,3109,빵집
true,3190,뱀
true,3197,백조의 호수
true,3460,이진수
true,3474,교수가 된 현우
true,3778,애너그램 거리
true,3986,좋은 단어
true,4195,친구 네트워크
true,4217,신성 문자
true,4344,평균은 넘겠지
true,4446,ROT13
true,4641,Doubles
true,4673,셀프 넘버
true,4781,사탕 가게
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5022,연결
true,5052,전화번호 목록
true,5214,환승
true,5397,키로거
true,5427,불
true,5549,행성 탐사
true,5557,1학년
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5622,다이얼
true,5624,좋은 수
true,5670,휴대폰 자판
true,5719,거의 최단 경로
true,5913,준규와 사과
true,6064,카잉 달력
true,6246,풍선 놀이
true,6324,URLs
true,6443,애너그램
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6996,애너그램
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7570,줄 세우기
true,7572,간지(干支)
true,7576,토마토
true,7639,Counting Pixels
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9009,피보나치
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9466,텀 프로젝트
true,9498,시험 성적
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10216,Count Circle Groups
true,10282,해킹
true,10430,나머지
true,10451,순열 사이클
true,10718,We love kriii
true,10798,세로읽기
true,10799,쇠막대기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10864,친구
true,10865,친구 친구
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10974,모든 순열
true,10986,나머지 합
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11049,행렬 곱셈 순서
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11403,경로 찾기
true,11437,LCA
true,11441,합 구하기
true,11497,통나무 건너뛰기
true,11558,The Game of Death
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11729,하노이 탑 이동 순서
true,11811,데스스타
true,11812,K진 트리
true,12026,BOJ 거리
true,12100,2048 (Easy)
true,12790,Mini Fantasy War
true,12813,이진수 연산
true,12840,창용이의 시계
true,12841,정보대 등산
true,12842,튀김 소보루
true,12851,숨바꼭질 2
true,13023,ABCDE
true,13398,연속합 2
true,13413,오셀로 재배치
true,13414,수강신청
true,13416,주식 투자
true,13417,카드 문자열
true,13418,학교 탐방하기
true,13419,탕수육
true,13420,사칙연산
true,13422,도둑
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13700,완전 범죄
true,13701,중복 제거
true,13903,출근
true,13909,창문 닫기
true,13911,집 구하기
true,13913,숨바꼭질 4
true,14442,벽 부수고 이동하기 2
true,14443,채점 소수 번호
true,14491,9진수
true,14497,주난의 난(難)
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14505,팰린드롬 개수 구하기 (Small)
true,14517,팰린드롬 개수 구하기 (Large)
true,14567,선수과목 (Prerequisite)
true,14568,2017 연세대학교 프로그래밍 경시대회
true,14569,시간표 짜기
true,14570,나무 위의 구슬
true,14575,뒤풀이
true,14581,팬들에게 둘러싸인 홍준
true,14582,오늘도 졌다
true,14583,이음줄
true,14584,암호 해독
true,14588,Line Friends (Small)
true,14612,김식당
true,14613,너의 티어는?
true,14618,총깡 총깡
true,14622,소수 게임
true,14625,냉동식품
true,14630,변신로봇
true,14631,명탐정 준하
true,14650,걷다보니 신천역 삼 (Small)
true,14651,걷다보니 신천역 삼 (Large)
true,14652,나는 행복합니다~
true,14653,너의 이름은
true,14654,스테판 쿼리
true,14655,욱제는 도박쟁이야!!
true,14656,조교는 새디스트야!!
true,14659,한조서열정리하고옴ㅋㅋ
true,14846,직사각형과 쿼리
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14927,전구 끄기
true,14950,정복자
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15667,2018 연세대학교 프로그래밍 경진대회
true,15668,방 번호
true,15686,치킨 배달
true,15720,카우버거
true,15729,방탈출
true,15733,나는 누구인가
true,15734,명장 남정훈
true,15735,삼각
true,15736,청기 백기
true,15739,매직스퀘어
true,16235,나무 재테크
false,1022,소용돌이 예쁘게 출력하기
false,1029,그림 교환
false,1043,거짓말
false,1162,도로포장
false,1168,요세푸스 문제 2
false,1285,동전 뒤집기
false,1298,노트북의 주인을 찾아서
false,1471,사탕 돌리기
false,1533,길의 개수
false,1614,영식이의 손가락
false,1626,두 번째로 작은 스패닝 트리
false,1707,이분 그래프
false,1914,하노이 탑
false,1965,상자넣기
false,2011,암호코드
false,2294,동전 2
false,2423,전구를 켜라
false,2517,달리기
false,2549,루빅의 사각형
false,2820,자동차 공장
false,3033,가장 긴 문자열
false,3079,입국심사
false,3933,라그랑주의 네 제곱수 정리
false,4920,테트리스 게임
false,5213,과외맨
false,5620,가장 가까운 두 점의 거리
false,9376,탈옥
false,9426,중앙값 측정
false,9935,문자열 폭발
false,10265,MT
false,10881,프로도의 선물 포장
false,11000,강의실 배정
false,11377,열혈강호 3
false,11404,플로이드
false,11560,다항식 게임
false,12094,2048 (Hard)
false,12843,복수전공
false,12845,모두의 마블
false,13415,정렬 게임
false,13421,국민 랜드
false,13703,물벼룩의 생존확률
false,14488,준오는 급식충이야!!
false,14571,모래시계
false,14578,영훈이의 색칠공부
