정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1027,고층 건물
true,1038,감소하는 수
true,1041,주사위
true,1057,토너먼트
true,1062,가르침
true,1074,Z
true,1076,저항
true,1082,방 번호
true,1085,직사각형에서 탈출
true,1092,배
true,1102,발전소
true,1105,팔
true,1106,호텔
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1159,농구 경기
true,1182,부분수열의 합
true,1193,분수찾기
true,1195,킥다운
true,1197,최소 스패닝 트리
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1241,머리 톡톡
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1263,시간 관리
true,1276,교각 놓기
true,1309,동물원
true,1328,고층 빌딩
true,1339,단어 수학
true,1342,행운의 문자열
true,1344,축구
true,1351,무한 수열
true,1354,무한 수열 2
true,1405,미친 로봇
true,1449,수리공 항승
true,1451,직사각형으로 나누기
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1477,휴게소 세우기
true,1484,다이어트
true,1495,기타리스트
true,1500,최대 곱
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1547,공
true,1551,수열의 변화
true,1563,개근상
true,1577,도로의 개수
true,1600,말이 되고픈 원숭이
true,1614,영식이의 손가락
true,1629,곱셈
true,1644,소수의 연속합
true,1660,캡틴 이다솜
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1689,겹치는 선분
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1727,커플 만들기
true,1737,Pibonacci
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1781,컵라면
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1793,타일링
true,1806,부분합
true,1817,짐 챙기는 숌
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1924,2007년
true,1926,그림
true,1929,소수 구하기
true,1930,정사면체
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1947,선물 전달
true,1949,우수 마을
true,1958,LCS 3
true,1960,행렬만들기
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2002,추월
true,2011,암호코드
true,2012,등수 매기기
true,2033,반올림
true,2036,수열의 점수
true,2037,문자메시지
true,2056,작업
true,2072,오목
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2138,전구와 스위치
true,2140,지뢰찾기
true,2146,다리 만들기
true,2156,포도주 시식
true,2157,여행
true,2159,케익 배달
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2229,조 짜기
true,2240,자두나무
true,2246,콘도 선정
true,2281,데스노트
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2410,2의 멱수의 합
true,2438,별 찍기 - 1
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2455,지능형 기차
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2479,경로 찾기
true,2482,색상환
true,2490,윷놀이
true,2491,수열
true,2493,탑
true,2502,떡 먹는 호랑이
true,2504,괄호의 값
true,2512,예산
true,2513,통학버스
true,2529,부등호
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2572,보드게임
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2589,보물섬
true,2591,숫자카드
true,2602,돌다리 건너기
true,2606,바이러스
true,2608,로마 숫자
true,2616,소형기관차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2631,줄세우기
true,2632,피자판매
true,2637,장난감조립
true,2638,치즈
true,2644,촌수계산
true,2662,기업투자
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2819,상근이의 로봇
true,2823,유턴 싫어
true,2831,댄스 파티
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2869,달팽이는 올라가고 싶다
true,2885,초콜릿 식사
true,2909,캔디 구매
true,2920,음계
true,2935,소음
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2986,파스칼
true,3005,크로스워드 퍼즐 쳐다보기
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3067,Coins
true,3101,토끼의 이동
true,3114,사과와 바나나
true,3190,뱀
true,3474,교수가 된 현우
true,3943,헤일스톤 수열
true,3980,선발 명단
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4781,사탕 가게
true,4811,알약
true,4883,삼각 그래프
true,4889,안정적인 문자열
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,5014,스타트링크
true,5032,탄산 음료
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5212,지구 온난화
true,5397,키로거
true,5427,불
true,5430,AC
true,5532,방학 숙제
true,5545,최고의 피자
true,5549,행성 탐사
true,5556,타일
true,5557,1학년
true,5567,결혼식
true,5569,출근 경로
true,5582,공통 부분 문자열
true,5612,터널의 입구와 출구
true,5624,좋은 수
true,5721,사탕 줍기 대회
true,6064,카잉 달력
true,6359,만취한 상범
true,6416,트리인가?
true,6549,히스토그램에서 가장 큰 직사각형
true,6581,HTML
true,6593,상범 빌딩
true,7344,나무 막대
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7575,바이러스
true,7576,토마토
true,7579,앱
true,8972,미친 아두이노
true,8979,올림픽
true,8980,택배
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9519,졸려
true,9935,문자열 폭발
true,10040,투표
true,10164,격자상의 경로
true,10250,ACM 호텔
true,10253,헨리
true,10409,서버
true,10527,Judging Troubles
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10828,스택
true,10830,행렬 제곱
true,10835,카드게임
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10871,X보다 작은 수
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10984,내 학점을 구해줘
true,10996,별 찍기 - 21
true,10997,별 찍기 - 22
true,11000,강의실 배정
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11070,피타고라스 기댓값
true,11399,ATM
true,11403,경로 찾기
true,11497,통나무 건너뛰기
true,11509,풍선 맞추기
true,11559,Puyo Puyo
true,11568,민균이의 계략
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,12015,가장 긴 증가하는 부분 수열 2
true,12096,
true,12100,2048 (Easy)
true,12790,Mini Fantasy War
true,12865,평범한 배낭
true,12904,A와 B
true,12931,두 배 더하기
true,12970,AB
true,13015,별 찍기 - 23
true,13302,리조트
true,13305,주유소
true,13398,연속합 2
true,13458,시험 감독
true,13460,구슬 탈출 2
true,14226,이모티콘
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14863,서울에서 경산까지
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15312,이름 궁합
true,15486,퇴사 2
true,15552,빠른 A+B
true,15645,내려가기 2
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15802,타노스
true,15894,수학은 체육과목 입니다
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,15953,상금 헌터
true,15954,인형들
true,15971,두 로봇
true,15988,"1, 2, 3 더하기 3"
true,16197,두 동전
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,16674,2018년을 되돌아보며
true,16676,근우의 다이어리 꾸미기
true,16677,악마 게임
true,16953,A → B
true,17070,파이프 옮기기 1
true,17127,벚꽃이 정보섬에 피어난 이유
true,17128,소가 정보섬에 올라온 이유
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
true,17130,토끼가 정보섬에 올라온 이유
true,17135,캐슬 디펜스
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17281,⚾
true,17404,RGB거리 2
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17609,회문
true,17610,양팔저울
true,17779,게리맨더링 2
true,17780,새로운 게임
true,17822,원판 돌리기
true,17837,새로운 게임 2
true,18258,큐 2
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
true,19237,어른 상어
true,19238,스타트 택시
false,15976,XCorr
