정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1005,ACM Craft
true,1009,분산처리
true,1010,다리 놓기
true,1019,책 페이지
true,1021,회전하는 큐
true,1024,수열의 합
true,1027,고층 건물
true,1038,감소하는 수
true,1041,주사위
true,1049,기타줄
true,1065,한수
true,1074,Z
true,1080,행렬
true,1099,알 수 없는 문장
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1126,같은 탑
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1162,도로포장
true,1167,트리의 지름
true,1182,부분수열의 합
true,1201,NMK
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1233,주사위
true,1238,파티
true,1268,임시 반장 정하기
true,1269,대칭 차집합
true,1300,K번째 수
true,1309,동물원
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1343,폴리오미노
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1406,에디터
true,1439,뒤집기
true,1449,수리공 항승
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1475,방 번호
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1513,경로 찾기
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1605,반복 부분문자열
true,1613,역사
true,1633,최고의 팀 만들기
true,1647,도시 분할 계획
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1720,타일 코드
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1766,문제집
true,1773,폭죽쇼
true,1783,병든 나이트
true,1786,찾기
true,1788,피보나치 수의 확장
true,1790,수 이어 쓰기 2
true,1799,비숍
true,1806,부분합
true,1854,K번째 최단경로 찾기
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1956,운동
true,1965,상자넣기
true,1966,프린터 큐
true,1969,DNA
true,1977,완전제곱수
true,1987,알파벳
true,1992,쿼드트리
true,2010,플러그
true,2011,암호코드
true,2012,등수 매기기
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2152,여행 계획 세우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2212,센서
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2231,분해합
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2302,극장 좌석
true,2307,도로검문
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2436,공약수
true,2437,저울
true,2456,나는 학급회장이다
true,2463,비용
true,2473,세 용액
true,2482,색상환
true,2485,가로수
true,2493,탑
true,2495,연속구간
true,2504,괄호의 값
true,2512,예산
true,2515,전시장
true,2517,달리기
true,2526,싸이클
true,2527,직사각형
true,2529,부등호
true,2531,회전 초밥
true,2565,전깃줄
true,2579,계단 오르기
true,2580,스도쿠
true,2585,경비행기
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2613,숫자구슬
true,2616,소형기관차
true,2618,경찰차
true,2623,음악프로그램
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2638,치즈
true,2653,안정된 집단
true,2662,기업투자
true,2666,벽장문의 이동
true,2688,줄어들지 않아
true,2748,피보나치 수 2
true,2798,블랙잭
true,2805,나무 자르기
true,2812,크게 만들기
true,2816,디지털 티비
true,2828,사과 담기 게임
true,2830,행성 X3
true,2839,설탕 배달
true,2846,오르막길
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2909,캔디 구매
true,2921,도미노
true,2922,즐거운 단어
true,2923,숫자 게임
