정답여부,문제번호,문제이름
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1023,괄호 문자열
true,1026,보물
true,1037,약수
true,1049,기타줄
true,1062,가르침
true,1065,한수
true,1068,트리
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1157,단어 공부
true,1159,농구 경기
true,1167,트리의 지름
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1219,오민식의 고민
true,1225,이상한 곱셈
true,1233,주사위
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1357,뒤집힌 덧셈
true,1358,하키
true,1389,케빈 베이컨의 6단계 법칙
true,1408,24
true,1427,소트인사이드
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1598,꼬리를 무는 숫자 나열
true,1613,역사
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1766,문제집
true,1769,3의 배수
true,1774,우주신과의 교감
true,1850,최대공약수
true,1871,좋은 자동차 번호판
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1946,신입 사원
true,1958,LCS 3
true,1964,"오각형, 오각형, 오각형…"
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2010,플러그
true,2056,작업
true,2098,외판원 순회
true,2110,공유기 설치
true,2145,숫자 놀이
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2213,트리의 독립집합
true,2217,로프
true,2231,분해합
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2303,숫자 게임
true,2312,수 복원하기
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2468,안전 영역
true,2495,연속구간
true,2501,약수 구하기
true,2506,점수계산
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2529,부등호
true,2530,인공지능 시계
true,2557,Hello World
true,2562,최댓값
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2592,대표값
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2644,촌수계산
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2693,N번째 큰 수
true,2702,초6 수학
true,2703,Cryptoquote
true,2711,오타맨 고창영
true,2720,세탁소 사장 동혁
true,2721,삼각수의 합
true,2738,행렬 덧셈
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2805,나무 자르기
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2920,음계
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2948,2009년
true,2954,창영이의 일기장
true,2959,거북이
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2998,8진수
true,3020,개똥벌레
true,3029,경고
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3059,등장하지 않는 문자의 합
true,3190,뱀
true,3344,N-Queen
true,3449,해밍 거리
true,3460,이진수
true,3613,Java vs C++
true,3896,소수 사이 수열
true,3943,헤일스톤 수열
true,4153,직각삼각형
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4388,받아올림
true,4435,중간계 전쟁
true,4446,ROT13
true,4485,녹색 옷 입은 애가 젤다지?
true,4597,패리티
true,4613,Quicksum
true,4641,Doubles
true,4880,다음수
true,4948,베르트랑 공준
true,5014,스타트링크
true,5026,박사 과정
true,5073,삼각형과 세 변
true,5176,대회 자리
true,5347,LCM
true,5533,유니크
true,5585,거스름돈
true,5612,터널의 입구와 출구
true,5618,공약수
true,5622,다이얼
true,5639,이진 검색 트리
true,5656,비교 연산자
true,5692,팩토리얼 진법
true,5704,팬그램
true,5719,거의 최단 경로
true,5789,한다 안한다
true,5800,성적 통계
true,6064,카잉 달력
true,6118,숨바꼭질
true,6321,IBM 빼기 1
true,6378,디지털 루트
true,6502,동혁 피자
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6996,애너그램
true,7287,등록
true,7562,나이트의 이동
true,7567,그릇
true,7569,토마토
true,7572,간지(干支)
true,7576,토마토
true,7785,회사에 있는 사람
true,8949,대충 더해
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9325,얼마?
true,9359,서로소
true,9366,삼각형 분류
true,9370,미확인 도착지
true,9461,파도반 수열
true,9465,스티커
true,9471,피사노 주기
true,9498,시험 성적
true,9506,약수들의 합
true,9625,BABBA
true,9663,N-Queen
true,9946,단어 퍼즐
true,10026,적록색약
true,10159,저울
true,10162,전자레인지
true,10172,개
true,10173,니모를 찾아서
true,10174,팰린드롬
true,10216,Count Circle Groups
