정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1028,다이아몬드 광산
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1074,Z
true,1075,나누기
true,1076,저항
true,1082,방 번호
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1105,팔
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1302,베스트셀러
true,1316,그룹 단어 체커
true,1321,군인
true,1328,고층 빌딩
true,1331,나이트 투어
true,1337,올바른 배열
true,1343,폴리오미노
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1453,피시방 알바
true,1463,1로 만들기
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1550,16진수
true,1577,도로의 개수
true,1581,락스타 락동호
true,1614,영식이의 손가락
true,1629,곱셈
true,1644,소수의 연속합
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1672,DNA 해독
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1713,후보 추천하기
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1743,음식물 피하기
true,1747,소수&팰린드롬
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1789,수들의 합
true,1806,부분합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2036,수열의 점수
true,2042,구간 합 구하기
true,2057,팩토리얼 분해
true,2072,오목
true,2090,조화평균
true,2096,내려가기
true,2109,순회강연
true,2133,타일 채우기
true,2154,수 이어 쓰기 3
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2225,합분해
true,2229,조 짜기
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2253,점프
true,2262,토너먼트 만들기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2303,숫자 게임
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2435,기상청 인턴 신현수
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2450,모양 정돈
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2460,지능형 기차 2
true,2463,비용
true,2464,비밀번호
true,2465,줄 세우기
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2475,검증수
true,2477,참외밭
true,2480,주사위 세개
true,2481,해밍 경로
true,2487,섞기 수열
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2515,전시장
true,2517,달리기
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2553,마지막 팩토리얼 수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2590,색종이
true,2591,숫자카드
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2623,음악프로그램
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2660,회장뽑기
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2711,오타맨 고창영
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2754,학점계산
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2783,삼각 김밥
true,2784,가로 세로 퍼즐
true,2789,유학 금지
true,2790,F7
true,2822,점수 계산
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2854,문제 출제
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2903,중앙 이동 알고리즘
true,2909,캔디 구매
true,2942,퍼거슨과 사과
true,2960,에라토스테네스의 체
true,2992,크면서 작은 수
true,2997,네 번째 수
true,3009,네 번째 점
true,3015,오아시스 재결합
true,3018,캠프파이어
true,3019,테트리스
true,3020,개똥벌레
true,3036,링
true,3049,다각형의 대각선
true,3058,짝수를 찾아라
true,3060,욕심쟁이 돼지
true,3067,Coins
true,3076,상근이의 체스판
true,3164,패턴
true,3226,전화 요금
true,3372,보드 점프
true,3745,오름세
true,3943,헤일스톤 수열
true,3985,롤 케이크
true,3986,좋은 단어
true,4095,최대 정사각형
true,4101,크냐?
true,4158,CD
true,4256,트리
true,4299,AFC 윔블던
true,4307,개미
true,4315,나무 위의 구슬
true,4539,반올림
true,4564,숫자 카드놀이
true,4673,셀프 넘버
true,4883,삼각 그래프
true,4921,나무 블록
true,4963,섬의 개수
true,4999,아!
true,5347,LCM
true,5582,공통 부분 문자열
true,5623,수열의 합
true,5624,좋은 수
true,5636,소수 부분 문자열
true,5724,파인만
true,5883,아이폰 9S
true,6198,옥상 정원 꾸미기
true,6463,팩트
true,6549,히스토그램에서 가장 큰 직사각형
true,7287,등록
true,7469,K번째 수
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7575,바이러스
true,7576,토마토
true,7578,공장
true,7579,앱
true,7894,큰 수
true,8394,악수
true,8741,이진수 합
true,8949,대충 더해
true,8983,사냥꾼
true,9012,괄호
true,9079,동전 게임
true,9084,동전
true,9085,더하기
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9339,마라토너
true,9455,박스
true,9461,파도반 수열
true,9463,순열 그래프
true,9465,스티커
true,9470,Strahler 순서
true,9489,사촌
true,9494,Text Roll
true,9575,행운의 수
true,9576,책 나눠주기
true,9625,BABBA
true,9655,돌 게임
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9946,단어 퍼즐
true,10026,적록색약
true,10039,평균 점수
true,10103,주사위 게임
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10160,암호
true,10162,전자레인지
true,10164,격자상의 경로
true,10217,KCM Travel
true,10250,ACM 호텔
true,10422,괄호
true,10448,유레카 이론
true,10451,순열 사이클
true,10453,문자열 변환
true,10699,오늘 날짜
true,10709,기상캐스터
true,10757,큰 수 A+B
true,10799,쇠막대기
true,10814,나이순 정렬
true,10825,국영수
true,10828,스택
true,10833,사과
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10867,중복 빼고 정렬하기
true,10907,On grid
true,10953,A+B - 6
true,10989,수 정렬하기 3
true,11000,강의실 배정
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11060,점프 점프
true,11066,파일 합치기
true,11098,첼시를 도와줘!
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11557,Yangjojang of The Year
true,11558,The Game of Death
true,11559,Puyo Puyo
true,11560,다항식 게임
true,11562,백양로 브레이크
true,11575,Affine Cipher
true,11576,Base Conversion
true,11655,ROT13
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,12018,Yonsei TOTO
true,12100,2048 (Easy)
true,13460,구슬 탈출 2
true,13900,순서쌍의 곱의 합
true,13909,창문 닫기
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
false,1003,피보나치 함수
false,1006,습격자 초라기
false,1007,벡터 매칭
false,1019,책 페이지
false,1030,프렉탈 평면
false,1038,감소하는 수
false,1041,주사위
false,1064,평행사변형
false,1068,트리
false,1152,단어의 개수
false,1162,도로포장
false,1208,부분수열의 합 2
false,1247,부호
false,1253,좋다
false,1261,알고스팟
false,1275,커피숍2
false,1300,K번째 수
false,1373,2진수 8진수
false,1406,에디터
false,1450,냅색문제
false,1507,궁금한 민호
false,1509,팰린드롬 분할
false,1514,자물쇠
false,1564,팩토리얼5
false,1753,최단경로
false,1920,수 찾기
false,1927,최소 힙
false,2150,Strongly Connected Component
false,2206,벽 부수고 이동하기
false,2268,수들의 합
false,2473,세 용액
false,2482,색상환
false,2505,두 번 뒤집기
false,2554,마지막 팩토리얼 수2
false,2568,전깃줄 - 2
false,2569,짐정리
false,2580,스도쿠
false,2786,상근이의 레스토랑
false,2805,나무 자르기
false,2819,상근이의 로봇
false,2957,이진 탐색 트리
false,3075,Astromeeting
false,3078,좋은 친구
false,3163,떨어지는 개미
false,3190,뱀
false,7512,연속하는 소수의 합
false,7662,이중 우선순위 큐
