정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1051,숫자 정사각형
true,1057,토너먼트
true,1062,가르침
true,1065,한수
true,1072,게임
true,1074,Z
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1205,등수 구하기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1297,TV 크기
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1339,단어 수학
true,1343,폴리오미노
true,1356,유진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1476,날짜 계산
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1592,영식이와 친구들
true,1629,곱셈
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1713,후보 추천하기
true,1717,집합의 표현
true,1726,로봇
true,1735,분수 합
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1789,수들의 합
true,1806,부분합
true,1837,암호제작
true,1850,최대공약수
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1966,프린터 큐
true,1969,DNA
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2014,소수의 곱
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2159,케익 배달
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2331,반복수열
true,2346,풍선 터뜨리기
true,2357,최솟값과 최댓값
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2522,별 찍기 - 12
true,2529,부등호
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2698,인접한 비트의 개수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2725,보이는 점의 개수
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2789,유학 금지
true,2798,블랙잭
true,2800,괄호 제거
true,2805,나무 자르기
true,2816,디지털 티비
true,2822,점수 계산
true,2846,오르막길
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2920,음계
true,2935,소음
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2997,네 번째 수
true,2998,8진수
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3034,앵그리 창영
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3079,입국심사
true,3085,사탕 게임
true,3184,양
true,3190,뱀
true,3649,로봇 프로젝트
true,3986,좋은 단어
true,4344,평균은 넘겠지
true,4358,생태학
true,4375,1
true,4386,별자리 만들기
true,4470,줄번호
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4781,사탕 가게
true,4806,줄 세기
true,4948,베르트랑 공준
true,5014,스타트링크
true,5032,탄산 음료
true,5063,TGN
true,5218,알파벳 거리
true,5376,소수를 분수로
true,5532,방학 숙제
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5585,거스름돈
true,5586,JOI와 IOI
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5639,이진 검색 트리
true,6118,숨바꼭질
true,6359,만취한 상범
true,6416,트리인가?
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6987,월드컵
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9372,상근이의 여행
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9625,BABBA
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10171,고양이
true,10172,개
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10610,30
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11506,占쏙옙
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11931,수 정렬하기 4
true,12761,돌다리
true,12790,Mini Fantasy War
true,12865,평범한 배낭
true,13241,최소공배수
true,13458,시험 감독
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14681,사분면 고르기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15353,큰 수 A+B (2)
true,15486,퇴사 2
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15740,A+B - 9
true,16197,두 동전
true,16198,에너지 모으기
true,16212,정열적인 정렬
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,16918,봄버맨
true,16928,뱀과 사다리 게임
true,16948,데스 나이트
true,16956,늑대와 양
true,16968,차량 번호판 1
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17173,배수들의 합
true,17178,줄서기
true,17281,⚾
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17837,새로운 게임 2
false,1002,터렛
false,1003,피보나치 함수
false,1188,음식 평론가
false,1357,뒤집힌 덧셈
false,1406,에디터
false,1600,말이 되고픈 원숭이
false,1765,닭싸움 팀 정하기
false,1799,비숍
false,1967,트리의 지름
false,2033,반올림
false,2407,조합
false,2749,피보나치 수 3
false,2857,FBI
false,2981,검문
false,3613,Java vs C++
false,3896,소수 사이 수열
false,4811,알약
false,5052,전화번호 목록
false,5373,큐빙
false,5397,키로거
false,6591,이항 쇼다운
false,10826,피보나치 수 4
false,10944,랜덤 게임~~
false,11401,이항 계수 3
false,12100,2048 (Easy)
false,16890,창업
false,17822,원판 돌리기
