정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1026,보물
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1068,트리
true,1074,Z
true,1079,마피아
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1115,순열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1193,분수찾기
true,1195,킥다운
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1238,파티
true,1239,차트
true,1260,DFS와 BFS
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1347,미로 만들기
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1445,일요일 아침의 데이트
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1546,평균
true,1547,공
true,1600,말이 되고픈 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1633,최고의 팀 만들기
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1726,로봇
true,1753,최단경로
true,1759,암호 만들기
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1793,타일링
true,1799,비숍
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1940,주몽
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2004,조합 0의 개수
true,2011,암호코드
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2089,-2진수
true,2096,내려가기
true,2133,타일 채우기
true,2146,다리 만들기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2252,줄 세우기
true,2263,트리의 순회
true,2276,물 채우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2357,최솟값과 최댓값
true,2386,도비의 영어 공부
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2463,비용
true,2468,안전 영역
true,2490,윷놀이
true,2501,약수 구하기
true,2503,숫자 야구
true,2530,인공지능 시계
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2617,구슬 찾기
true,2629,양팔저울
true,2638,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2676,라스칼 삼각형
true,2698,인접한 비트의 개수
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2846,오르막길
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2965,캥거루 세마리
true,2979,트럭 주차
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3020,개똥벌레
true,3036,링
true,3053,택시 기하학
true,3055,탈출
true,3058,짝수를 찾아라
true,3109,빵집
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3273,두 수의 합
true,3568,iSharp
true,3876,sed 이용
true,3895,그리고 하나가 남았다
true,4179,불!
true,4307,개미
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4792,레드 블루 스패닝 트리
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5021,왕위 계승
true,5076,Web Pages
true,5214,환승
true,5373,큐빙
true,5427,불
true,5430,AC
true,5622,다이얼
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6359,만취한 상범
true,6378,디지털 루트
true,6549,히스토그램에서 가장 큰 직사각형
true,6581,HTML
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9613,GCD 합
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10214,Baseball
true,10216,Count Circle Groups
true,10217,KCM Travel
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10430,나머지
true,10451,순열 사이클
true,10718,We love kriii
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10819,차이를 최대로
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10875,뱀
true,10942,팰린드롬?
true,10950,A+B - 3
true,10974,모든 순열
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11003,최솟값 찾기
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11365,!밀비 급일
true,11383,뚊
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11501,주식
true,11559,Puyo Puyo
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11689,"GCD(n, k) = 1"
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11866,요세푸스 문제 0
true,12100,2048 (Easy)
true,12756,고급 레스토랑
true,12761,돌다리
true,12847,꿀 아르바이트
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12897,Candy
true,13163,닉네임에 갓 붙이기
true,13164,행복 유치원
true,13241,최소공배수
true,13301,타일 장식물
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13565,침투
true,13698,Hawk eyes
true,13699,점화식
true,13702,이상한 술집
true,14225,부분수열의 합
true,14429,배스킨라빈스 31
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14585,사수빈탕
true,14620,꽃길
true,14645,와이버스 부릉부릉
true,14709,여우 사인
true,14726,신용카드 판별
true,14727,퍼즐 자르기
true,14728,벼락치기
true,14729,칠무해
true,14730,謎紛芥索紀 (Small)
true,14732,행사장 대여 (Small)
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14918,더하기
true,14920,3n+1 수열
true,14924,폰 노이만과 파리
true,15500,이상한 하노이 탑
true,15552,빠른 A+B
true,15591,MooTube (Silver)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15820,맞았는데 왜 틀리죠?
true,15821,낚이고 낚아라
true,15886,내 선물을 받아줘 2
true,15888,정답은 이수근이야!!
true,15889,호 안에 수류탄이야!!
true,15916,가희는 그래플러야!!
true,15917,노솔브 방지문제야!!
true,15920,선로에 마네킹이야!!
true,15921,수찬은 마린보이야!!
true,15922,아우으 우아으이야!!
true,15923,욱제는 건축왕이야!!
true,15924,욱제는 사과팬이야!!
true,15925,욱제는 정치쟁이야!!
true,15926,현욱은 괄호왕이야!!
true,15927,회문은 회문아니야!!
true,15947,아기 석환 뚜루루 뚜루
true,15953,상금 헌터
true,16208,귀찮음
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16400,소수 화폐
true,16433,주디와 당근농장
true,16435,스네이크버드
true,16456,하와와 대학생쨩 하와이로 가는 거시와요~
true,16504,종이접기
true,16561,3의 배수
true,16929,Two Dots
true,16953,A → B
true,16954,움직이는 미로 탈출
true,16955,"오목, 이길 수 있을까?"
true,16956,늑대와 양
true,16957,체스판 위의 공
true,16958,텔레포트
true,16985,Maaaaaaaaaze
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17090,미로 탈출하기
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17211,좋은 날 싫은 날
true,17213,과일 서리
true,17244,아맞다우산
true,17264,I AM IRONMAN
true,17266,어두운 굴다리
true,17267,상남자
true,17269,이름궁합 테스트
true,17271,리그 오브 레전설 (Small)
true,17281,⚾
true,17286,유미
true,17287,"The Deeper, The Better"
true,17394,핑거 스냅
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17828,문자열 화폐
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,18500,미네랄 2
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
true,19235,모노미노도미노
true,19236,청소년 상어
true,19237,어른 상어
true,19238,스타트 택시
false,1005,ACM Craft
false,1038,감소하는 수
false,1168,요세푸스 문제 2
false,1764,듣보잡
false,1850,최대공약수
false,1865,웜홀
false,2449,전구
false,2504,괄호의 값
false,9250,문자열 집합 판별
false,10597,순열장난
false,11004,K번째 수
false,11657,타임머신
false,12879,카드 세트
false,14646,욱제는 결정장애야!!
