정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1032,명령 프롬프트
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1094,막대기
true,1100,하얀 칸
true,1103,게임
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1264,모음의 개수
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1316,그룹 단어 체커
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1546,평균
true,1550,16진수
true,1563,개근상
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1726,로봇
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1780,종이의 개수
true,1786,찾기
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1890,점프
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1946,신입 사원
true,1958,LCS 3
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2146,다리 만들기
true,2153,소수 단어
true,2156,포도주 시식
true,2157,여행
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2186,문자판
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2458,키 순서
true,2468,안전 영역
true,2477,참외밭
true,2480,주사위 세개
true,2503,숫자 야구
true,2506,점수계산
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2592,대표값
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2615,오목
true,2617,구슬 찾기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2792,보석 상자
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2857,FBI
true,2858,기숙사 바닥
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2877,4와 7
true,2890,카약
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2931,가스관
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2966,찍기
true,2985,세 수
true,2999,비밀 이메일
true,3000,직각 삼각형
true,3046,R2
true,3052,나머지
true,3055,탈출
true,3077,임진왜란
true,3098,소셜네트워크
true,3111,검열
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3460,이진수
true,3613,Java vs C++
true,3967,매직 스타
true,3986,좋은 단어
true,3987,보이저 1호
true,4108,지뢰찾기
true,4179,불!
true,4217,신성 문자
true,4344,평균은 넘겠지
true,4396,지뢰 찾기
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4597,패리티
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4781,사탕 가게
true,4880,다음수
true,4920,테트리스 게임
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5052,전화번호 목록
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5397,키로거
true,5427,불
true,5462,POI
true,5464,주차장
true,5525,IOIOI
true,5543,상근날드
true,5554,심부름 가는 길
true,5558,チーズ
true,5565,영수증
true,5566,주사위 게임
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5613,계산기 프로그램
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,5988,홀수일까 짝수일까
true,6118,숨바꼭질
true,6324,URLs
true,6359,만취한 상범
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,7983,내일 할거야
true,8393,합
true,8595,히든 넘버
true,8911,거북이
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9291,스도쿠 채점
true,9376,탈옥
true,9461,파도반 수열
true,9466,텀 프로젝트
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9536,여우는 어떻게 울지?
true,9550,아이들은 사탕을 좋아해
true,9653,스타워즈 로고
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10430,나머지
true,10718,We love kriii
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10798,세로읽기
true,10804,카드 역배치
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10824,네 수
true,10825,국영수
true,10827,a^b
true,10828,스택
true,10829,이진수 변환
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10992,별 찍기 - 17
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11060,점프 점프
true,11179,2진수 뒤집기
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11375,열혈강호
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11502,세 개의 소수 문제
true,11504,돌려 돌려 돌림판!
true,11505,구간 곱 구하기
true,11509,풍선 맞추기
true,11559,Puyo Puyo
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11811,데스스타
true,11812,K진 트리
true,11816,"8진수, 10진수, 16진수"
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,11945,뜨거운 붕어빵
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12101,"1, 2, 3 더하기 2"
true,12738,가장 긴 증가하는 부분 수열 3
true,12813,이진수 연산
true,12851,숨바꼭질 2
true,13265,색칠하기
true,13335,트럭
true,13398,연속합 2
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13565,침투
true,13567,로봇
true,13711,LCS 4
true,13901,로봇
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14438,수열과 쿼리 17
true,14442,벽 부수고 이동하기 2
true,14491,9진수
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14620,꽃길
true,14627,파닭파닭
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14918,더하기
true,14923,미로 탈출
true,14925,목장 건설하기
true,15351,인생 점수
true,15353,큰 수 A+B (2)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15655,N과 M (6)
true,15657,N과 M (8)
true,15662,톱니바퀴 (2)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,16234,인구 이동
true,16236,아기 상어
true,16946,벽 부수고 이동하기 4
true,16953,A → B
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17144,미세먼지 안녕!
false,1019,책 페이지
false,1063,킹
false,1107,리모컨
false,1298,노트북의 주인을 찾아서
false,1325,효율적인 해킹
false,1365,꼬인 전깃줄
false,1539,이진 검색 트리
false,1707,이분 그래프
false,1715,카드 정렬하기
false,1761,정점들의 거리
false,1764,듣보잡
false,1904,01타일
false,1939,중량제한
false,1967,트리의 지름
false,2001,보석 줍기
false,2004,조합 0의 개수
false,2026,소풍
false,2108,통계학
false,2174,로봇 시뮬레이션
false,2470,두 용액
false,2482,색상환
false,2504,괄호의 값
false,2589,보물섬
false,2661,좋은수열
false,2733,Brainf*ck
false,2957,이진 탐색 트리
false,2981,검문
false,3012,올바른 괄호 문자열
false,3079,입국심사
false,3085,사탕 게임
false,3197,백조의 호수
false,3407,맹세
false,5214,환승
false,5446,용량 부족
false,5465,곰돌이
false,6416,트리인가?
false,9205,맥주 마시면서 걸어가기
false,9345,디지털 비디오 디스크(DVDs)
false,10157,자리배정
false,10216,Count Circle Groups
false,10217,KCM Travel
false,10218,Maze
false,10282,해킹
false,10800,컬러볼
false,10835,카드게임
false,10942,팰린드롬?
false,10995,별 찍기 - 20
false,11376,열혈강호 2
false,11437,LCA
false,12094,2048 (Hard)
false,12852,1로 만들기 2
false,13277,큰 수 곱셈
false,13907,세금
false,13911,집 구하기
false,14867,물통
false,15663,N과 M (9)
false,16235,나무 재테크
false,17070,파이프 옮기기 1
