정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1043,거짓말
true,1062,가르침
true,1065,한수
true,1074,Z
true,1080,행렬
true,1086,박성원
true,1094,막대기
true,1102,발전소
true,1107,리모컨
true,1126,같은 탑
true,1149,RGB거리
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1309,동물원
true,1328,고층 빌딩
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1450,냅색문제
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1535,안녕
true,1541,잃어버린 괄호
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1620,나는야 포켓몬 마스터 이다솜
true,1626,두 번째로 작은 스패닝 트리
true,1629,곱셈
true,1644,소수의 연속합
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1719,택배
true,1720,타일 코드
true,1722,순열의 순서
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1793,타일링
true,1806,부분합
true,1866,택배
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1948,임계경로
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2022,사다리
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2089,-2진수
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2172,팰린드롬 경로
true,2178,미로 탐색
true,2184,김치 배달
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2225,합분해
true,2228,구간 나누기
true,2233,사과나무
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2331,반복수열
true,2357,최솟값과 최댓값
true,2407,조합
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2470,두 용액
true,2479,경로 찾기
true,2482,색상환
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2565,전깃줄
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2586,소방차
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2621,카드게임
true,2623,음악프로그램
true,2629,양팔저울
true,2632,피자판매
true,2635,수 이어가기
true,2636,치즈
true,2641,다각형그리기
true,2644,촌수계산
true,2658,직각이등변삼각형찾기
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2672,여러 직사각형의 전체 면적 구하기
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2741,N 찍기
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2910,빈도 정렬
true,3012,올바른 괄호 문자열
true,3015,오아시스 재결합
true,3055,탈출
true,3111,검열
true,3176,도로 네트워크
true,3190,뱀
true,3653,영화 수집
true,4195,친구 네트워크
true,4243,보안 업체
true,4485,녹색 옷 입은 애가 젤다지?
true,4811,알약
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5213,과외맨
true,5557,1학년
true,5582,공통 부분 문자열
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,6118,숨바꼭질
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7453,합이 0인 네 정수
true,7476,최대 공통 증가 수열
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9613,GCD 합
true,9663,N-Queen
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,10158,개미
true,10211,Maximum Subarray
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10718,We love kriii
true,10775,공항
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10820,문자열 분석
true,10822,더하기
true,10824,네 수
true,10825,국영수
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11023,더하기 3
true,11025,요세푸스 문제 3
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11066,파일 합치기
true,11266,단절점
true,11279,최대 힙
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11402,이항 계수 4
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11439,이항 계수 5
true,11444,피보나치 수 6
true,11576,Base Conversion
true,11577,Condition of deep sleep
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,12100,2048 (Easy)
true,12767,Ceiling Function
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12869,뮤탈리스크
true,12872,플레이리스트
true,12969,ABC
true,12996,Acka
true,13398,연속합 2
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,13974,파일 합치기 2
true,14226,이모티콘
true,14238,출근 기록
true,14391,종이 조각
true,14442,벽 부수고 이동하기 2
true,14443,채점 소수 번호
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14621,나만 안되는 연애
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15486,퇴사 2
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15661,링크와 스타트
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15685,드래곤 커브
true,15686,치킨 배달
true,15953,상금 헌터
true,15954,인형들
true,15955,부스터
true,16118,달빛 여우
true,16120,PPAP
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16403,놀이동산
true,16459,독서의 계절
true,16464,가주아
true,16470,A Homogeneous Country
true,16471,작은 수 내기
true,16472,고냥이
true,16561,3의 배수
true,16562,친구비
true,16563,어려운 소인수분해
true,16567,바이너리 왕국
true,16571,알파 틱택토
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16712,Finding Love
true,16713,Generic Queries
true,16715,Inspiration
true,16928,뱀과 사다리 게임
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17144,미세먼지 안녕!
true,17779,게리맨더링 2
false,1201,NMK
false,1762,평면그래프와 삼각형
false,1865,웜홀
false,2011,암호코드
false,4781,사탕 가게
false,10422,괄호
false,11657,타임머신
false,15547,Lorem ipsum
false,16121,사무실 이전
false,16467,병아리의 변신은 무죄
false,16707,American Tour
false,16940,BFS 스페셜 저지
