정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1041,주사위
true,1051,숫자 정사각형
true,1057,토너먼트
true,1059,수2
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1072,게임
true,1085,직사각형에서 탈출
true,1086,박성원
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1205,등수 구하기
true,1213,팰린드롬 만들기
true,1238,파티
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1305,광고
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1463,1로 만들기
true,1504,특정한 최단 경로
true,1517,버블 소트
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1551,수열의 변화
true,1562,계단 수
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1719,택배
true,1726,로봇
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1826,연료 채우기
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1944,복제 로봇
true,1952,달팽이2
true,1956,운동
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2012,등수 매기기
true,2014,소수의 곱
true,2022,사다리
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2146,다리 만들기
true,2156,포도주 시식
true,2160,그림 비교
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2213,트리의 독립집합
true,2220,힙 정렬
true,2230,수 고르기
true,2231,분해합
true,2234,성곽
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2343,기타 레슨
true,2399,거리의 합
true,2406,안정적인 네트워크
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2468,안전 영역
true,2482,색상환
true,2493,탑
true,2503,숫자 야구
true,2512,예산
true,2523,별 찍기 - 13
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2562,최댓값
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2617,구슬 찾기
true,2618,경찰차
true,2638,치즈
true,2644,촌수계산
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2711,오타맨 고창영
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2843,마블
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2933,미네랄
true,2935,소음
true,2941,크로아티아 알파벳
true,2959,거북이
true,2979,트럭 주차
true,2980,도로와 신호등
true,2983,개구리 공주
true,3009,네 번째 점
true,3020,개똥벌레
true,3022,PRASE
true,3047,ABC
true,3048,개미
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3108,로고
true,3184,양
true,3190,뱀
true,3430,용이 산다
true,3568,iSharp
true,3649,로봇 프로젝트
true,3780,네트워크 연결
true,3980,선발 명단
true,3985,롤 케이크
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4803,트리
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4999,아!
true,5014,스타트링크
true,5052,전화번호 목록
true,5218,알파벳 거리
true,5397,키로거
true,5427,불
true,5430,AC
true,5532,방학 숙제
true,5543,상근날드
true,5566,주사위 게임
true,5586,JOI와 IOI
true,5622,다이얼
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,6087,레이저 통신
true,6118,숨바꼭질
true,6236,용돈 관리
true,6497,전력난
true,6543,그래프의 싱크
true,6593,상범 빌딩
true,6603,로또
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9086,문자열
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9663,N-Queen
true,9935,문자열 폭발
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10171,고양이
true,10172,개
true,10217,KCM Travel
true,10250,ACM 호텔
true,10282,해킹
true,10423,전기가 부족해
true,10430,나머지
true,10473,인간 대포
true,10718,We love kriii
true,10773,제로
true,10774,저지
true,10775,공항
true,10798,세로읽기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10822,더하기
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11062,카드 게임
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11657,타임머신
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12791,Starman
true,12852,1로 만들기 2
true,13414,수강신청
true,13418,학교 탐방하기
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14670,병약한 영정
true,14681,사분면 고르기
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14923,미로 탈출
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15681,트리와 쿼리
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15829,Hashing
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16562,친구비
true,16637,괄호 추가하기
true,16918,봄버맨
true,16934,게임 닉네임
true,16956,늑대와 양
true,17070,파이프 옮기기 1
true,17090,미로 탈출하기
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17281,⚾
true,17404,RGB거리 2
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17837,새로운 게임 2
true,18258,큐 2
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
true,19236,청소년 상어
false,1015,수열 정렬
false,1727,커플 만들기
false,1941,소문난 칠공주
false,2174,로봇 시뮬레이션
false,2248,이진수 찾기
false,2309,일곱 난쟁이
false,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
false,2636,치즈
false,2758,로또
false,2842,집배원 한상덕
false,2931,가스관
false,3006,터보소트
false,3079,입국심사
false,3197,백조의 호수
false,4343,Arctic Network
false,4963,섬의 개수
false,4991,로봇 청소기
false,5373,큐빙
false,7785,회사에 있는 사람
false,9376,탈옥
false,10256,돌연변이
false,13549,숨바꼭질 3
false,14225,부분수열의 합
