정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1035,조각 움직이기
true,1037,약수
true,1049,기타줄
true,1079,마피아
true,1107,리모컨
true,1109,섬
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1149,RGB거리
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1182,부분수열의 합
true,1189,컴백홈
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1244,스위치 켜고 끄기
true,1245,농장 관리
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1271,엄청난 부자2
true,1285,동전 뒤집기
true,1309,동물원
true,1325,효율적인 해킹
true,1333,부재중 전화
true,1339,단어 수학
true,1343,폴리오미노
true,1373,2진수 8진수
true,1395,스위치
true,1400,화물차
true,1406,에디터
true,1436,영화감독 숌
true,1463,1로 만들기
true,1473,미로 탈출
true,1476,날짜 계산
true,1495,기타리스트
true,1497,기타콘서트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1550,16진수
true,1600,말이 되고픈 원숭이
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1726,로봇
true,1740,거듭제곱
true,1743,음식물 피하기
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1790,수 이어 쓰기 2
true,1793,타일링
true,1800,인터넷 설치
true,1806,부분합
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1913,달팽이
true,1918,후위 표기식
true,1920,수 찾기
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1946,신입 사원
true,1952,달팽이2
true,1959,달팽이3
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2015,수들의 합 4
true,2018,수들의 합 5
true,2065,나룻배
true,2098,외판원 순회
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2164,카드2
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2251,물통
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2331,반복수열
true,2336,굉장한 학생
true,2338,긴자리 계산
true,2343,기타 레슨
true,2407,조합
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2423,전구를 켜라
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2449,전구
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2485,가로수
true,2490,윷놀이
true,2491,수열
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2506,점수계산
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2529,부등호
true,2531,회전 초밥
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2571,색종이 - 3
true,2573,빙산
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2590,색종이
true,2592,대표값
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2631,줄세우기
true,2632,피자판매
true,2633,로봇
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2659,십자카드 문제
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2745,진법 변환
true,2747,피보나치 수
true,2753,윤년
true,2798,블랙잭
true,2805,나무 자르기
true,2812,크게 만들기
true,2841,외계인의 기타 연주
true,2875,대회 or 인턴
true,2917,늑대 사냥꾼
true,2931,가스관
true,2933,미네랄
true,2961,도영이가 만든 맛있는 음식
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3055,탈출
true,3085,사탕 게임
true,3109,빵집
true,3190,뱀
true,3197,백조의 호수
true,3709,레이저빔은 어디로
true,4256,트리
true,4485,녹색 옷 입은 애가 젤다지?
true,4880,다음수
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5022,연결
true,5032,탄산 음료
true,5373,큐빙
true,5427,불
true,5532,방학 숙제
true,5558,チーズ
true,5585,거스름돈
true,5586,JOI와 IOI
true,5623,수열의 합
true,5624,좋은 수
true,5676,음주 코딩
true,5717,상근이의 친구들
true,5827,What's Up With Gravity
true,5852,Island Travels
true,5873,Distant Pastures
true,5894,Connect the Cows
true,5901,Relocation
true,5917,Roadblock
true,5921,Escaping the Farm
true,5931,Cow Beauty Pageant
true,6064,카잉 달력
true,6086,최대 유량
true,6087,레이저 통신
true,6198,옥상 정원 꾸미기
true,6207,Cow Picnic
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,6987,월드컵
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7573,고기잡이
true,7576,토마토
true,7578,공장
true,8972,미친 아두이노
true,8982,수족관 1
true,8983,사냥꾼
true,8987,수족관 3
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9251,LCS
true,9372,상근이의 여행
true,9437,사라진 페이지 찾기
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9527,1의 개수 세기
true,9610,사분면
true,9613,GCD 합
true,9663,N-Queen
true,9873,Cow Baseball
true,9874,Wormholes
true,9877,Ski Course Rating
true,9879,Cross Country Skiing
true,9881,Ski Course Design
true,9935,문자열 폭발
true,9944,NxM 보드 완주하기
true,9988,Roadblock
true,9999,구구
true,10026,적록색약
true,10037,Decorating the Pastures
true,10157,자리배정
true,10162,전자레인지
true,10163,색종이
true,10171,고양이
true,10174,팰린드롬
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10539,수빈이와 수열
true,10610,30
true,10653,마라톤 2
true,10654,Cow Jog
true,10655,마라톤 1
true,10657,Cow Jog
true,10673,Cow Routing
true,10675,Cow Routing
true,10676,Cow Routing II
true,10699,오늘 날짜
true,10709,기상캐스터
true,10711,모래성
true,10757,큰 수 A+B
true,10797,10부제
true,10799,쇠막대기
true,10801,카드게임
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10825,국영수
true,10828,스택
true,10829,이진수 변환
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10872,팩토리얼
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10998,A×B
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11451,팩맨
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11559,Puyo Puyo
true,11576,Base Conversion
true,11653,소인수분해
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11950,2016 IOI
true,11952,좀비
true,11964,Fruit Feast
true,11967,불켜기
true,11977,Angry Cows (Bronze)
true,11978,Mowing the Field (Bronze)
true,11993,Circular Barn (Gold)
true,11996,Circular Barn (Silver)
true,11997,Load Balancing (Silver)
true,12000,Circular Barn (Bronze)
true,12001,Load Balancing (Bronze)
true,12096,
true,12100,2048 (Easy)
true,12101,"1, 2, 3 더하기 2"
true,12813,이진수 연산
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,13023,ABCDE
true,13235,팰린드롬
true,13239,Combinations
true,13241,최소공배수
true,13300,방 배정
true,13335,트럭
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13580,Andando no tempo
true,13595,Mania de Par
true,13596,Bolsa de Valores
true,13597,Tri-du
true,13600,Fatorial
true,13604,Jogo de Estratégia
true,13614,Ecologia
true,13627,Dangerous Dive
true,13659,Robô Colecionador
true,13661,Desvio de Rota
true,13670,Alarme Despertador
true,13680,Dama
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14226,이모티콘
true,14324,Rain (Small)
true,14325,Rain (Large)
true,14425,문자열 집합
true,14442,벽 부수고 이동하기 2
true,14466,소가 길을 건너간 이유 6
true,14467,소가 길을 건너간 이유 1
true,14469,소가 길을 건너간 이유 3
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14912,숫자 빈도수
true,14948,군대탈출하기
true,15044,Fase
true,15051,Máquina de café
true,15059,Hard choice
true,15113,Grid Coloring
true,15235,Olympiad Pizza
true,15486,퇴사 2
true,15552,빠른 A+B
true,15591,MooTube (Silver)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15661,링크와 스타트
true,15662,톱니바퀴 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15712,등비수열
true,15894,수학은 체육과목 입니다
true,15988,"1, 2, 3 더하기 3"
true,15989,"1, 2, 3 더하기 4"
true,15990,"1, 2, 3 더하기 5"
true,16170,오늘의 날짜는?
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16445,Desvendando Monty Hall
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16766,Convention
true,16767,Convention II
true,16768,Mooyo Mooyo
true,16769,Mixing Milk
true,16917,양념 반 후라이드 반
true,16918,봄버맨
true,16922,로마 숫자 만들기
true,16926,배열 돌리기 1
true,16927,배열 돌리기 2
true,16928,뱀과 사다리 게임
true,16929,Two Dots
true,16935,배열 돌리기 3
true,16938,캠프 준비
true,16939,2×2×2 큐브
true,16943,숫자 재배치
true,16947,서울 지하철 2호선
true,16957,체스판 위의 공
true,16968,차량 번호판 1
true,16985,Maaaaaaaaaze
true,17025,Icy Perimeter
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17090,미로 탈출하기
true,17103,골드바흐 파티션
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17182,우주 탐사선
true,17198,Bucket Brigade
true,17199,Milk Factory
true,17281,⚾
