정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1005,ACM Craft
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1034,램프
true,1037,약수
true,1038,감소하는 수
true,1043,거짓말
true,1057,토너먼트
true,1058,친구
true,1062,가르침
true,1065,한수
true,1074,Z
true,1080,행렬
true,1083,소트
true,1085,직사각형에서 탈출
true,1089,엘리베이터
true,1093,스티커 수집
true,1100,하얀 칸
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1242,소풍
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1337,올바른 배열
true,1339,단어 수학
true,1343,폴리오미노
true,1344,축구
true,1357,뒤집힌 덧셈
true,1360,되돌리기
true,1408,24
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1484,다이어트
true,1486,등산
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1516,게임 개발
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1535,안녕
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1551,수열의 변화
true,1563,개근상
true,1598,꼬리를 무는 숫자 나열
true,1600,말이 되고픈 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1712,손익분기점
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1769,3의 배수
true,1773,폭죽쇼
true,1780,종이의 개수
true,1781,컵라면
true,1799,비숍
true,1801,직사각형 만들기
true,1806,부분합
true,1871,좋은 자동차 번호판
true,1911,흙길 보수하기
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1940,주몽
true,1944,복제 로봇
true,1946,신입 사원
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1972,놀라운 문자열
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,2002,추월
true,2003,수들의 합 2
true,2010,플러그
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2133,타일 채우기
true,2143,두 배열의 합
true,2145,숫자 놀이
true,2146,다리 만들기
true,2151,거울 설치
true,2153,소수 단어
true,2163,초콜릿 자르기
true,2170,선 긋기
true,2178,미로 탐색
true,2206,벽 부수고 이동하기
true,2212,센서
true,2217,로프
true,2225,합분해
true,2230,수 고르기
true,2231,분해합
true,2234,성곽
true,2240,자두나무
true,2251,물통
true,2252,줄 세우기
true,2263,트리의 순회
true,2287,모노디지털 표현
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2490,윷놀이
true,2493,탑
true,2526,싸이클
true,2529,부등호
true,2531,회전 초밥
true,2557,Hello World
true,2559,수열
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2628,종이자르기
true,2630,색종이 만들기
true,2631,줄세우기
true,2632,피자판매
true,2636,치즈
true,2644,촌수계산
true,2660,회장뽑기
