정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1058,친구
true,1062,가르침
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1201,NMK
true,1202,보석 도둑
true,1225,이상한 곱셈
true,1233,주사위
true,1235,학생 번호
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1248,맞춰봐
true,1251,단어 나누기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1264,모음의 개수
true,1269,대칭 차집합
true,1275,커피숍2
true,1285,동전 뒤집기
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1339,단어 수학
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1436,영화감독 숌
true,1439,뒤집기
true,1449,수리공 항승
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1507,궁금한 민호
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1550,16진수
true,1598,꼬리를 무는 숫자 나열
true,1629,곱셈
true,1644,소수의 연속합
true,1652,누울 자리를 찾아라
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1725,히스토그램
true,1743,음식물 피하기
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1755,숫자놀이
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1789,수들의 합
true,1806,부분합
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1942,디지털시계
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1969,DNA
true,1972,놀라운 문자열
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2002,추월
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2096,내려가기
true,2109,순회강연
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2156,포도주 시식
true,2157,여행
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2243,사탕상자
true,2251,물통
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2346,풍선 터뜨리기
true,2357,최솟값과 최댓값
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2482,색상환
true,2490,윷놀이
true,2493,탑
true,2495,연속구간
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2529,부등호
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2566,최댓값
true,2571,색종이 - 3
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2592,대표값
true,2594,놀이공원
true,2602,돌다리 건너기
true,2606,바이러스
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2622,삼각형만들기
true,2631,줄세우기
true,2644,촌수계산
true,2655,가장높은탑쌓기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2789,유학 금지
true,2798,블랙잭
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2852,NBA 농구
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2890,카약
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2910,빈도 정렬
true,2914,저작권
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2966,찍기
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3005,크로스워드 퍼즐 쳐다보기
true,3015,오아시스 재결합
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3048,개미
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3059,등장하지 않는 문자의 합
true,3184,양
true,3190,뱀
true,3460,이진수
true,3653,영화 수집
true,4096,팰린드로미터
true,4101,크냐?
true,4153,직각삼각형
true,4158,CD
true,4159,알래스카
true,4344,평균은 넘겠지
true,4435,중간계 전쟁
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4999,아!
true,5026,박사 과정
true,5052,전화번호 목록
true,5063,TGN
true,5073,삼각형과 세 변
true,5524,입실 관리
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5585,거스름돈
true,5586,JOI와 IOI
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5613,계산기 프로그램
true,5618,공약수
true,5622,다이얼
true,5637,가장 긴 단어
true,5648,역원소 정렬
true,5651,완전 중요한 간선
true,5656,비교 연산자
true,5704,팬그램
true,5717,상근이의 친구들
true,5988,홀수일까 짝수일까
true,6086,최대 유량
true,6087,레이저 통신
true,6118,숨바꼭질
true,6359,만취한 상범
true,6378,디지털 루트
true,6550,부분 문자열
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7326,Number Steps
true,7469,K번째 수
true,7510,고급 수학
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7576,토마토
true,7578,공장
true,7579,앱
true,7785,회사에 있는 사람
true,8393,합
true,8741,이진수 합
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9316,Hello Judge
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9463,순열 그래프
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9653,스타워즈 로고
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10102,개표
true,10103,주사위 게임
true,10157,자리배정
true,10159,저울
true,10172,개
true,10250,ACM 호텔
true,10282,해킹
true,10422,괄호
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10610,30
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10800,컬러볼
true,10804,카드 역배치
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10828,스택
true,10837,동전 게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10991,별 찍기 - 16
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11320,삼각 무늬 - 1
true,11365,!밀비 급일
true,11383,뚊
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11495,격자 0 만들기
true,11501,주식
true,11502,세 개의 소수 문제
true,11505,구간 곱 구하기
true,11557,Yangjojang of The Year
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,12100,2048 (Easy)
true,12756,고급 레스토랑
true,12790,Mini Fantasy War
true,12837,가계부 (Hard)
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12886,돌 그룹
true,12904,A와 B
true,12996,Acka
true,13023,ABCDE
true,13235,팰린드롬
true,13241,최소공배수
true,13277,큰 수 곱셈
true,13398,연속합 2
true,13410,거꾸로 구구단
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13900,순서쌍의 곱의 합
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14238,출근 기록
true,14395,4연산
true,14490,백대열
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14624,전북대학교
true,14645,와이버스 부릉부릉
true,14656,조교는 새디스트야!!
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15232,Rectangles
true,15486,퇴사 2
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15658,연산자 끼워넣기 (2)
true,15661,링크와 스타트
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15686,치킨 배달
true,15740,A+B - 9
true,15970,화살표 그리기
true,15988,"1, 2, 3 더하기 3"
true,15989,"1, 2, 3 더하기 4"
true,15990,"1, 2, 3 더하기 5"
true,15992,"1, 2, 3 더하기 7"
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16236,아기 상어
true,16954,움직이는 미로 탈출
true,17103,골드바흐 파티션
true,17298,오큰수
true,17404,RGB거리 2
false,1208,부분수열의 합 2
false,1504,특정한 최단 경로
false,1526,가장 큰 금민수
false,1543,문서 검색
false,1726,로봇
false,1933,스카이라인
false,1958,LCS 3
false,1967,트리의 지름
false,2003,수들의 합 2
