정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1051,숫자 정사각형
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1068,트리
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1302,베스트셀러
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1337,올바른 배열
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1504,특정한 최단 경로
true,1546,평균
true,1547,공
true,1620,나는야 포켓몬 마스터 이다솜
true,1639,행운의 티켓
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1712,손익분기점
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1773,폭죽쇼
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1939,중량제한
true,1940,주몽
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1978,소수 찾기
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2014,소수의 곱
true,2015,수들의 합 4
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2109,순회강연
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2210,숫자판 점프
true,2231,분해합
true,2252,줄 세우기
true,2292,벌집
true,2294,동전 2
true,2309,일곱 난쟁이
true,2313,보석 구매하기
true,2355,시그마
true,2399,거리의 합
true,2405,"세 수, 두 M"
true,2435,기상청 인턴 신현수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2523,별 찍기 - 13
true,2530,인공지능 시계
true,2531,회전 초밥
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2725,보이는 점의 개수
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2812,크게 만들기
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2865,나는 위대한 슈퍼스타K
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2966,찍기
true,3009,네 번째 점
true,3029,경고
true,3040,백설 공주와 일곱 난쟁이
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3058,짝수를 찾아라
true,3062,수 뒤집기
true,3085,사탕 게임
true,3109,빵집
true,3163,떨어지는 개미
true,3273,두 수의 합
true,3449,해밍 거리
true,3482,Labyrinth
true,3986,좋은 단어
true,4153,직각삼각형
true,4196,도미노
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5052,전화번호 목록
true,5063,TGN
true,5214,환승
true,5354,J박스
true,5430,AC
true,5543,상근날드
true,5545,최고의 피자
true,5567,결혼식
true,5585,거스름돈
true,5598,카이사르 암호
true,5622,다이얼
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,5874,소를 찾아라
true,5912,Haybale Stacking
true,5957,Cleaning the Dishes
true,5966,Cow Cotillion
true,6118,숨바꼭질
true,6159,코스튬 파티
true,6359,만취한 상범
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7573,고기잡이
true,7576,토마토
true,7585,Brackets
true,7676,Saruman’s army
true,7785,회사에 있는 사람
true,7795,먹을 것인가 먹힐 것인가
true,8393,합
true,8933,MCS
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9324,진짜 메시지
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9494,Text Roll
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9523,Arithmetic with Morse
true,9663,N-Queen
true,9728,Pair Sum
true,10026,적록색약
true,10039,평균 점수
true,10040,투표
true,10101,삼각형 외우기
true,10103,주사위 게임
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10250,ACM 호텔
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10546,배부른 마라토너
true,10610,30
true,10713,기차 여행
true,10718,We love kriii
true,10751,COW
true,10773,제로
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10881,프로도의 선물 포장
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11057,오르막 수
true,11365,!밀비 급일
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11423,Primes
true,11441,합 구하기
true,11562,백양로 브레이크
true,11565,바이너리 게임
true,11567,선진이의 겨울 왕국
true,11571,분수를 소수로
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11758,CCW
true,11780,플로이드 2
true,11955,PROZOR
true,11963,High Card Low Card (Gold)
true,11969,Breed Counting
true,12018,Yonsei TOTO
true,12234,Data Packing (Small)
true,12235,Data Packing (Large)
true,12514,Candy Splitting (Large)
true,12789,도키도키 간식드리미
true,13136,Do Not Touch Anything
true,13163,닉네임에 갓 붙이기
true,13308,주유소
true,13460,구슬 탈출 2
true,13866,팀 나누기
true,13913,숨바꼭질 4
true,14336,Sums of Sums (Small)
true,14453,"Hoof, Paper, Scissors (Silver)"
true,14465,소가 길을 건너간 이유 5
true,14470,전자레인지
true,14501,퇴사
true,14502,연구소
true,14582,오늘도 졌다
true,14594,동방 프로젝트 (Small)
true,14621,나만 안되는 연애
true,14652,나는 행복합니다~
true,14681,사분면 고르기
true,14699,관악산 등산
true,14709,여우 사인
true,14710,고장난 시계
true,14711,타일 뒤집기 (Easy)
true,14715,전생했더니 슬라임 연구자였던 건에 대하여 (Easy)
true,14728,벼락치기
true,14888,연산자 끼워넣기
true,14891,톱니바퀴
true,14921,용액 합성하기
true,15355,Programiranje
true,15552,빠른 A+B
true,15565,귀여운 라이언
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15783,세진 바이러스
true,15791,세진이의 미팅
true,15815,천재 수학자 성필
true,15894,수학은 체육과목 입니다
true,15903,카드 합체 놀이
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,16139,인간-컴퓨터 상호작용
true,16396,선 그리기
true,16397,탈출
true,16400,소수 화폐
true,16464,가주아
true,16507,어두운 건 무서워
true,16654,Generalized German Quotation
true,16713,Generic Queries
true,16920,확장 게임
true,17123,배열 놀이
true,17164,Rainbow Beads
true,17270,연예인은 힘들어
true,17298,오큰수
true,17299,오등큰수
true,17362,수학은 체육과목 입니다 2
true,17363,우유가 넘어지면?
true,17390,이건 꼭 풀어야 해!
true,17413,단어 뒤집기 2
true,17450,과자 사기
true,17451,평행 우주
true,17452,Christmalo.win
true,17550,Inquiry I
true,17585,Circuit Math
true,17877,Integer Division
true,17882,Tired Terry
true,17952,과제는 끝나지 않아!
false,1002,터렛
false,1918,후위 표기식
false,2152,여행 계획 세우기
false,10885,수열의 장인
false,11055,가장 큰 증가 부분 수열
false,11572,확률 실험
false,13164,행복 유치원
false,15788,밸런스 스톤
false,15897,잘못 구현한 에라토스테네스의 체
