정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1051,숫자 정사각형
true,1058,친구
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1174,줄어드는 숫자
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1225,이상한 곱셈
true,1234,크리스마스 트리
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1309,동물원
true,1316,그룹 단어 체커
true,1339,단어 수학
true,1350,진짜 공간
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1410,패턴의 개수
true,1411,비슷한 단어
true,1421,나무꾼 이다솜
true,1427,소트인사이드
true,1453,피시방 알바
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1546,평균
true,1549,K
true,1550,16진수
true,1563,개근상
true,1598,꼬리를 무는 숫자 나열
true,1612,가지고 노는 1
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1713,후보 추천하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1911,흙길 보수하기
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1940,주몽
true,1946,신입 사원
true,1956,운동
true,1965,상자넣기
true,1966,프린터 큐
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2004,조합 0의 개수
true,2010,플러그
true,2012,등수 매기기
true,2042,구간 합 구하기
true,2056,작업
true,2069,보이는 산맥
true,2096,내려가기
true,2133,타일 채우기
true,2140,지뢰찾기
true,2143,두 배열의 합
true,2157,여행
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2212,센서
true,2232,지뢰
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2355,시그마
true,2399,거리의 합
true,2410,2의 멱수의 합
true,2420,사파리월드
true,2428,표절
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2468,안전 영역
true,2475,검증수
true,2485,가로수
true,2490,윷놀이
true,2501,약수 구하기
true,2503,숫자 야구
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2602,돌다리 건너기
true,2606,바이러스
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2622,삼각형만들기
true,2630,색종이 만들기
true,2636,치즈
true,2653,안정된 집단
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2676,라스칼 삼각형
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2702,초6 수학
true,2728,오늘은 마가리타 한 잔?
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2777,숫자 놀이
true,2783,삼각 김밥
true,2798,블랙잭
true,2805,나무 자르기
true,2810,컵홀더
true,2823,유턴 싫어
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2877,4와 7
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2953,나는 요리사다
true,2965,캥거루 세마리
true,3020,개똥벌레
true,3034,앵그리 창영
true,3046,R2
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3058,짝수를 찾아라
true,3460,이진수
true,3655,먼저 가세요
true,3671,산업 스파이의 편지
true,4101,크냐?
true,4344,평균은 넘겠지
true,4504,배수 찾기
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4781,사탕 가게
true,4884,FIFA 월드컵
true,4963,섬의 개수
true,5032,탄산 음료
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5052,전화번호 목록
true,5063,TGN
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5397,키로거
true,5527,전구 장식
true,5543,상근날드
true,5554,심부름 가는 길
true,5565,영수증
true,5567,결혼식
true,5597,과제 안 내신 분..?
true,5618,공약수
true,5622,다이얼
true,5692,팩토리얼 진법
true,5904,Moo 게임
true,6091,핑크 플로이드
true,6118,숨바꼭질
true,6321,IBM 빼기 1
true,6378,디지털 루트
true,6502,동혁 피자
true,6591,이항 쇼다운
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7511,소셜 네트워킹 어플리케이션
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7571,점 모으기
true,7576,토마토
true,7770,아즈텍 피라미드
true,7812,중앙 트리
true,8320,직사각형을 만드는 방법
true,8393,합
true,8891,점 숫자
true,8892,팰린드롬
true,8893,Pandora
true,8895,막대 배치
true,8896,가위 바위 보
true,8911,거북이
true,8958,OX퀴즈
true,9007,카누 선수
true,9009,피보나치
true,9011,순서
true,9012,괄호
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9417,최대 GCD
true,9437,사라진 페이지 찾기
true,9461,파도반 수열
true,9465,스티커
true,9494,Text Roll
true,9498,시험 성적
true,9506,약수들의 합
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9935,문자열 폭발
true,10039,평균 점수
true,10040,투표
true,10101,삼각형 외우기
true,10166,관중석
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10253,헨리
true,10275,골드 러시
true,10409,서버
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10546,배부른 마라토너
true,10597,순열장난
true,10610,30
true,10699,오늘 날짜
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10811,바구니 뒤집기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10948,Daily 로또
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10984,내 학점을 구해줘
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11068,회문인 수
true,11279,최대 힙
true,11375,열혈강호
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11670,초등 수학
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11759,Bottled-Up Feelings
true,11760,Mastering Mastermind
true,11761,Shuffling Along
true,11762,A Towering Problem
true,11766,Rings
true,11767,Squawk Virus
true,11768,Transportation Delegation
true,11771,What’s on the Grille?
true,11880,개미
true,11899,괄호 끼워넣기
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,11951,JOI国のお散歩事情
true,11971,속도 위반
true,12025,장난꾸러기 영훈
true,12784,인하니카 공화국
true,12790,Mini Fantasy War
true,12791,Starman
true,12840,창용이의 시계
true,12847,꿀 아르바이트
true,13062,2016 KBO 한국시리즈 우승팀
true,13136,Do Not Touch Anything
true,13140,Hello World!
true,13163,닉네임에 갓 붙이기
true,13164,행복 유치원
true,13325,이진 트리
true,13335,트럭
true,13377,Dictionary
true,13379,Far Far Away
true,13382,Lab
true,13383,Oil
true,13385,Square
true,13418,학교 탐방하기
true,13420,사칙연산
true,13422,도둑
true,13458,시험 감독
true,13459,구슬 탈출
true,13544,수열과 쿼리 3
true,13702,이상한 술집
true,13900,순서쌍의 곱의 합
true,14430,자원 캐기
true,14431,소수마을
true,14495,피보나치 비스무리한 수열
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14557,Memory
true,14732,행사장 대여 (Small)
true,14736,Coke Challenge
true,14905,소수 4개의 합
true,14917,빼빼로 데이 2017
true,15486,퇴사 2
true,15552,빠른 A+B
true,15565,귀여운 라이언
false,1013,Contact
false,1014,컨닝
false,1017,소수 쌍
false,1038,감소하는 수
false,1099,알 수 없는 문장
false,1285,동전 뒤집기
false,1298,노트북의 주인을 찾아서
false,1475,방 번호
false,1572,중앙값
false,1654,랜선 자르기
false,1700,멀티탭 스케줄링
false,1874,스택 수열
false,2011,암호코드
false,2098,외판원 순회
false,2109,순회강연
false,2156,포도주 시식
false,2261,가장 가까운 두 점
false,2426,세계적인 석유 재벌
false,2461,대표 선수
false,2505,두 번 뒤집기
false,2574,마법색종이
false,2623,음악프로그램
false,2670,연속부분최대곱
false,2869,달팽이는 올라가고 싶다
false,2941,크로아티아 알파벳
false,2957,이진 탐색 트리
false,3026,V
false,3101,토끼의 이동
false,3108,로고
false,3595,맥주 냉장고
false,3806,S를 T로
false,3860,할로윈 묘지
false,3933,라그랑주의 네 제곱수 정리
false,5431,책 쌓기
false,5624,좋은 수
false,6209,제자리 멀리뛰기
false,6374,To the Max
false,7469,K번째 수
false,7806,GCD!
false,8894,Pattern Lock
false,9010,Möbius Strip
false,9015,정사각형
false,9273,정제헌을 팔자!
false,9537,잘생긴 GCD
false,9613,GCD 합
false,9999,구구
false,10750,Censoring
false,10800,컬러볼
false,10946,랜덤 게임~~~~
false,10947,로또
false,10971,외판원 순회 2
false,11506,占쏙옙
false,11652,카드
false,11657,타임머신
false,11921,0.1
false,11947,이런 반전이
false,12841,정보대 등산
