정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1038,감소하는 수
true,1039,교환
true,1049,기타줄
true,1062,가르침
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1135,뉴스 전하기
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1219,오민식의 고민
true,1238,파티
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1300,K번째 수
true,1305,광고
true,1309,동물원
true,1321,군인
true,1325,효율적인 해킹
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1406,에디터
true,1431,시리얼 번호
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1477,휴게소 세우기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1562,계단 수
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1662,압축
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1717,집합의 표현
true,1722,순열의 순서
true,1726,로봇
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1806,부분합
true,1816,암호 키
true,1849,순열
true,1850,최대공약수
true,1865,웜홀
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1948,임계경로
true,1949,우수 마을
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2022,사다리
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2217,로프
true,2224,명제 증명
true,2225,합분해
true,2231,분해합
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2257,화학식량
true,2268,수들의 합
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2458,키 순서
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2490,윷놀이
true,2493,탑
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2529,부등호
true,2533,사회망 서비스(SNS)
true,2556,별 찍기 - 14
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2786,상근이의 레스토랑
true,2792,보석 상자
true,2798,블랙잭
true,2805,나무 자르기
true,2820,자동차 공장
true,2839,설탕 배달
true,2848,알고스팟어
true,2851,슈퍼 마리오
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2904,수학은 너무 쉬워
true,2947,나무 조각
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,3000,직각 삼각형
true,3006,터보소트
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3055,탈출
true,3079,입국심사
true,3090,차이를 최소로
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3671,산업 스파이의 편지
true,3673,나눌 수 있는 부분 수열
true,3780,네트워크 연결
true,3896,소수 사이 수열
true,3977,축구 전술
true,4013,ATM
true,4153,직각삼각형
true,4195,친구 네트워크
true,4196,도미노
true,4354,문자열 제곱
true,4358,생태학
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5397,키로거
true,5427,불
true,5430,AC
true,5557,1학년
true,5567,결혼식
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5598,카이사르 암호
true,5639,이진 검색 트리
true,5670,휴대폰 자판
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6118,숨바꼭질
true,6236,용돈 관리
true,6322,직각 삼각형의 두 변
true,6359,만취한 상범
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9251,LCS
true,9252,LCS 2
true,9359,서로소
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9663,N-Queen
true,9934,완전 이진 트리
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10164,격자상의 경로
true,10266,시계 사진들
true,10282,해킹
true,10451,순열 사이클
true,10610,30
true,10757,큰 수 A+B
true,10775,공항
true,10799,쇠막대기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10827,a^b
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10971,외판원 순회 2
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10993,별 찍기 - 18
true,10994,별 찍기 - 19
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10997,별 찍기 - 22
true,10999,구간 합 구하기 2
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11266,단절점
true,11399,ATM
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11441,합 구하기
true,11478,서로 다른 부분 문자열의 개수
true,11479,서로 다른 부분 문자열의 개수 2
true,11505,구간 곱 구하기
true,11558,The Game of Death
true,11559,Puyo Puyo
true,11562,백양로 브레이크
true,11585,속타는 저녁 메뉴
true,11656,접미사 배열
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,12015,가장 긴 증가하는 부분 수열 2
true,12836,가계부 (Easy)
true,12837,가계부 (Hard)
true,12844,XOR
true,12852,1로 만들기 2
true,12886,돌 그룹
true,13015,별 찍기 - 23
true,13241,최소공배수
true,13460,구슬 탈출 2
true,13698,Hawk eyes
true,13699,점화식
true,13700,완전 범죄
true,13701,중복 제거
true,13702,이상한 술집
true,13703,물벼룩의 생존확률
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14267,내리 칭찬
true,14268,내리 칭찬 2
true,14438,수열과 쿼리 17
true,14442,벽 부수고 이동하기 2
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14918,더하기
true,14919,분포표 만들기
true,14920,3n+1 수열
true,14921,용액 합성하기
true,14923,미로 탈출
true,14924,폰 노이만과 파리
true,14925,목장 건설하기
true,14926,Not Equal
true,14927,전구 끄기
true,15658,연산자 끼워넣기 (2)
true,15686,치킨 배달
true,15782,Calculate! 2
true,15809,전국시대
true,15953,상금 헌터
true,15954,인형들
true,16197,두 동전
true,16198,에너지 모으기
true,16236,아기 상어
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16397,탈출
true,16398,행성 연결
true,16399,드라이브
true,16400,소수 화폐
true,16401,과자 나눠주기
true,16402,제국
true,16404,주식회사 승범이네
true,16462,'나교수' 교수님의 악필
true,16466,콘서트
true,16467,병아리의 변신은 무죄
true,16469,소년 점프
true,16916,부분 문자열
true,16928,뱀과 사다리 게임
true,16933,벽 부수고 이동하기 3
true,16946,벽 부수고 이동하기 4
true,16948,데스 나이트
true,16954,움직이는 미로 탈출
true,17144,미세먼지 안녕!
true,17213,과일 서리
true,17351,3루수는 몰라
true,17352,여러분의 다리가 되어 드리겠습니다!
true,17353,"하늘에서 떨어지는 1, 2, ..., R-L+1개의 별"
true,17827,달팽이 리스트
true,17828,문자열 화폐
true,17829,222-풀링
true,17830,이진수씨의 하루 일과
true,17835,면접보는 승범이네
true,17836,공주님을 구해라!
true,18247,겨울왕국 티켓 예매
true,18248,제야의 종
true,18870,좌표 압축
false,1019,책 페이지
false,1596,영식함수
false,1787,문자열의 주기 예측
false,2912,백설공주와 난쟁이
false,2957,이진 탐색 트리
false,5620,가장 가까운 두 점의 거리
false,11097,도시 계획
