정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1038,감소하는 수
true,1062,가르침
true,1065,한수
true,1072,게임
true,1076,저항
true,1085,직사각형에서 탈출
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1141,접두사
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1248,맞춰봐
true,1253,좋다
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1283,단축키 지정
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1337,올바른 배열
true,1339,단어 수학
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1408,24
true,1436,영화감독 숌
true,1459,걷기
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1712,손익분기점
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1786,찾기
true,1799,비숍
true,1806,부분합
true,1816,암호 키
true,1822,차집합
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1934,최소공배수
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1956,운동
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2002,추월
true,2003,수들의 합 2
true,2015,수들의 합 4
true,2023,신기한 소수
true,2056,작업
true,2075,N번째 큰 수
true,2096,내려가기
true,2110,공유기 설치
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2164,카드2
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2230,수 고르기
true,2231,분해합
true,2234,성곽
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2457,공주님의 정원
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2523,별 찍기 - 13
true,2529,부등호
true,2531,회전 초밥
true,2555,생일 출력하기
true,2557,Hello World
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2617,구슬 찾기
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2792,보석 상자
true,2798,블랙잭
true,2800,괄호 제거
true,2805,나무 자르기
true,2812,크게 만들기
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2931,가스관
true,2941,크로아티아 알파벳
true,2999,비밀 이메일
true,3005,크로스워드 퍼즐 쳐다보기
true,3025,돌 던지기
true,3052,나머지
true,3055,탈출
true,3085,사탕 게임
true,3107,IPv6
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3495,아스키 도형
true,3778,애너그램 거리
true,3826,스타일리시
true,3967,매직 스타
true,3985,롤 케이크
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4358,생태학
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4889,안정적인 문자열
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5214,환승
true,5397,키로거
true,5427,불
true,5430,AC
true,5446,용량 부족
true,5525,IOIOI
true,5543,상근날드
true,5567,결혼식
true,5622,다이얼
true,5635,생일
true,5972,택배 배송
true,6064,카잉 달력
true,6087,레이저 통신
true,6118,숨바꼭질
true,6209,제자리 멀리뛰기
true,6219,소수의 자격
true,6236,용돈 관리
true,6443,애너그램
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,6987,월드컵
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8111,0과 1
true,8112,0과 1 - 2
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8983,사냥꾼
true,9012,괄호
true,9019,DSLR
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9328,열쇠
true,9376,탈옥
true,9465,스티커
true,9466,텀 프로젝트
true,9471,피사노 주기
true,9498,시험 성적
true,9613,GCD 합
true,9655,돌 게임
true,9663,N-Queen
true,9753,짝 곱
true,9935,문자열 폭발
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10093,숫자
true,10162,전자레인지
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10430,나머지
true,10448,유레카 이론
true,10610,30
true,10718,We love kriii
true,10775,공항
true,10799,쇠막대기
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10996,별 찍기 - 21
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11098,첼시를 도와줘!
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11328,Strfry
true,11399,ATM
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11559,Puyo Puyo
true,11578,팀원 모집
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11656,접미사 배열
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11866,요세푸스 문제 0
true,11967,불켜기
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,13023,ABCDE
true,13300,방 배정
true,13335,트럭
true,13398,연속합 2
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14391,종이 조각
true,14425,문자열 집합
true,14496,"그대, 그머가 되어"
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14588,Line Friends (Small)
true,14681,사분면 고르기
true,14716,현수막
true,14725,개미굴
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14921,용액 합성하기
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15661,링크와 스타트
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15900,나무 탈출
true,15965,K번째 소수
true,15988,"1, 2, 3 더하기 3"
true,15989,"1, 2, 3 더하기 4"
true,15990,"1, 2, 3 더하기 5"
true,16118,달빛 여우
true,16194,카드 구매하기 2
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16402,제국
true,16496,큰 수 만들기
true,16561,3의 배수
true,16562,친구비
true,16569,화산쇄설류
true,16571,알파 틱택토
true,16637,괄호 추가하기
true,16647,"Happy Birthday, kipa00!"
true,16890,창업
true,16916,부분 문자열
true,16925,문자열 추측
true,16929,Two Dots
true,16935,배열 돌리기 3
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17086,아기 상어 2
true,17103,골드바흐 파티션
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17219,비밀번호 찾기
true,17269,이름궁합 테스트
true,17281,⚾
true,17298,오큰수
true,17299,오등큰수
true,17352,여러분의 다리가 되어 드리겠습니다!
true,17391,무한부스터
true,17413,단어 뒤집기 2
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,18223,민준이와 마산 그리고 건우
true,18242,네모네모 시력검사
true,18352,특정 거리의 도시 찾기
true,18404,현명한 나이트
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
true,18829,0초 후에 제출할 수 있습니다.
true,19236,청소년 상어
true,19238,스타트 택시
false,1722,순열의 순서
false,2098,외판원 순회
false,3020,개똥벌레
false,10944,랜덤 게임~~
false,16500,문자열 판별
false,18169,Honor kipa00 Award
