정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1022,소용돌이 예쁘게 출력하기
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1238,파티
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1305,광고
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1339,단어 수학
true,1405,미친 로봇
true,1427,소트인사이드
true,1436,영화감독 숌
true,1463,1로 만들기
true,1495,기타리스트
true,1520,내리막 길
true,1527,금민수의 개수
true,1541,잃어버린 괄호
true,1546,평균
true,1562,계단 수
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1712,손익분기점
true,1713,후보 추천하기
true,1717,집합의 표현
true,1719,택배
true,1722,순열의 순서
true,1726,로봇
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1773,폭죽쇼
true,1781,컵라면
true,1786,찾기
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1940,주몽
true,1944,복제 로봇
true,1946,신입 사원
true,1965,상자넣기
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,2011,암호코드
true,2023,신기한 소수
true,2033,반올림
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2240,자두나무
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2475,검증수
true,2490,윷놀이
true,2512,예산
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2617,구슬 찾기
true,2618,경찰차
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2660,회장뽑기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2823,유턴 싫어
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2869,달팽이는 올라가고 싶다
true,2887,행성 터널
true,2908,상수
true,2909,캔디 구매
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2986,파스칼
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3176,도로 네트워크
true,3190,뱀
true,3273,두 수의 합
true,4153,직각삼각형
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4358,생태학
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5014,스타트링크
true,5032,탄산 음료
true,5052,전화번호 목록
true,5063,TGN
true,5214,환승
true,5354,J박스
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5612,터널의 입구와 출구
true,5618,공약수
true,5622,다이얼
true,5670,휴대폰 자판
true,5717,상근이의 친구들
true,5719,거의 최단 경로
true,5721,사탕 줍기 대회
true,6359,만취한 상범
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,7795,먹을 것인가 먹힐 것인가
true,8012,한동이는 영업사원!
true,8320,직사각형을 만드는 방법
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9316,Hello Judge
true,9324,진짜 메시지
true,9372,상근이의 여행
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10167,금광
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10266,시계 사진들
true,10282,해킹
true,10409,서버
true,10430,나머지
true,10539,수빈이와 수열
true,10610,30
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10984,내 학점을 구해줘
true,10989,수 정렬하기 3
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11265,끝나지 않는 파티
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11562,백양로 브레이크
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11780,플로이드 2
true,11866,요세푸스 문제 0
true,12015,가장 긴 증가하는 부분 수열 2
true,12026,BOJ 거리
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12789,도키도키 간식드리미
true,12790,Mini Fantasy War
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,13418,학교 탐방하기
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13913,숨바꼭질 4
true,14431,소수마을
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14621,나만 안되는 연애
true,14728,벼락치기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15894,수학은 체육과목 입니다
true,15903,카드 합체 놀이
true,15969,행복
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,16985,Maaaaaaaaaze
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17281,⚾
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17609,회문
true,17614,369
true,17615,볼 모으기
true,17836,공주님을 구해라!
true,18258,큐 2
false,1707,이분 그래프
false,1799,비숍
false,1941,소문난 칠공주
false,2884,알람 시계
false,2920,음계
false,13199,치킨 먹고 싶다
false,14003,가장 긴 증가하는 부분 수열 5
