정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1016,제곱 ㄴㄴ 수
true,1049,기타줄
true,1065,한수
true,1074,Z
true,1110,더하기 사이클
true,1152,단어의 개수
true,1182,부분수열의 합
true,1199,오일러 회로
true,1208,부분수열의 합 2
true,1209,단조수열 만들기
true,1214,쿨한 물건 구매
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1315,RPG
true,1327,소트 게임
true,1332,풀자
true,1345,등차수열
true,1395,스위치
true,1396,크루스칼의 공
true,1463,1로 만들기
true,1492,합
true,1546,평균
true,1616,드럼통 메시지
true,1626,두 번째로 작은 스패닝 트리
true,1654,랜선 자르기
true,1665,화물열차
true,1693,트리 색칠하기
true,1708,볼록 껍질
true,1741,반 나누기
true,1756,피자 굽기
true,1761,정점들의 거리
true,1806,부분합
true,1841,군사 배치
true,1912,연속합
true,1920,수 찾기
true,1931,회의실배정
true,1946,신입 사원
true,1978,소수 찾기
true,2011,암호코드
true,2042,구간 합 구하기
true,2150,Strongly Connected Component
true,2192,두 수열
true,2247,실질적 약수
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2266,금고 테스트
true,2357,최솟값과 최댓값
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2424,부산의 해적
true,2426,세계적인 석유 재벌
true,2428,표절
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2454,트리 분할
true,2472,체인점
true,2473,세 용액
true,2517,달리기
true,2543,초고속철도
true,2557,Hello World
true,2558,A+B - 2
true,2569,짐정리
true,2577,숫자의 개수
true,2579,계단 오르기
true,2584,트리분할
true,2593,엘리베이터
true,2609,최대공약수와 최소공배수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2839,설탕 배달
true,2881,산책길
true,2920,음계
true,2939,택배 배달
true,3645,토너먼트 조작
true,3807,고창영 비밀번호의 비밀
true,3991,한번 쏘면 멈출 수 없어
true,3992,Caravan Robbers
true,3994,Exact Measurement
true,3996,위대한 사기꾼
true,3998,단백질 식별
true,3999,텔레점프
true,4002,닌자배치
true,4008,특공대
true,4009,순찰
true,4196,도미노
true,4307,개미
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,5051,피타고라스의 정리
true,5425,자리합
true,5470,균형잡힌 직선형 정원
true,5530,JOIOI 탑
true,5692,팩토리얼 진법
true,6171,땅따먹기
true,6549,히스토그램에서 가장 큰 직사각형
true,7287,등록
true,7578,공장
true,8120,Coding of Permutations
true,8169,소화기 설치
true,8221,Letters
true,8224,Well
true,8225,Tour de Byteotia
true,8226,Vouchers
true,8228,A Horrible Poem
true,8229,Fibonacci Representation
true,8230,Squarks
true,8233,Minimalist Security
true,8234,Warehouse Store
true,8393,합
true,8925,GC-비율
true,8958,OX퀴즈
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9252,LCS 2
true,9498,시험 성적
true,9538,Subway
true,9540,Draughts
true,9545,폭탄 받아라
true,10039,평균 점수
true,10048,フクロモモンガ
true,10049,切り取り線
true,10067,수열 나누기
true,10129,작은 새
true,10131,FarmCraft
true,10136,Solar Panels
true,10160,암호
true,10167,금광
true,10430,나머지
true,10509,Good morning!
true,10513,외계 침략자
true,10718,We love kriii
true,10754,KOVANICE
true,10809,알파벳 찾기
true,10817,세 수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11001,김치
true,11012,Egg
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11266,단절점
true,11399,ATM
true,11441,합 구하기
true,11614,Book Borders
true,11619,Greenhouse Growth
true,11623,Kernel Knights
true,11654,아스키 코드
true,11667,생산성 향상
true,11668,파이프 청소
true,11670,초등 수학
true,11674,Identifying Map Tiles
true,11675,Jumbled Communication
true,11676,Kitchen Combinatorics
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11736,Binary vs Decimal
true,11739,Easy Problemset
true,11741,Generators
true,11783,HAPPINESS
true,11808,마리오와 사악한 키노피오
true,11897,간선 파괴
true,11915,전선 연결하기
true,11993,Circular Barn (Gold)
true,11994,Circular Barn Revisited
true,11996,Circular Barn (Silver)
true,12008,262144
true,12015,가장 긴 증가하는 부분 수열 2
true,12277,Read Phone Number (Large)
true,12279,유리수 트리 (Large)
true,12281,Sorting (Large)
true,12728,n제곱 계산
true,12766,지사 배정
true,12802,Torrent
true,12844,XOR
true,12854,홍준이는 물리를 좋아해
true,12865,평범한 배낭
true,12963,달리기
true,13166,범죄 파티
true,13209,검역소
true,13261,탈옥
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13401,Distribution Center
true,13402,Hidden Anagrams
true,13403,Infallibly Crack Perplexing Cryptarithm
true,13405,Placing Medals on a Binary Tree
true,13407,Skinny Polygon
true,13409,Black and White Boxes
true,13510,트리와 쿼리 1
true,13512,트리와 쿼리 3
true,13537,수열과 쿼리 1
true,13545,수열과 쿼리 0
true,13546,수열과 쿼리 4
true,13547,수열과 쿼리 5
true,13550,수열과 쿼리 7
true,13558,등차수열의 개수
true,13655,Guarda Costeira
true,13889,Average
true,13893,Dictionary Game
true,13894,Binary Strings
true,13895,Witcher Potion
true,13925,수열과 쿼리 13
true,13948,Dancing Disks
true,13950,Free Figurines
true,13952,Hangar Hurdles
true,13958,Bribing Eve
true,13959,Candle Box
true,14168,Cow Checklist
true,14169,Lasers and Mirrors
true,14170,Counting Haybales
true,14171,Cities and States
true,14172,Moocast
true,14173,Square Pasture
true,14174,Block Game
true,14175,The Cow-Signal
true,14180,배열의 특징
true,14267,내리 칭찬
true,14435,놀이기구2
true,14443,채점 소수 번호
true,14452,Cow Dance Show
true,14453,"Hoof, Paper, Scissors (Silver)"
true,14454,Secret Cow Code
true,14464,소가 길을 건너간 이유 4
true,14465,소가 길을 건너간 이유 5
true,14527,Paired Up
true,14589,Line Friends (Large)
true,14625,냉동식품
true,14696,딱지놀이
true,14697,방 배정하기
true,14704,타일 뒤집기 (Hard)
true,14707,그림 그리기
true,14726,신용카드 판별
true,14727,퍼즐 자르기
true,14728,벼락치기
true,14729,칠무해
true,14730,謎紛芥索紀 (Small)
true,14731,謎紛芥索紀 (Large)
true,14732,행사장 대여 (Small)
true,14739,Faster Sorting
true,14798,Alphabet Cake (Large)
true,14800,Ratatouille (Large)
true,14863,서울에서 경산까지
true,14864,줄서기
true,14897,서로 다른 수와 쿼리 1
true,14930,구슬 (BEAD)
true,14951,Broadcast Stations
true,14953,Game Map
true,14954,Happy Number
true,14955,How Many to Be Happy?
true,14956,Philosopher’s Walk
true,14958,Rock Paper Scissors
true,14960,Strongly Matchable
true,14961,Untangling Chain
true,14962,Vacation Plans
true,15018,Compass Card Sales
true,15104,Odd Palindrome
true,15106,Fear Factoring
true,15110,Security Badge
true,15131,Auxiliary Project
true,15132,Boolean Satisfiability
true,15134,Dividing Marbles
true,15137,Grand Test
true,15250,Palindromic Partitions
true,15315,태풍의 아들 KDH
true,15322,Košnja
true,15323,ZigZag
true,15326,Usmjeri
true,15354,Aron
true,15355,Programiranje
true,15357,Portal
true,15359,Sažetak
true,15360,Rasvjeta
true,15361,Izbori
true,15362,Automobil
true,15393,Concerts
true,15394,Bricks
true,15396,Harry Potter and The Vector Spell
true,15397,Looping Playlist
true,15398,Binary Transformations
true,15399,Robots
true,15402,Cunning Friends
true,15414,Ingredients
true,15415,Shattered Cake
true,15416,Cordon Bleu
true,15419,Frosting on the Cake
true,15458,Barn Painting
true,15459,Haybale Feast
true,15460,My Cow Ate My Homework
true,15461,Milk Measurement
true,15462,The Bovine Shuffle
true,15504,프로그래밍 대결
true,15506,정원사
true,15518,Window
true,15519,Tournament Chart
true,15520,Prime-Factor Prime
true,15522,Tree Separator
true,15524,Coin Slider
true,15552,빠른 A+B
true,15586,MooTube (Gold)
true,15587,Cow at Large (Gold)
true,15588,Stamp Painting
true,15589,Lifeguards (Silver)
true,15590,Rental Service
true,15604,Factor-Free Tree
true,15605,Glyph Recognition
true,15606,High Score
true,15607,Installing Apps
true,15608,Juggling Troupe
true,15745,Snow Boots
true,15747,Taming the Herd
true,15748,Rest Stops
true,15758,Milking Order
true,15760,Out of Sorts
true,15761,Lemonade Line
true,15802,타노스
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15902,Split and Merge
true,15903,카드 합체 놀이
true,15913,가위 바위 보 999
true,15927,회문은 회문아니야!!
true,15938,더위 피하기
true,15947,아기 석환 뚜루루 뚜루
true,15968,물병 잡기
true,15980,명상 방해꾼
true,15981,상자 열기
true,16030,Toys
true,16118,달빛 여우
true,16120,PPAP
true,16121,사무실 이전
true,16124,나는 행복합니다
true,16182,Dumae
true,16190,Rising Sun
true,16221,모독
true,16225,제271회 웰노운컵
true,16357,Circuits
true,16367,TV Show Game
true,16573,Edit Distance
true,16576,Icy Land
true,16578,Popping Balloons
true,16579,Go Make It Complete
true,16580,Lexical Sign Sequence
true,16581,Lie Detector
true,16583,Boomerangs
true,16584,Binary String
true,16607,Game Design
true,16610,Jinxed Betting
true,16611,Kleptography
true,16694,The ABCD Murderer
true,16740,Arithmetic Progressions
true,16749,Sixth Sense
true,16760,Balance Beam
true,16762,The Cow Gathering
true,16763,Fine Dining
true,16764,Cowpatibility
true,16765,Teamwork
true,16777,Election Campaign
true,16781,Skyscraper
true,16854,편안한 문자열
true,16885,벡터의 합
true,16910,mex와 쿼리
true,16980,Bitaro the Brave
true,17020,Train Tracking 2
true,17021,Cow Poetry
true,17022,Sleepy Cow Sorting
true,17023,Shortcut
true,17033,Cow Land
true,17035,Painting the Barn (Gold)
true,17039,Sleepy Cow Herding (Bronze)
true,17192,Snakes
true,17193,I Would Walk 500 Miles
true,17263,Sort 마스터 배지훈
true,17373,녜힁
true,17429,국제 메시 기구
true,17474,수열과 쿼리 26
true,17508,6789
true,17509,And the Winner Is... Ourselves!
true,17510,Bigger Sokoban 40k
true,17511,Capital
true,17512,Gosu 2
true,17513,Hilbert's Hotel
true,17514,Lexicographically Minimum Walk
true,17515,Maximizer
true,17642,Dynamic Diameter
true,17666,Remittance
true,17693,Port Facility
true,17694,Sparklers
true,17699,Long Mansion
true,17707,Employment
true,17713,Dangerous Skating
true,17716,Copy and Paste 2
true,17734,Making Friends is Fun
true,17736,JOIOJI
true,17826,나의 학점은?
true,17827,달팽이 리스트
true,17828,문자열 화폐
true,17829,222-풀링
true,17831,대기업 승범이네
true,17833,홍익대학교 지하캠퍼스
true,17834,사자와 토끼
true,17836,공주님을 구해라!
true,18031,Cut Inequality Down
true,18033,Eggfruit Cake
true,18040,Leverage MDT
true,18041,Mountain Ranges
true,18082,Canvas Line
true,18088,Inverted Deck
true,18089,Jackdaws And Crows
true,18090,Kitesurfing
true,18096,Арифметическая магия
true,18247,겨울왕국 티켓 예매
true,18248,제야의 종
true,18249,욱제가 풀어야 하는 문제
true,18250,철도 여행
true,18251,내 생각에 A번인 단순 dfs 문제가 이 대회에서 E번이 되어버린 건에 관하여 (Easy)
true,18260,Bessie's Snow Cow
true,18262,Milk Pumping
true,18263,Milk Visits
true,18264,Moortal Cowmbat
true,18265,MooBuzz
true,18299,Swapping Places
true,18346,업과 격의 그래프
true,18374,함수의 맛
true,18422,Emacs
true,18423,Političari
true,18431,Just Long Neckties
true,18466,Ignore Submasks
true,18467,Just Counting
true,18473,Fast Spanning Tree
true,18503,Topological Ordering
true,18504,Bracket Euler Tour
true,18510,Program
true,18720,Bookface
true,18777,Delegation (Platinum)
true,18778,Equilateral Triangles
true,18780,Timeline
true,18781,Help Yourself (Gold)
true,18782,Delegation (Gold)
true,18783,Swapity Swapity Swap
true,18784,Triangles (Silver)
true,18785,Clock Tree
true,18786,Triangles (Bronze)
true,18787,Mad Scientist
true,18829,0초 후에 제출할 수 있습니다.
