정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1011,Fly me to the Alpha Centauri
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1058,친구
true,1068,트리
true,1074,Z
true,1080,행렬
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1233,주사위
true,1236,성 지키기
true,1238,파티
true,1260,DFS와 BFS
true,1267,핸드폰 요금
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1331,나이트 투어
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1408,24
true,1420,학교 가지마!
true,1427,소트인사이드
true,1456,거의 소수
true,1495,기타리스트
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1517,버블 소트
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1531,투명
true,1550,16진수
true,1563,개근상
true,1569,정사각형으로 가리기
true,1592,영식이와 친구들
true,1602,도망자 원숭이
true,1605,반복 부분문자열
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1668,트로피 진열
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1701,Cubeditor
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1766,문제집
true,1769,3의 배수
true,1780,종이의 개수
true,1786,찾기
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1939,중량제한
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1987,알파벳
true,1992,쿼드트리
true,2004,조합 0의 개수
true,2022,사다리
true,2042,구간 합 구하기
true,2096,내려가기
true,2109,순회강연
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2225,합분해
true,2229,조 짜기
true,2239,스도쿠
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2417,정수 제곱근
true,2420,사파리월드
true,2436,공약수
true,2439,별 찍기 - 2
true,2445,별 찍기 - 8
true,2491,수열
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2548,대표 자연수
true,2557,Hello World
true,2558,A+B - 2
true,2568,전깃줄 - 2
true,2573,빙산
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2636,치즈
true,2644,촌수계산
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2702,초6 수학
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2780,비밀번호
true,2798,블랙잭
true,2799,블라인드
true,2800,괄호 제거
true,2805,나무 자르기
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2851,슈퍼 마리오
true,2852,NBA 농구
true,2857,FBI
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2865,나는 위대한 슈퍼스타K
true,2875,대회 or 인턴
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2904,수학은 너무 쉬워
true,2908,상수
true,2920,음계
true,2921,도미노
true,2922,즐거운 단어
true,2942,퍼거슨과 사과
true,2960,에라토스테네스의 체
true,2979,트럭 주차
true,2981,검문
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3046,R2
true,3047,ABC
true,3062,수 뒤집기
true,3079,입국심사
true,3190,뱀
true,3830,교수님은 기다리지 않는다
true,3986,좋은 단어
true,4096,팰린드로미터
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5211,가단조와 다장조
true,5543,상근날드
true,5585,거스름돈
true,5622,다이얼
true,5623,수열의 합
true,5719,거의 최단 경로
true,5944,Apple Delivery
true,5988,홀수일까 짝수일까
true,6097,Cruel Math Teacher
true,6219,소수의 자격
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7489,팩토리얼
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8393,합
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9248,Suffix Array
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9465,스티커
true,9498,시험 성적
true,9506,약수들의 합
true,9517,아이 러브 크로아티아
true,9518,로마 카톨릭 미사
true,9546,3000번 버스
true,9653,스타워즈 로고
true,9655,돌 게임
true,9657,돌 게임 3
true,9663,N-Queen
true,9935,문자열 폭발
true,9996,한국이 그리울 땐 서버에 접속하지
true,9997,폰트
true,9998,블록 쌓기
true,10159,저울
true,10162,전자레인지
true,10164,격자상의 경로
true,10166,관중석
true,10171,고양이
true,10172,개
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10253,헨리
true,10430,나머지
true,10573,증가하는 수
true,10610,30
true,10654,Cow Jog
true,10655,마라톤 1
true,10656,십자말풀이
true,10657,Cow Jog
true,10658,Learning by Example
true,10675,Cow Routing
true,10676,Cow Routing II
true,10677,It's All About the Base
true,10678,Meeting Time
true,10718,We love kriii
true,10748,Cow Hopscotch
true,10749,Superbull
true,10750,Censoring
true,10751,COW
true,10752,Cow Hopscotch
true,10799,쇠막대기
true,10804,카드 역배치
true,10809,알파벳 찾기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11047,동전 0
true,11050,이항 계수 1
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11060,점프 점프
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11404,플로이드
true,11507,카드셋트
true,11560,다항식 게임
true,11562,백양로 브레이크
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11931,수 정렬하기 4
true,11948,과목선택
true,12026,BOJ 거리
true,12789,도키도키 간식드리미
true,12842,튀김 소보루
true,12851,숨바꼭질 2
true,13163,닉네임에 갓 붙이기
true,13277,큰 수 곱셈
true,13419,탕수육
true,13458,시험 감독
true,13549,숨바꼭질 3
true,13698,Hawk eyes
true,13913,숨바꼭질 4
true,14167,Moocast
true,14168,Cow Checklist
true,14169,Lasers and Mirrors
true,14170,Counting Haybales
true,14171,Cities and States
true,14172,Moocast
true,14173,Square Pasture
true,14174,Block Game
true,14175,The Cow-Signal
true,14226,이모티콘
true,14449,Balanced Photo
true,14450,"Hoof, Paper, Scissors (Gold)"
true,14451,안대 낀 스피드러너
true,14452,Cow Dance Show
true,14453,"Hoof, Paper, Scissors (Silver)"
true,14454,Secret Cow Code
true,14455,Don't Be Last!
true,14456,"Hoof, Paper, Scissors (Bronze)"
true,14457,Cow Tipping
true,14459,소가 길을 건너간 이유 11
true,14461,소가 길을 건너간 이유 7
true,14462,소가 길을 건너간 이유 8
true,14463,소가 길을 건너간 이유 9
true,14464,소가 길을 건너간 이유 4
true,14465,소가 길을 건너간 이유 5
true,14466,소가 길을 건너간 이유 6
true,14467,소가 길을 건너간 이유 1
true,14468,소가 길을 건너간 이유 2
true,14469,소가 길을 건너간 이유 3
true,14501,퇴사
true,14525,Bovine Genomics (Gold)
true,14526,Modern Art 2
true,14527,Paired Up
true,14528,Bovine Genomics (Silver)
true,14529,Where's Bessie?
true,14530,The Lost Cow
true,14531,Bovine Genomics (Bronze)
true,14532,Modern Art (Bronze)
true,14569,시간표 짜기
true,14570,나무 위의 구슬
true,14592,2017 아주대학교 프로그래밍 경시대회 (Small)
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14596,Quilting (Small)
true,14597,Quilting (Large)
true,14620,꽃길
true,14864,줄서기
true,14868,문명
true,15353,큰 수 A+B (2)
true,15553,난로
true,15559,내 선물을 받아줘
true,15586,MooTube (Gold)
true,15587,Cow at Large (Gold)
true,15589,Lifeguards (Silver)
true,15590,Rental Service
true,15591,MooTube (Silver)
true,15592,Blocked Billboard II
true,15593,Lifeguards (Bronze)
true,15594,Out of Place
true,15649,N과 M (1)
true,15663,N과 M (9)
true,15688,수 정렬하기 5
true,15748,Rest Stops
true,15749,Snow Boots
true,15750,Teleportation
true,15751,Teleportation
true,15752,Hoofball
true,15753,Taming the Herd
true,15763,Team Tic Tac Toe
true,15764,Milking Order
true,15765,Family Tree
true,15814,야바위 대장
true,15820,맞았는데 왜 틀리죠?
true,15821,낚이고 낚아라
true,15828,Router
true,15829,Hashing
true,15830,싱크홀
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,15904,UCPC는 무엇의 약자일까?
true,16076,휴식이 필요해
true,16766,Convention
true,16769,Mixing Milk
true,16770,The Bucket List
true,17022,Sleepy Cow Sorting
true,17024,Grass Planting
true,17025,Icy Perimeter
true,17026,Mountain View
true,17027,Shell Game
true,17028,Sleepy Cow Sorting
true,17029,Guess the Animal
true,17036,Sleepy Cow Herding (Silver)
true,17039,Sleepy Cow Herding (Bronze)
true,17040,The Great Revegetation (Bronze)
true,17052,Lun
true,17054,Sličice
true,17192,Snakes
true,17197,Fence Planning
true,17198,Bucket Brigade
true,17199,Milk Factory
true,17200,Cow Evolution
true,18269,Where Am I?
true,18325,Pod starim krovovima
true,18326,Spiderman
true,18329,Nivelle
true,18422,Emacs
true,18423,Političari
false,1044,팀 선발
false,1162,도로포장
false,1202,보석 도둑
false,1251,단어 나누기
false,1708,볼록 껍질
false,1937,욕심쟁이 판다
false,1948,임계경로
false,1981,배열에서 이동
false,2133,타일 채우기
false,2163,초콜릿 자르기
false,2309,일곱 난쟁이
false,2470,두 용액
false,2579,계단 오르기
false,2613,숫자구슬
false,2638,치즈
false,2790,F7
false,2859,별 관찰
false,2861,원섭동 사람들
false,2866,문자열 잘라내기
false,2869,달팽이는 올라가고 싶다
false,2906,폭발 사고
false,2923,숫자 게임
false,3121,"빨간점, 파란점"
false,6086,최대 유량
false,6987,월드컵
false,9466,텀 프로젝트
false,9519,졸려
false,10651,Cow Jog
false,10672,Stampede
false,10673,Cow Routing
false,10747,Censoring
false,11657,타임머신
false,13306,트리
false,13398,연속합 2
false,14499,주사위 굴리기
false,14578,영훈이의 색칠공부
false,14602,소금과 후추 (Small)
false,14603,소금과 후추 (Large)
false,15802,타노스
false,17037,Painting the Barn (Silver)
