정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1008,A/B
true,1011,Fly me to the Alpha Centauri
true,1057,토너먼트
true,1076,저항
true,1094,막대기
true,1157,단어 공부
true,1158,요세푸스 문제
true,1193,분수찾기
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1226,국회
true,1238,파티
true,1244,스위치 켜고 끄기
true,1245,농장 관리
true,1268,임시 반장 정하기
true,1285,동전 뒤집기
true,1373,2진수 8진수
true,1463,1로 만들기
true,1504,특정한 최단 경로
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1676,팩토리얼 0의 개수
true,1699,제곱수의 합
true,1713,후보 추천하기
true,1753,최단경로
true,1761,정점들의 거리
true,1764,듣보잡
true,1799,비숍
true,1865,웜홀
true,1912,연속합
true,1924,2007년
true,1932,정수 삼각형
true,1967,트리의 지름
true,2011,암호코드
true,2042,구간 합 구하기
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2140,지뢰찾기
true,2146,다리 만들기
true,2156,포도주 시식
true,2193,이친수
true,2225,합분해
true,2292,벌집
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2305,자리 배치
true,2309,일곱 난쟁이
true,2331,반복수열
true,2342,Dance Dance Revolution
true,2346,풍선 터뜨리기
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2440,별 찍기 - 3
true,2449,전구
true,2450,모양 정돈
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2459,철사 자르기
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2473,세 용액
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2478,자물쇠
true,2479,경로 찾기
true,2480,주사위 세개
true,2482,색상환
true,2484,주사위 네개
true,2487,섞기 수열
true,2488,줄다리기
true,2490,윷놀이
true,2491,수열
true,2492,보석
true,2493,탑
true,2494,숫자 맞추기
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2506,점수계산
true,2507,공주 구하기
true,2511,카드놀이
true,2512,예산
true,2513,통학버스
true,2514,자동분무기
true,2515,전시장
true,2517,달리기
true,2525,오븐 시계
true,2526,싸이클
true,2527,직사각형
true,2528,사다리
true,2529,부등호
true,2531,회전 초밥
true,2538,모눈종이 자르기
true,2539,모자이크
true,2548,대표 자연수
true,2549,루빅의 사각형
true,2550,전구
true,2551,두 대표 자연수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2560,짚신벌레
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2566,최댓값
true,2568,전깃줄 - 2
true,2573,빙산
true,2574,마법색종이
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2585,경비행기
true,2586,소방차
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2590,색종이
true,2591,숫자카드
true,2596,비밀편지
true,2597,줄자접기
true,2598,기둥만들기
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2615,오목
true,2616,소형기관차
true,2617,구슬 찾기
true,2618,경찰차
true,2621,카드게임
true,2622,삼각형만들기
true,2623,음악프로그램
true,2628,종이자르기
true,2629,양팔저울
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2641,다각형그리기
true,2642,전개도
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2650,교차점개수
true,2658,직각이등변삼각형찾기
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2749,피보나치 수 3
true,2798,블랙잭
true,2839,설탕 배달
true,2858,기숙사 바닥
true,2920,음계
true,2981,검문
true,3090,차이를 최소로
true,5464,주차장
true,5525,IOIOI
true,5527,전구 장식
true,5528,달려라 IOI 열차
true,5530,JOIOI 탑
true,5532,방학 숙제
true,5533,유니크
true,5534,간판
true,5535,패셔니스타
true,5536,물고기의 서식 범위
true,5538,JJOOII
true,5539,たのしいカードゲーム
true,5540,夜店
true,5543,상근날드
true,5544,리그
true,5545,최고의 피자
true,5546,파스타
true,5547,일루미네이션
true,5549,행성 탐사
true,5550,헌책방
true,5554,심부름 가는 길
true,5555,반지
true,5556,타일
true,5557,1학년
true,5558,チーズ
true,5561,과자의 분할
true,5565,영수증
true,5566,주사위 게임
true,5567,결혼식
true,5568,카드 놓기
true,5569,출근 경로
true,5570,산타클로스와 루돌프
true,5575,타임 카드
true,5576,콘테스트
true,5577,RBY팡!
true,5578,薄氷渡り
true,5579,シャッフル
true,5580,빙고 게임
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5586,JOI와 IOI
true,5587,카드 캡터 상근이
true,5588,별자리 찾기
true,5589,おせんべい
true,5590,船旅
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5599,カードの並び替え
true,5600,품질검사
true,5612,터널의 입구와 출구
true,5613,계산기 프로그램
true,5618,공약수
true,5619,세 번째
true,5620,가장 가까운 두 점의 거리
true,5832,Photo
true,5845,Perimeter
true,5847,Milk Scheduling
true,5849,Cow Crossings
true,5883,아이폰 9S
true,5884,감시 카메라
true,5901,Relocation
true,5902,Rope Folding
true,5903,Overplanting
true,5904,Moo 게임
true,5911,선물
true,5912,Haybale Stacking
true,5913,준규와 사과
true,5919,Hay Bales
true,5920,Cow Photography
true,5921,Escaping the Farm
true,5926,Cow Lineup
true,5927,Tile Exchanging
true,5928,Contest Timing
true,5929,Awkward Digits
true,5930,Moo Sick
true,5931,Cow Beauty Pageant
true,6005,Cow Pinball
true,6124,Good Grass
true,6125,Treasure Cave
true,6137,문자열 생성
true,6139,Speed Reading
true,6147,Bookshelf
true,6160,Election Time
true,6168,Dining Cows
true,6169,Long Distance Racing
true,6198,옥상 정원 꾸미기
true,6209,제자리 멀리뛰기
true,6211,The Eating Puzzle
true,6212,Dream Counting
true,6246,풍선 놀이
true,6986,절사평균
true,6987,월드컵
true,6988,타일 밟기
true,6989,채점
true,7043,Cleaning Shifts
true,7045,Tree Cutting
true,7287,등록
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7576,토마토
true,7579,앱
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,8982,수족관 1
true,8983,사냥꾼
true,8984,막대기
true,9095,"1, 2, 3 더하기"
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,10039,평균 점수
true,10040,투표
true,10041,관광
true,10042,部活のスケジュール表
true,10043,タクシー
true,10045,JOI 紋章
true,10046,IOI 饅頭
true,10047,バームクーヘン
true,10093,숫자
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10167,금광
true,10250,ACM 호텔
true,10429,QUENTO
true,10430,나머지
true,10451,순열 사이클
true,10655,마라톤 1
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10710,실크로드
true,10711,모래성
true,10713,기차 여행
true,10714,케이크 자르기 2
true,10715,JOI 공원
true,10769,행복한지 슬픈지
true,10772,π-day
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10811,바구니 뒤집기
true,10812,바구니 순서 바꾸기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10838,트리
true,10844,쉬운 계단 수
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10946,랜덤 게임~~~~
true,10949,숫자야구
true,10951,A+B - 4
true,10998,A×B
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11401,이항 계수 3
true,11437,LCA
true,11438,LCA 2
true,11444,피보나치 수 6
true,11653,소인수분해
true,11654,아스키 코드
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11816,"8진수, 10진수, 16진수"
true,11877,홍수
true,11948,과목선택
true,11949,번호표 교환
true,11950,2016 IOI
true,11951,JOI国のお散歩事情
true,11952,좀비
true,11974,Subsequences Summing to Sevens
true,11976,Promotion Counting
true,11985,오렌지 출하
true,11986,スタンプラリー ２
true,12008,262144
true,12013,248 게임
true,12100,2048 (Easy)
true,12101,"1, 2, 3 더하기 2"
true,12852,1로 만들기 2
true,12869,뮤탈리스크
true,12872,플레이리스트
true,12904,A와 B
true,12911,좋아하는 배열
true,12919,A와 B 2
true,12928,트리와 경로의 길이
true,12935,트리와 경로의 길이 2
true,12946,육각 보드
true,12995,트리나라
true,12996,Acka
true,13007,ntopia
true,13023,ABCDE
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13303,장애물 경기
true,13304,방 배정
true,13305,주유소
true,13306,트리
true,13398,연속합 2
true,13707,합분해 2
true,14002,가장 긴 증가하는 부분 수열 4
true,14170,Counting Haybales
true,14171,Cities and States
true,14173,Square Pasture
true,14174,Block Game
true,14175,The Cow-Signal
true,14225,부분수열의 합
true,14226,이모티콘
true,14244,트리 만들기
true,14250,늑대
true,14391,종이 조각
true,14419,Foehn Phenomena
true,14420,Semiexpress
true,14438,수열과 쿼리 17
true,14464,소가 길을 건너간 이유 4
true,14465,소가 길을 건너간 이유 5
true,14466,소가 길을 건너간 이유 6
true,14467,소가 길을 건너간 이유 1
true,14468,소가 길을 건너간 이유 2
true,14469,소가 길을 건너간 이유 3
true,14470,전자레인지
true,14471,포인트 카드
true,14472,休憩スペース
true,14473,ぬいぐるみの整理
true,14474,尾根
true,14475,ヘビの JOI 君
true,14527,Paired Up
true,14528,Bovine Genomics (Silver)
true,14530,The Lost Cow
true,14531,Bovine Genomics (Bronze)
true,14532,Modern Art (Bronze)
true,14645,와이버스 부릉부릉
true,14646,욱제는 결정장애야!!
true,14647,준오는 조류혐오야!!
true,14648,쿼리 맛보기
true,14649,문홍안
true,14650,걷다보니 신천역 삼 (Small)
true,14651,걷다보니 신천역 삼 (Large)
true,14652,나는 행복합니다~
true,14654,스테판 쿼리
true,14655,욱제는 도박쟁이야!!
true,14656,조교는 새디스트야!!
true,14658,하늘에서 별똥별이 빗발친다
true,14659,한조서열정리하고옴ㅋㅋ
true,14685,Nailed It!
true,14687,"High Tide, Low Tide"
true,14696,딱지놀이
true,14697,방 배정하기
true,14699,관악산 등산
true,14709,여우 사인
true,14710,고장난 시계
true,14711,타일 뒤집기 (Easy)
true,14712,넴모넴모 (Easy)
true,14713,앵무새
true,14715,전생했더니 슬라임 연구자였던 건에 대하여 (Easy)
true,14846,직사각형과 쿼리
true,14863,서울에서 경산까지
true,14864,줄서기
true,14867,물통
true,15460,My Cow Ate My Homework
true,15461,Milk Measurement
true,15462,The Bovine Shuffle
true,15463,Blocked Billboard
true,15464,The Bovine Shuffle
true,15465,Milk Measurement
true,15474,鉛筆
true,15475,双六
true,15476,幹線道路
true,15477,水ようかん
true,15478,森林伐採
true,15479,L番目のK番目の数
true,15553,난로
true,15554,전시회
true,15589,Lifeguards (Silver)
true,15590,Rental Service
true,15591,MooTube (Silver)
true,15592,Blocked Billboard II
true,15593,Lifeguards (Bronze)
true,15594,Out of Place
true,15748,Rest Stops
true,15749,Snow Boots
true,15751,Teleportation
true,15752,Hoofball
true,15753,Taming the Herd
true,15969,행복
true,15973,두 박스
true,16018,Occupy parking
true,16019,Are we there yet?
true,16020,Sunflowers
true,16021,Choose your own path
true,16785,ソーシャルゲーム
true,16786,すごろくと駒
true,16787,マルバツスタンプ
true,16788,日本沈没
true,16789,イルミネーション
false,2561,세 번 뒤집기
false,12930,두 가중치
false,14389,4블록
