정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1026,보물
true,1037,약수
true,1043,거짓말
true,1049,기타줄
true,1057,토너먼트
true,1058,친구
true,1065,한수
true,1068,트리
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1225,이상한 곱셈
true,1238,파티
true,1244,스위치 켜고 끄기
true,1246,온라인 판매
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1292,쉽게 푸는 문제
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1305,광고
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1446,지름길
true,1463,1로 만들기
true,1475,방 번호
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1535,안녕
true,1546,평균
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1712,손익분기점
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1719,택배
true,1725,히스토그램
true,1743,음식물 피하기
true,1753,최단경로
true,1758,알바생 강호
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1806,부분합
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1939,중량제한
true,1948,임계경로
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2164,카드2
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2230,수 고르기
true,2252,줄 세우기
true,2294,동전 2
true,2307,도로검문
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2446,별 찍기 - 9
true,2458,키 순서
true,2468,안전 영역
true,2470,두 용액
true,2473,세 용액
true,2493,탑
true,2502,떡 먹는 호랑이
true,2512,예산
true,2523,별 찍기 - 13
true,2529,부등호
true,2550,전구
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2611,자동차경주
true,2617,구슬 찾기
true,2621,카드게임
true,2623,음악프로그램
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2776,암기왕
true,2780,비밀번호
true,2798,블랙잭
true,2805,나무 자르기
true,2812,크게 만들기
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2960,에라토스테네스의 체
true,3047,ABC
true,3052,나머지
true,3055,탈출
true,3079,입국심사
true,3190,뱀
true,3474,교수가 된 현우
true,3584,가장 가까운 공통 조상
true,4179,불!
true,4256,트리
true,4307,개미
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5427,불
true,5430,AC
true,5523,경기 결과
true,5543,상근날드
true,5557,1학년
true,5567,결혼식
true,5635,생일
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,6086,최대 유량
true,6118,숨바꼭질
true,6198,옥상 정원 꾸미기
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8986,전봇대
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9576,책 나눠주기
true,9613,GCD 합
true,9663,N-Queen
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10157,자리배정
true,10159,저울
true,10250,ACM 호텔
true,10282,해킹
true,10423,전기가 부족해
true,10424,알고리즘 기말고사
true,10430,나머지
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10996,별 찍기 - 21
true,10998,A×B
true,10999,구간 합 구하기 2
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11265,끝나지 않는 파티
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11505,구간 곱 구하기
true,11558,The Game of Death
true,11559,Puyo Puyo
true,11568,민균이의 계략
true,11576,Base Conversion
true,11578,팀원 모집
true,11581,구호물자
true,11582,치킨 TOP N
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11866,요세푸스 문제 0
true,12015,가장 긴 증가하는 부분 수열 2
true,12738,가장 긴 증가하는 부분 수열 3
true,12847,꿀 아르바이트
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12904,A와 B
true,13023,ABCDE
true,13305,주유소
true,13398,연속합 2
true,13418,학교 탐방하기
true,13549,숨바꼭질 3
true,13565,침투
true,13699,점화식
true,13700,완전 범죄
true,13701,중복 제거
true,13702,이상한 술집
true,13904,과제
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14248,점프 점프
true,14425,문자열 집합
true,14438,수열과 쿼리 17
true,14442,벽 부수고 이동하기 2
true,14495,피보나치 비스무리한 수열
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14567,선수과목 (Prerequisite)
true,14582,오늘도 졌다
true,14585,사수빈탕
true,14621,나만 안되는 연애
true,14681,사분면 고르기
true,14716,현수막
true,14728,벼락치기
true,14863,서울에서 경산까지
true,14889,스타트와 링크
true,14923,미로 탈출
true,14940,쉬운 최단거리
true,14950,정복자
true,15552,빠른 A+B
true,15558,점프 게임
true,15645,내려가기 2
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15681,트리와 쿼리
true,15686,치킨 배달
true,15703,주사위 쌓기
true,15780,멀티탭 충분하니?
true,15789,CTP 왕국은 한솔 왕국을 이길 수 있을까?
true,15809,전국시대
true,15810,풍선 공장
true,15988,"1, 2, 3 더하기 3"
true,16194,카드 구매하기 2
true,16212,정열적인 정렬
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16395,파스칼의 삼각형
true,16397,탈출
true,16398,행성 연결
true,16435,스네이크버드
true,16441,아기돼지와 늑대
true,16562,친구비
true,16678,모독
true,16916,부분 문자열
true,16918,봄버맨
true,16929,Two Dots
true,16953,A → B
true,16956,늑대와 양
true,17070,파이프 옮기기 1
true,17141,연구소 2
true,17144,미세먼지 안녕!
true,17173,배수들의 합
true,17174,전체 계산 횟수
true,17175,피보나치는 지겨웡~
true,17176,암호해독기
true,17177,내접사각형 만들기
true,17178,줄서기
true,17179,케이크 자르기
true,17219,비밀번호 찾기
true,17263,Sort 마스터 배지훈
true,17264,I AM IRONMAN
true,17265,나의 인생에는 수학과 함께
true,17266,어두운 굴다리
true,17270,연예인은 힘들어
true,17271,리그 오브 레전설 (Small)
true,17298,오큰수
true,17359,전구 길만 걷자
true,17404,RGB거리 2
true,17412,도시 왕복하기 1
true,17488,수강 바구니
true,17610,양팔저울
true,17615,볼 모으기
true,17616,등수 찾기
true,17826,나의 학점은?
true,17827,달팽이 리스트
true,17828,문자열 화폐
true,17829,222-풀링
true,17835,면접보는 승범이네
true,17836,공주님을 구해라!
true,17944,퐁당퐁당 1
true,17951,흩날리는 시험지 속에서 내 평점이 느껴진거야
true,17952,과제는 끝나지 않아!
true,17953,디저트
true,18115,카드 놓기
true,18116,로봇 조립
true,18221,교수님 저는 취업할래요
true,18429,근손실
true,19238,스타트 택시
true,19538,루머
false,1011,Fly me to the Alpha Centauri
false,1083,소트
false,1120,문자열
false,1237,정ㅋ벅ㅋ
false,1300,K번째 수
false,1395,스위치
false,1495,기타리스트
false,1614,영식이의 손가락
false,1630,오민식
false,1786,찾기
false,1941,소문난 칠공주
false,1949,우수 마을
false,2109,순회강연
false,2133,타일 채우기
false,2170,선 긋기
false,2263,트리의 순회
false,2749,피보나치 수 3
false,3020,개똥벌레
false,4796,캠핑
false,7579,앱
false,7662,이중 우선순위 큐
false,8980,택배
false,10711,모래성
false,10800,컬러볼
false,10826,피보나치 수 4
false,11401,이항 계수 3
false,11437,LCA
false,11506,占쏙옙
false,11509,풍선 맞추기
false,11657,타임머신
false,12096,
false,13703,물벼룩의 생존확률
false,14267,내리 칭찬
false,14615,Defend the CTP!!!
false,14925,목장 건설하기
false,15486,퇴사 2
