정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1072,게임
true,1075,나누기
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1213,팰린드롬 만들기
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1260,DFS와 BFS
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1392,노래 악보
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1520,내리막 길
true,1546,평균
true,1547,공
true,1550,16진수
true,1620,나는야 포켓몬 마스터 이다솜
true,1652,누울 자리를 찾아라
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1764,듣보잡
true,1786,찾기
true,1790,수 이어 쓰기 2
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1940,주몽
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,2010,플러그
true,2096,내려가기
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2293,동전 1
true,2309,일곱 난쟁이
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2490,윷놀이
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2630,색종이 만들기
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2959,거북이
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3009,네 번째 점
true,3034,앵그리 창영
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3190,뱀
true,3584,가장 가까운 공통 조상
true,3943,헤일스톤 수열
true,3986,좋은 단어
true,4153,직각삼각형
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4999,아!
true,5032,탄산 음료
true,5063,TGN
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5430,AC
true,5522,카드 게임
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5639,이진 검색 트리
true,5717,상근이의 친구들
true,5724,파인만
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6359,만취한 상범
true,6603,로또
true,7287,등록
true,7567,그릇
true,7568,덩치
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9076,점수 집계
true,9086,문자열
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9243,파일 완전 삭제
true,9251,LCS
true,9316,Hello Judge
true,9375,패션왕 신해빈
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9550,아이들은 사탕을 좋아해
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9933,민균이의 비밀번호
true,10039,평균 점수
true,10093,숫자
true,10103,주사위 게임
true,10156,과자
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10205,헤라클레스와 히드라
true,10212,Mystery
true,10216,Count Circle Groups
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10409,서버
true,10430,나머지
true,10451,순열 사이클
true,10539,수빈이와 수열
true,10569,다면체
true,10599,페르시아의 왕들
true,10699,오늘 날짜
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10718,We love kriii
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10824,네 수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10995,별 찍기 - 20
true,10998,A×B
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11109,괴짜 교수
true,11365,!밀비 급일
true,11399,ATM
true,11404,플로이드
true,11506,占쏙옙
true,11559,Puyo Puyo
true,11648,지속
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,11948,과목선택
true,12095,가장 오래 걸리는 스도쿠
true,12096,
true,12756,고급 레스토랑
true,12790,Mini Fantasy War
true,12791,Starman
true,13163,닉네임에 갓 붙이기
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13304,방 배정
true,13305,주유소
true,13416,주식 투자
true,13419,탕수육
true,13458,시험 감독
true,13698,Hawk eyes
true,14443,채점 소수 번호
true,14487,욱제는 효도쟁이야!!
true,14490,백대열
true,14499,주사위 굴리기
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14562,태권왕
true,14645,와이버스 부릉부릉
true,14656,조교는 새디스트야!!
true,14681,사분면 고르기
true,14696,딱지놀이
true,14697,방 배정하기
true,14863,서울에서 경산까지
true,14864,줄서기
true,14924,폰 노이만과 파리
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15655,N과 M (6)
true,15657,N과 M (8)
true,15667,2018 연세대학교 프로그래밍 경진대회
true,15680,연세대학교
true,15685,드래곤 커브
true,15720,카우버거
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15733,나는 누구인가
true,15740,A+B - 9
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15802,타노스
true,15814,야바위 대장
true,15820,맞았는데 왜 틀리죠?
true,15894,수학은 체육과목 입니다
true,15903,카드 합체 놀이
true,15953,상금 헌터
true,15954,인형들
true,15963,CASIO
true,16235,나무 재테크
true,16430,제리와 톰
true,17173,배수들의 합
true,17201,자석 체인
true,17249,태보태보 총난타
true,17263,Sort 마스터 배지훈
true,17284,Vending Machine
false,1005,ACM Craft
false,1013,Contact
false,1038,감소하는 수
false,1062,가르침
false,1168,요세푸스 문제 2
false,1261,알고스팟
false,1325,효율적인 해킹
false,1399,보물의 위치
false,1406,에디터
false,1701,Cubeditor
false,1722,순열의 순서
false,1738,골목길
false,1750,서로소의 개수
false,1773,폭죽쇼
false,2004,조합 0의 개수
false,2011,암호코드
false,2042,구간 합 구하기
false,2108,통계학
false,2157,여행
false,2164,카드2
false,2292,벌집
false,2294,동전 2
false,2352,반도체 설계
false,2470,두 용액
false,2512,예산
false,2749,피보나치 수 3
false,2853,배
false,2856,동규가 설치한 그림판
false,2871,아름다운 단어
false,2872,우리집엔 도서관이 있어
false,2875,대회 or 인턴
false,2909,캔디 구매
false,2957,이진 탐색 트리
false,2981,검문
false,3150,NOGA
false,4485,녹색 옷 입은 애가 젤다지?
false,5397,키로거
false,6480,Identifying Legal Pascal Real Constants
false,6588,골드바흐의 추측
false,6986,절사평균
false,7569,토마토
false,7576,토마토
false,8983,사냥꾼
false,9094,수학적 호기심
false,9426,중앙값 측정
false,9463,순열 그래프
false,9466,텀 프로젝트
false,9935,문자열 폭발
false,10026,적록색약
false,10800,컬러볼
false,10815,숫자 카드
false,10835,카드게임
false,10943,랜덤 게임~
false,10944,랜덤 게임~~
false,11585,속타는 저녁 메뉴
false,12015,가장 긴 증가하는 부분 수열 2
false,13303,장애물 경기
false,13306,트리
false,13974,파일 합치기 2
false,14865,곡선 자르기
false,15565,귀여운 라이언
false,15595,정답 비율 계산하기
false,15719,중복된 숫자
false,15857,백준 온라인 저지
false,15955,부스터
false,15957,음악 추천
false,16676,근우의 다이어리 꾸미기
false,16719,ZOAC
false,16723,원영이는 ZOAC과 영원하고 싶다
