정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1049,기타줄
true,1057,토너먼트
true,1058,친구
true,1062,가르침
true,1072,게임
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1103,게임
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1158,요세푸스 문제
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1238,파티
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1309,동물원
true,1328,고층 빌딩
true,1339,단어 수학
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1420,학교 가지마!
true,1463,1로 만들기
true,1475,방 번호
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1654,랜선 자르기
true,1671,상어의 저녁식사
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1767,N-Rook II
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1789,수들의 합
true,1799,비숍
true,1806,부분합
true,1850,최대공약수
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1922,네트워크 연결
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2023,신기한 소수
true,2026,소풍
true,2037,문자메시지
true,2042,구간 합 구하기
true,2096,내려가기
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2146,다리 만들기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2234,성곽
true,2239,스도쿠
true,2240,자두나무
true,2251,물통
true,2252,줄 세우기
true,2257,화학식량
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2343,기타 레슨
true,2352,반도체 설계
true,2437,저울
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2468,안전 영역
true,2512,예산
true,2517,달리기
true,2529,부등호
true,2565,전깃줄
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2602,돌다리 건너기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2631,줄세우기
true,2636,치즈
true,2661,좋은수열
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2740,행렬 곱셈
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2792,보석 상자
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2878,캔디캔디
true,2887,행성 터널
true,2931,가스관
true,2933,미네랄
true,2961,도영이가 만든 맛있는 음식
true,2981,검문
true,3020,개똥벌레
true,3036,링
true,3046,R2
true,3052,나머지
true,3055,탈출
true,3079,입국심사
true,3190,뱀
true,3197,백조의 호수
true,3568,iSharp
true,3671,산업 스파이의 편지
true,3943,헤일스톤 수열
true,3954,Brainf**k 인터프리터
true,3967,매직 스타
true,4195,친구 네트워크
true,4485,녹색 옷 입은 애가 젤다지?
true,4574,스도미노쿠
true,4811,알약
true,4902,삼각형의 값
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5022,연결
true,5213,과외맨
true,5214,환승
true,5397,키로거
true,5525,IOIOI
true,5557,1학년
true,5567,결혼식
true,5582,공통 부분 문자열
true,5719,거의 최단 경로
true,6086,최대 유량
true,6087,레이저 통신
true,6118,숨바꼭질
true,6236,용돈 관리
true,6324,URLs
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6987,월드컵
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8979,올림픽
true,9095,"1, 2, 3 더하기"
true,9207,페그 솔리테어
true,9251,LCS
true,9461,파도반 수열
true,9465,스티커
true,9576,책 나눠주기
true,9663,N-Queen
true,10025,게으른 백곰
true,10164,격자상의 경로
true,10282,해킹
true,10610,30
true,10656,십자말풀이
true,10775,공항
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10828,스택
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10942,팰린드롬?
true,10972,다음 순열
true,10999,구간 합 구하기 2
true,11004,K번째 수
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11559,Puyo Puyo
true,11577,Condition of deep sleep
true,11578,팀원 모집
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11971,속도 위반
true,12100,2048 (Easy)
true,12755,수면 장애
true,12756,고급 레스토랑
true,12757,전설의 JBNU
true,12759,틱! 택! 토!
true,12760,최후의 승자는 누구?
true,12761,돌다리
true,12762,롤러코스터
true,12763,지각하면 안 돼
true,12764,싸지방에 간 준하
true,12781,PIZZA ALVOLOC
true,12793,블록 게임
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12872,플레이리스트
true,12969,ABC
true,12996,Acka
true,13023,ABCDE
true,13241,최소공배수
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13698,Hawk eyes
true,13699,점화식
true,13700,완전 범죄
true,13702,이상한 술집
true,13703,물벼룩의 생존확률
true,13913,숨바꼭질 4
true,14225,부분수열의 합
true,14442,벽 부수고 이동하기 2
true,14467,소가 길을 건너간 이유 1
true,14468,소가 길을 건너간 이유 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14567,선수과목 (Prerequisite)
true,14624,전북대학교
true,14625,냉동식품
true,14626,ISBN
true,14627,파닭파닭
true,14628,입 챌린저
true,14629,숫자 조각
true,14630,변신로봇
true,14632,고급 작품
true,14716,현수막
true,14717,앉았다
true,14718,용감한 용사 진수
true,14719,빗물
true,14720,우유 축제
true,14721,성적표
true,14722,우유 도시
true,14723,이산수학 과제
true,14724,관리자는 누구?
true,14725,개미굴
true,14852,타일 채우기 3
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14891,톱니바퀴
true,14918,더하기
true,14920,3n+1 수열
true,14921,용액 합성하기
true,14923,미로 탈출
true,14924,폰 노이만과 파리
true,14925,목장 건설하기
true,14926,Not Equal
true,14927,전구 끄기
true,15486,퇴사 2
true,15653,구슬 탈출 4
true,15661,링크와 스타트
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15732,도토리 숨기기
true,15787,기차가 어둠을 헤치고 은하수를
true,15809,전국시대
true,15810,풍선 공장
true,15812,침략자 진아
true,15813,너의 이름은 몇 점이니?
true,15814,야바위 대장
true,15815,천재 수학자 성필
true,15817,배수 공사
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,16112,5차 전직
true,16113,시그널
true,16137,견우와 직녀
true,16159,전광판의 숫자
true,16196,중국 신분증 번호
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16397,탈출
true,16398,행성 연결
true,16399,드라이브
true,16400,소수 화폐
true,16401,과자 나눠주기
true,16402,제국
true,16404,주식회사 승범이네
true,16434,드래곤 앤 던전
true,16464,가주아
true,16503,괄호 없는 사칙연산
true,16504,종이접기
true,16505,별
true,16506,CPU
true,16507,어두운 건 무서워
true,16508,전공책
true,16509,장군
true,16510,Predictable Queue
true,16637,괄호 추가하기
true,16916,부분 문자열
true,16988,Baaaaaaaaaduk2 (Easy)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17173,배수들의 합
true,17174,전체 계산 횟수
true,17175,피보나치는 지겨웡~
true,17176,암호해독기
true,17178,줄서기
true,17179,케이크 자르기
true,17182,우주 탐사선
true,17244,아맞다우산
true,17245,서버실
true,17250,은하철도
true,17251,힘 겨루기
true,17252,삼삼한 수
true,17254,키보드 이벤트
true,17255,N으로 만들기
true,17281,⚾
true,17406,배열 돌리기 4
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17826,나의 학점은?
true,17827,달팽이 리스트
true,17828,문자열 화폐
true,17829,222-풀링
true,17830,이진수씨의 하루 일과
true,17834,사자와 토끼
true,17835,면접보는 승범이네
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
false,1662,압축
false,14727,퍼즐 자르기
false,14890,경사로
false,15811,복면산?!
false,16989,Baaaaaaaaaduk2 (Hard)
false,17181,나랏말싸미 America와 different~
