정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1074,Z
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1193,분수찾기
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1289,트리의 가중치
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1343,폴리오미노
true,1351,무한 수열
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1453,피시방 알바
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1717,집합의 표현
true,1725,히스토그램
true,1726,로봇
true,1753,최단경로
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1780,종이의 개수
true,1789,수들의 합
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2096,내려가기
true,2108,통계학
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2226,이진수
true,2231,분해합
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2331,반복수열
true,2338,긴자리 계산
true,2346,풍선 터뜨리기
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2511,카드놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2630,색종이 만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2981,검문
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3036,링
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3058,짝수를 찾아라
true,3085,사탕 게임
true,3163,떨어지는 개미
true,4101,크냐?
true,4153,직각삼각형
true,4307,개미
true,4344,평균은 넘겠지
true,4435,중간계 전쟁
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4766,일반 화학 실험
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4999,아!
true,5086,배수와 약수
true,5338,마이크로소프트 로고
true,5355,화성 수학
true,5430,AC
true,5543,상근날드
true,5565,영수증
true,5567,결혼식
true,5585,거스름돈
true,5600,품질검사
true,5612,터널의 입구와 출구
true,5622,다이얼
true,5656,비교 연산자
true,5666,Hot Dogs
true,5692,팩토리얼 진법
true,5724,파인만
true,6064,카잉 달력
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7696,반복하지 않는 수
true,8320,직사각형을 만드는 방법
true,8393,합
true,8394,악수
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9176,메르센 합성수
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9325,얼마?
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9493,"길면 기차, 기차는 빨라, 빠른 것은 비행기"
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9550,아이들은 사탕을 좋아해
true,9613,GCD 합
true,10026,적록색약
true,10039,평균 점수
true,10040,투표
true,10102,개표
true,10156,과자
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10253,헨리
true,10430,나머지
true,10451,순열 사이클
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10768,특별한 날
true,10773,제로
true,10797,10부제
true,10799,쇠막대기
true,10804,카드 역배치
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10821,정수의 개수
true,10825,국영수
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10931,SHA-384
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10996,별 찍기 - 21
true,10998,A×B
true,11000,강의실 배정
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11023,더하기 3
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11116,교통량
true,11123,양 한마리... 양 두마리...
true,11170,0의 개수
true,11292,키 큰 사람
true,11365,!밀비 급일
true,11399,ATM
true,11401,이항 계수 3
true,11403,경로 찾기
true,11637,인기 투표
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11655,ROT13
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11943,파일 옮기기
true,11948,과목선택
true,11966,2의 제곱인가?
true,12015,가장 긴 증가하는 부분 수열 2
true,12174,#include <Google I/O.h>
true,12738,가장 긴 증가하는 부분 수열 3
true,12778,CTP공국으로 이민 가자
true,12790,Mini Fantasy War
true,13163,닉네임에 갓 붙이기
true,13171,A
true,13241,최소공배수
true,13277,큰 수 곱셈
true,13458,시험 감독
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14490,백대열
true,14499,주사위 굴리기
true,14501,퇴사
true,14502,연구소
true,14562,태권왕
true,14681,사분면 고르기
true,14726,신용카드 판별
true,14889,스타트와 링크
true,14891,톱니바퀴
true,14918,더하기
true,14924,폰 노이만과 파리
true,15353,큰 수 A+B (2)
true,15483,최소 편집
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15655,N과 M (6)
true,15663,N과 M (9)
true,15678,연세워터파크
true,15719,중복된 숫자
true,15734,명장 남정훈
true,15740,A+B - 9
true,15781,헬멧과 조끼
true,15802,타노스
true,15891,스타트링크 사무실을 파헤쳐보자
true,16076,휴식이 필요해
true,16170,오늘의 날짜는?
true,16206,롤케이크
true,16561,3의 배수
true,16673,고려대학교에는 공식 와인이 있다
true,16769,Mixing Milk
true,17010,Time to Decompress
true,17144,미세먼지 안녕!
true,17173,배수들의 합
true,17174,전체 계산 횟수
true,17175,피보나치는 지겨웡~
true,17176,암호해독기
true,17298,오큰수
true,17362,수학은 체육과목 입니다 2
true,17419,비트가 넘쳐흘러
true,17496,스타후르츠
true,17614,369
true,18108,1998년생인 내가 태국에서는 2541년생?!
false,1201,NMK
false,2104,부분배열 고르기
false,2261,가장 가까운 두 점
false,5397,키로거
false,5632,버젼 관리 IDE
false,12116,Uzastopni
false,13199,치킨 먹고 싶다
false,13309,트리
false,14226,이모티콘
false,16235,나무 재테크
false,17435,합성함수와 쿼리
false,17951,흩날리는 시험지 속에서 내 평점이 느껴진거야
