정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1038,감소하는 수
true,1049,기타줄
true,1058,친구
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1080,행렬
true,1092,배
true,1105,팔
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1124,언더프라임
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1174,줄어드는 숫자
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1309,동물원
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1342,행운의 문자열
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1431,시리얼 번호
true,1446,지름길
true,1448,삼각형 만들기
true,1449,수리공 항승
true,1463,1로 만들기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1517,버블 소트
true,1527,금민수의 개수
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1544,사이클 단어
true,1546,평균
true,1568,새
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1669,멍멍이 쓰다듬기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1712,손익분기점
true,1717,집합의 표현
true,1718,암호
true,1720,타일 코드
true,1726,로봇
true,1731,추론
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1757,달려달려
true,1759,암호 만들기
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1793,타일링
true,1806,부분합
true,1871,좋은 자동차 번호판
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1935,후위 표기식2
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1972,놀라운 문자열
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2082,시계
true,2133,타일 채우기
true,2138,전구와 스위치
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2229,조 짜기
true,2240,자두나무
true,2252,줄 세우기
true,2268,수들의 합
true,2293,동전 1
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2406,안정적인 네트워크
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2476,주사위 게임
true,2490,윷놀이
true,2512,예산
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2606,바이러스
true,2617,구슬 찾기
true,2622,삼각형만들기
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2660,회장뽑기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2696,중앙값 구하기
true,2703,Cryptoquote
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2774,아름다운 수
true,2790,F7
true,2798,블랙잭
true,2805,나무 자르기
true,2806,DNA 발견
true,2822,점수 계산
true,2823,유턴 싫어
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2877,4와 7
true,2884,알람 시계
true,2885,초콜릿 식사
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,2980,도로와 신호등
true,3052,나머지
true,3053,택시 기하학
true,3184,양
true,3187,양치기 꿍
true,3213,피자
true,3273,두 수의 합
true,3745,오름세
true,3986,좋은 단어
true,4150,피보나치 수
true,4153,직각삼각형
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4358,생태학
true,4375,1
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4880,다음수
true,4889,안정적인 문자열
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5014,스타트링크
true,5021,왕위 계승
true,5179,우승자는 누구?
true,5212,지구 온난화
true,5397,키로거
true,5543,상근날드
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5691,평균 중앙값 문제
true,5717,상근이의 친구들
true,6118,숨바꼭질
true,6416,트리인가?
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8061,Bitmap
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9076,점수 집계
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9316,Hello Judge
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9663,N-Queen
true,9713,Sum of Odd Sequence
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10156,과자
true,10159,저울
true,10162,전자레인지
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10282,해킹
true,10430,나머지
true,10610,30
true,10718,We love kriii
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10773,제로
true,10775,공항
true,10797,10부제
true,10809,알파벳 찾기
true,10813,공 바꾸기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10824,네 수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11068,회문인 수
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11561,징검다리
true,11562,백양로 브레이크
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11816,"8진수, 10진수, 16진수"
true,12015,가장 긴 증가하는 부분 수열 2
true,12018,Yonsei TOTO
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12865,평범한 배낭
true,13116,30번
true,13163,닉네임에 갓 붙이기
true,13305,주유소
true,13423,Three Dots
true,13424,비밀 모임
true,13549,숨바꼭질 3
true,13752,히스토그램
true,13915,현수의 열기구 교실
true,14430,자원 캐기
true,14442,벽 부수고 이동하기 2
true,14467,소가 길을 건너간 이유 1
true,14495,피보나치 비스무리한 수열
true,14502,연구소
true,14503,로봇 청소기
true,14595,동방 프로젝트 (Large)
true,14650,걷다보니 신천역 삼 (Small)
true,14651,걷다보니 신천역 삼 (Large)
true,14716,현수막
true,14717,앉았다
true,14720,우유 축제
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14940,쉬운 최단거리
true,15131,Auxiliary Project
true,15552,빠른 A+B
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15683,감시
true,15686,치킨 배달
true,15729,방탈출
true,15873,공백 없는 A+B
true,15990,"1, 2, 3 더하기 5"
true,16112,5차 전직
true,16172,나는 친구가 적다 (Large)
true,16435,스네이크버드
true,16437,양 구출 작전
true,16562,친구비
true,16916,부분 문자열
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17141,연구소 2
true,17175,피보나치는 지겨웡~
true,17203,∑|ΔEasyMAX|
true,17208,카우버거 알바생
true,17250,은하철도
true,17252,삼삼한 수
true,17264,I AM IRONMAN
true,17265,나의 인생에는 수학과 함께
true,17283,I am Groot
true,17294,귀여운 수~ε٩(๑> ₃ <)۶з
true,17413,단어 뒤집기 2
true,17487,타자 연습
true,17827,달팽이 리스트
true,17828,문자열 화폐
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18352,특정 거리의 도시 찾기
true,19583,싸이버개강총회
false,1041,주사위
false,1106,호텔
false,1166,선물
false,1168,요세푸스 문제 2
false,1270,전쟁 - 땅따먹기
false,1327,소트 게임
false,1500,최대 곱
false,1914,하노이 탑
false,3197,백조의 호수
false,9019,DSLR
false,10942,팰린드롬?
false,12096,
false,13702,이상한 술집
false,14722,우유 도시
false,14868,문명
false,16500,문자열 판별
