정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1036,36진수
true,1039,교환
true,1062,가르침
true,1065,한수
true,1072,게임
true,1079,마피아
true,1094,막대기
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1175,배달
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1316,그룹 단어 체커
true,1322,X와 K
true,1325,효율적인 해킹
true,1339,단어 수학
true,1405,미친 로봇
true,1427,소트인사이드
true,1445,일요일 아침의 데이트
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1546,평균
true,1561,놀이 공원
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1614,영식이의 손가락
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1655,가운데를 말해요
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1707,이분 그래프
true,1713,후보 추천하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1726,로봇
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1806,부분합
true,1837,암호제작
true,1854,K번째 최단경로 찾기
true,1874,스택 수열
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1917,정육면체 전개도
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1963,소수 경로
true,1966,프린터 큐
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2001,보석 줍기
true,2003,수들의 합 2
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2099,The game of death
true,2108,통계학
true,2143,두 배열의 합
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2157,여행
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2206,벽 부수고 이동하기
true,2213,트리의 독립집합
true,2234,성곽
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2290,LCD Test
true,2292,벌집
true,2293,동전 1
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2504,괄호의 값
true,2517,달리기
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2610,회의준비
true,2613,숫자구슬
true,2615,오목
true,2618,경찰차
true,2631,줄세우기
true,2638,치즈
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2718,타일 채우기
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2805,나무 자르기
true,2819,상근이의 로봇
true,2824,최대공약수
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2887,행성 터널
true,2908,상수
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,3019,테트리스
true,3020,개똥벌레
true,3038,완전 이진 트리
true,3055,탈출
true,3176,도로 네트워크
true,3190,뱀
true,3197,백조의 호수
true,3584,가장 가까운 공통 조상
true,3830,교수님은 기다리지 않는다
true,3860,할로윈 묘지
true,3954,Brainf**k 인터프리터
true,3955,캔디 분배
true,4179,불!
true,4195,친구 네트워크
true,4217,신성 문자
true,4375,1
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5022,연결
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5427,불
true,5557,1학년
true,5568,카드 놓기
true,5582,공통 부분 문자열
true,5622,다이얼
true,5626,제단
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,5980,Corn Maze
true,6064,카잉 달력
true,6087,레이저 통신
true,6416,트리인가?
true,6497,전력난
true,6569,몬드리안의 꿈
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8980,택배
true,8982,수족관 1
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9202,Boggle
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9252,LCS 2
true,9328,열쇠
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9376,탈옥
true,9426,중앙값 측정
true,9461,파도반 수열
true,9498,시험 성적
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10212,Mystery
true,10250,ACM 호텔
true,10272,현상금 사냥꾼 김정은
true,10282,해킹
true,10430,나머지
true,10711,모래성
true,10714,케이크 자르기 2
true,10718,We love kriii
true,10809,알파벳 찾기
true,10817,세 수
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11062,카드 게임
true,11266,단절점
true,11279,최대 힙
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11559,Puyo Puyo
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11866,요세푸스 문제 0
true,11967,불켜기
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,13016,내 왼손에는 흑염룡이 잠들어 있다
true,13023,ABCDE
true,13264,접미사 배열 2
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13911,집 구하기
true,13913,숨바꼭질 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14267,내리 칭찬
true,14476,최대공약수 하나 빼기
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15804,저거 못 타면 지각이야!!
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15949,Piet
true,16113,시그널
true,16118,달빛 여우
true,16137,견우와 직녀
true,16197,두 동전
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16496,큰 수 만들기
true,16509,장군
true,16562,친구비
true,16637,괄호 추가하기
true,16918,봄버맨
true,16935,배열 돌리기 3
true,16947,서울 지하철 2호선
true,16954,움직이는 미로 탈출
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16988,Baaaaaaaaaduk2 (Easy)
true,16989,Baaaaaaaaaduk2 (Hard)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17244,아맞다우산
true,17281,⚾
true,17394,핑거 스냅
true,17396,백도어
true,17398,통신망 분할
true,17406,배열 돌리기 4
true,17435,합성함수와 쿼리
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17485,진우의 달 여행 (Large)
true,17779,게리맨더링 2
true,17780,새로운 게임
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17831,대기업 승범이네
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,17845,수강 과목
true,18228,펭귄추락대책위원회
true,18231,파괴된 도시
true,18234,당근 훔쳐 먹기
true,18235,지금 만나러 갑니다
true,18436,수열과 쿼리 37
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
false,2920,음계
false,3425,고스택
false,4344,평균은 넘겠지
false,4920,테트리스 게임
false,5430,AC
false,11657,타임머신
false,15552,빠른 A+B
false,15802,타노스
false,17470,배열 돌리기 5
