정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1005,ACM Craft
true,1006,습격자 초라기
true,1007,벡터 매칭
true,1012,유기농 배추
true,1014,컨닝
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1023,괄호 문자열
true,1026,보물
true,1032,명령 프롬프트
true,1034,램프
true,1035,조각 움직이기
true,1038,감소하는 수
true,1044,팀 선발
true,1047,울타리
true,1049,기타줄
true,1055,끝이없음
true,1057,토너먼트
true,1062,가르침
true,1072,게임
true,1079,마피아
true,1096,종이 접기
true,1103,게임
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1126,같은 탑
true,1149,RGB거리
true,1157,단어 공부
true,1162,도로포장
true,1175,배달
true,1182,부분수열의 합
true,1188,음식 평론가
true,1194,"달이 차오른다, 가자."
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1309,동물원
true,1325,효율적인 해킹
true,1389,케빈 베이컨의 6단계 법칙
true,1400,화물차
true,1405,미친 로봇
true,1406,에디터
true,1463,1로 만들기
true,1475,방 번호
true,1493,박스 채우기
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1600,말이 되고픈 원숭이
true,1605,반복 부분문자열
true,1620,나는야 포켓몬 마스터 이다솜
true,1633,최고의 팀 만들기
true,1654,랜선 자르기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1707,이분 그래프
true,1717,집합의 표현
true,1726,로봇
true,1743,음식물 피하기
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1781,컵라면
true,1789,수들의 합
true,1806,부분합
true,1822,차집합
true,1854,K번째 최단경로 찾기
true,1890,점프
true,1893,시저 암호
true,1911,흙길 보수하기
true,1912,연속합
true,1916,최소비용 구하기
true,1917,정육면체 전개도
true,1920,수 찾기
true,1929,소수 구하기
true,1931,회의실배정
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1940,주몽
true,1946,신입 사원
true,1963,소수 경로
true,1965,상자넣기
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2151,거울 설치
true,2152,여행 계획 세우기
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2164,카드2
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2240,자두나무
true,2252,줄 세우기
true,2290,LCD Test
true,2293,동전 1
true,2294,동전 2
true,2307,도로검문
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2379,트리 탐색하기
true,2411,아이템 먹기
true,2440,별 찍기 - 3
true,2442,별 찍기 - 5
true,2445,별 찍기 - 8
true,2449,전구
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2504,괄호의 값
true,2512,예산
true,2525,오븐 시계
true,2558,A+B - 2
true,2563,색종이
true,2573,빙산
true,2576,홀수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2602,돌다리 건너기
true,2623,음악프로그램
true,2631,줄세우기
true,2632,피자판매
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2660,회장뽑기
true,2662,기업투자
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2703,Cryptoquote
true,2718,타일 채우기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2751,수 정렬하기 2
true,2753,윤년
true,2755,이번학기 평점은 몇점?
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2846,오르막길
true,2854,문제 출제
true,2866,문자열 잘라내기
true,2902,KMP는 왜 KMP일까?
true,2916,자와 각도기
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2944,수박 던지기 게임
true,2960,에라토스테네스의 체
true,2966,찍기
