정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1012,유기농 배추
true,1021,회전하는 큐
true,1024,수열의 합
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1037,약수
true,1038,감소하는 수
true,1043,거짓말
true,1057,토너먼트
true,1065,한수
true,1074,Z
true,1094,막대기
true,1103,게임
true,1110,더하기 사이클
true,1126,같은 탑
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1209,단조수열 만들기
true,1215,잘못 작성한 요세푸스 코드
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1285,동전 뒤집기
true,1289,트리의 가중치
true,1291,이면수와 임현수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1405,미친 로봇
true,1427,소트인사이드
true,1456,거의 소수
true,1457,정확해
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1517,버블 소트
true,1520,내리막 길
true,1546,평균
true,1605,반복 부분문자열
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1708,볼록 껍질
true,1725,히스토그램
true,1753,최단경로
true,1761,정점들의 거리
true,1777,순열복원
true,1780,종이의 개수
true,1800,인터넷 설치
true,1850,최대공약수
true,1866,택배
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,2042,구간 합 구하기
true,2096,내려가기
true,2104,부분배열 고르기
true,2108,통계학
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2167,2차원 배열의 합
true,2172,팰린드롬 경로
true,2176,합리적인 이동경로
true,2178,미로 탐색
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2213,트리의 독립집합
true,2217,로프
true,2231,분해합
true,2248,이진수 찾기
true,2291,Sequence
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2339,석판 자르기
true,2407,조합
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2450,모양 정돈
true,2455,지능형 기차
true,2473,세 용액
true,2480,주사위 세개
true,2490,윷놀이
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2518,회전 테이블
true,2534,카드 배열
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2563,색종이
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2582,동전 뒤집기 2
true,2584,트리분할
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2665,미로만들기
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2806,DNA 발견
true,2819,상근이의 로봇
true,2839,설탕 배달
true,2846,오르막길
true,2849,탭댄스
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2912,백설공주와 난쟁이
true,2917,늑대 사냥꾼
true,2920,음계
true,2941,크로아티아 알파벳
true,2981,검문
true,3033,가장 긴 문자열
true,3036,링
true,3037,혼란
true,3053,택시 기하학
true,3114,사과와 바나나
true,3176,도로 네트워크
true,3392,화성 지도
true,3988,수 고르기
true,4008,특공대
true,4344,평균은 넘겠지
true,4373,수집합
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,5015,ls
true,5430,AC
true,5502,팰린드롬
true,5557,1학년
true,5622,다이얼
true,5719,거의 최단 경로
true,6086,최대 유량
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,7287,등록
true,7562,나이트의 이동
true,7569,토마토
true,7575,바이러스
true,7576,토마토
true,7578,공장
true,7783,B-행렬
true,8393,합
true,8394,악수
true,8958,OX퀴즈
true,8983,사냥꾼
true,8984,막대기
true,8986,전봇대
true,9012,괄호
true,9020,골드바흐의 추측
true,9023,연습시즌
true,9095,"1, 2, 3 더하기"
true,9240,로버트 후드
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9251,LCS
true,9252,LCS 2
true,9323,무임승차
true,9328,열쇠
true,9375,패션왕 신해빈
true,9457,기하학문양
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9520,NP-hard
true,9995,HM과 TM
true,9997,폰트
true,9999,구구
true,10039,평균 점수
true,10101,삼각형 외우기
true,10165,버스 노선
true,10167,금광
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10253,헨리
true,10430,나머지
true,10451,순열 사이클
true,10464,XOR
true,10699,오늘 날짜
true,10713,기차 여행
true,10718,We love kriii
true,10757,큰 수 A+B
true,10798,세로읽기
true,10803,정사각형 만들기
true,10805,L 모양의 종이 자르기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10817,세 수
true,10826,피보나치 수 4
true,10828,스택
true,10837,동전 게임
true,10840,구간 성분
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10907,On grid
true,10946,랜덤 게임~~~~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10995,별 찍기 - 20
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11025,요세푸스 문제 3
true,11047,동전 0
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11066,파일 합치기
true,11399,ATM
true,11401,이항 계수 3
true,11437,LCA
true,11438,LCA 2
true,11506,占쏙옙
true,11654,아스키 코드
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,11881,지우개
true,11897,간선 파괴
true,11942,고려대는 사랑입니다
true,11962,Counting Haybales
true,11985,오렌지 출하
true,12015,가장 긴 증가하는 부분 수열 2
true,12096,
true,12792,주작 주 주작
true,12795,반평면 땅따먹기
true,12844,XOR
true,13141,Ignition
true,13241,최소공배수
true,13262,수열의 OR 점수
true,13263,나무 자르기
true,13277,큰 수 곱셈
true,13302,리조트
true,13308,주유소
true,13309,트리
true,13310,먼 별
true,13504,XOR 합
true,13505,두 수 XOR
true,13510,트리와 쿼리 1
true,13511,트리와 쿼리 2
true,13512,트리와 쿼리 3
true,13537,수열과 쿼리 1
true,13548,수열과 쿼리 6
true,13705,Ax+Bsin(x)=C
true,14240,부분 수열의 점수
true,14444,가장 긴 팰린드롬 부분 문자열
true,14446,Promotion Counting
true,14458,소가 길을 건너간 이유 10
true,14716,현수막
true,14786,Ax+Bsin(x)=C ②
true,14867,물통
true,14868,문명
true,14869,요리 강좌
true,14870,조개 줍기
true,14889,스타트와 링크
true,15353,큰 수 A+B (2)
true,15552,빠른 A+B
true,15553,난로
true,15596,정수 N개의 합
true,15633,Fan Death
true,15638,No Description
true,15700,타일 채우기 4
true,15731,Python 문법
true,15740,A+B - 9
true,15772,Segmentation
true,15779,Zigzag
true,15782,Calculate! 2
true,15802,타노스
true,15816,퀘스트 중인 모험가
true,15891,스타트링크 사무실을 파헤쳐보자
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15899,트리와 색깔
true,15977,조화로운 행렬
true,16282,Black Chain
true,16357,Circuits
true,16460,Cupid
true,16461,듀얼 채널 VHF 무전기
true,16462,'나교수' 교수님의 악필
true,16463,13일의 금요일
true,16464,가주아
true,16465,Bookend
true,16466,콘서트
true,16467,병아리의 변신은 무죄
true,16468,크리스마스 트리 꾸미기
true,16469,소년 점프
true,16472,고냥이
true,16474,이상한 전깃줄
true,16953,A → B
true,16986,인싸들의 가위바위보
true,17069,파이프 옮기기 2
true,17071,숨바꼭질 5
true,17072,아스키 아트
true,17073,나무 위의 빗물
true,17074,정렬
true,17075,유물 복원
true,17080,결함 게임
true,17113,3분 그래프
true,17140,이차원 배열과 연산
true,17301,NC 문자열
true,17304,변호사들
true,17305,사탕 배달
true,17306,전쟁 중의 삶
true,17377,Taxi
true,17395,이진수 변환
true,17450,과자 사기
true,17451,평행 우주
true,17452,Christmalo.win
true,17453,두 개의 문
true,17508,6789
true,17509,And the Winner Is... Ourselves!
true,17526,Star Trek
true,17528,Two Machines
true,17626,Four Squares
true,17838,커맨드
true,17839,Baba is Rabbit
true,17840,피보나치 음악
true,17841,UNIST는 무엇의 약자일까?
true,17844,복붙하기
true,17951,흩날리는 시험지 속에서 내 평점이 느껴진거야
true,17977,Triangulation
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18110,solved.ac
true,18111,마인크래프트
true,18115,카드 놓기
true,18116,로봇 조립
true,18117,분수
true,18120,대농부 김상혁
true,18123,평행우주
true,18858,훈련소로 가는 날
false,15776,Winter Olympic Games
false,15792,A/B - 2
false,17120,이모지
