정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1016,제곱 ㄴㄴ 수
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1034,램프
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1188,음식 평론가
true,1202,보석 도둑
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1246,온라인 판매
true,1251,단어 나누기
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1271,엄청난 부자2
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1302,베스트셀러
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1408,24
true,1427,소트인사이드
true,1453,피시방 알바
true,1524,세준세비
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1598,꼬리를 무는 숫자 나열
true,1629,곱셈
true,1676,팩토리얼 0의 개수
true,1689,겹치는 선분
true,1697,숨바꼭질
true,1715,카드 정렬하기
true,1735,분수 합
true,1755,숫자놀이
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1850,최대공약수
true,1871,좋은 자동차 번호판
true,1913,달팽이
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1964,"오각형, 오각형, 오각형…"
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,2010,플러그
true,2011,암호코드
true,2096,내려가기
true,2149,암호 해독
true,2161,카드1
true,2163,초콜릿 자르기
true,2292,벌집
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2399,거리의 합
true,2407,조합
true,2417,정수 제곱근
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2460,지능형 기차 2
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2490,윷놀이
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2530,인공지능 시계
true,2535,아시아 정보올림피아드
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2577,숫자의 개수
true,2579,계단 오르기
true,2587,대표값2
true,2588,곱셈
true,2592,대표값
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2675,문자열 반복
true,2684,동전 게임
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2718,타일 채우기
true,2720,세탁소 사장 동혁
true,2721,삼각수의 합
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2755,이번학기 평점은 몇점?
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2780,비밀번호
true,2783,삼각 김밥
true,2789,유학 금지
true,2804,크로스워드 만들기
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2857,FBI
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2870,수학숙제
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2935,소음
true,2947,나무 조각
true,2948,2009년
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2959,거북이
true,2965,캥거루 세마리
true,2966,찍기
true,2985,세 수
true,2998,8진수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3028,창영마을
true,3035,스캐너
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3058,짝수를 찾아라
true,3059,등장하지 않는 문자의 합
true,3062,수 뒤집기
true,3449,해밍 거리
true,3460,이진수
true,4084,Viva la Diferencia
true,4101,크냐?
true,4153,직각삼각형
true,4458,첫 글자를 대문자로
true,4470,줄번호
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4539,반올림
true,4597,패리티
true,4673,셀프 넘버
true,4706,쌍둥이 역설
true,4766,일반 화학 실험
true,4806,줄 세기
true,4880,다음수
true,4998,저금
true,4999,아!
true,5026,박사 과정
true,5032,탄산 음료
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5176,대회 자리
true,5217,쌍의 합
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5354,J박스
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5363,요다
true,5522,카드 게임
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5565,영수증
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5613,계산기 프로그램
true,5635,생일
true,5656,비교 연산자
true,5691,평균 중앙값 문제
true,5704,팬그램
true,5717,상근이의 친구들
true,5724,파인만
true,5789,한다 안한다
true,5800,성적 통계
true,5893,17배
true,6131,완전 제곱수
true,6321,IBM 빼기 1
true,6322,직각 삼각형의 두 변
true,6359,만취한 상범
true,6603,로또
true,6757,팰린드롬 진법
true,6996,애너그램
true,7287,등록
true,7510,고급 수학
true,7523,Gauß
true,7567,그릇
true,7568,덩치
true,7576,토마토
true,7785,회사에 있는 사람
true,7894,큰 수
true,8393,합
true,8741,이진수 합
true,8958,OX퀴즈
true,9012,괄호
true,9076,점수 집계
true,9085,더하기
true,9086,문자열
true,9093,단어 뒤집기
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9237,이장님 초대
true,9295,주사위
true,9325,얼마?
true,9339,마라토너
true,9358,순열 접기 게임
true,9417,최대 GCD
true,9455,박스
true,9465,스티커
true,9469,폰 노이만
true,9494,Text Roll
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9518,로마 카톨릭 미사
true,9575,행운의 수
true,9610,사분면
true,9625,BABBA
true,9626,크로스워드 퍼즐
true,9627,문장
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9664,NASLJEDSTVO
true,9665,GMO
true,9733,꿀벌
true,9933,민균이의 비밀번호
true,9934,완전 이진 트리
true,9946,단어 퍼즐
true,9996,한국이 그리울 땐 서버에 접속하지
true,9997,폰트
true,10026,적록색약
true,10039,평균 점수
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10173,니모를 찾아서
true,10214,Baseball
true,10419,지각
true,10425,피보나치 인버스
true,10430,나머지
true,10434,행복한 소수
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10768,특별한 날
true,10797,10부제
true,10798,세로읽기
true,10801,카드게임
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10812,바구니 순서 바꾸기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10817,세 수
true,10818,"최소, 최대"
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10829,이진수 변환
true,10833,사과
true,10845,큐
true,10864,친구
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10990,별 찍기 - 15
true,10998,A×B
true,11004,K번째 수
true,11023,더하기 3
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11057,오르막 수
true,11098,첼시를 도와줘!
true,11286,절댓값 힙
true,11382,꼬마 정민
true,11399,ATM
true,11557,Yangjojang of The Year
true,11575,Affine Cipher
true,11576,Base Conversion
true,11606,Egg Drop
true,11610,Surf
true,11650,좌표 정렬하기
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11728,배열 합치기
true,11758,CCW
true,12100,2048 (Easy)
true,13164,행복 유치원
true,13458,시험 감독
true,14405,피카츄
true,14501,퇴사
true,14645,와이버스 부릉부릉
true,14646,욱제는 결정장애야!!
true,15784,질투진서
true,15953,상금 헌터
false,1005,ACM Craft
false,1035,조각 움직이기
false,1039,교환
false,1062,가르침
false,1083,소트
false,1157,단어 공부
false,1213,팰린드롬 만들기
false,1222,홍준 프로그래밍 대회
false,1229,빅뱅의 여섯 번째 멤버
false,1247,부호
false,1267,핸드폰 요금
false,1310,달리기 코스
false,1312,소수
false,1342,행운의 문자열
false,1475,방 번호
false,1526,가장 큰 금민수
false,1564,팩토리얼5
false,1699,제곱수의 합
false,1748,수 이어 쓰기 1
false,1781,컵라면
false,1927,최소 힙
false,1929,소수 구하기
false,2246,콘도 선정
false,2294,동전 2
false,2357,최솟값과 최댓값
false,2491,수열
false,2501,약수 구하기
false,2511,카드놀이
false,2555,생일 출력하기
false,2576,홀수
false,2616,소형기관차
false,2631,줄세우기
false,2636,치즈
false,2749,피보나치 수 3
false,2875,대회 or 인턴
false,2903,중앙 이동 알고리즘
false,2921,도미노
false,2981,검문
false,3103,순열의 순서
false,3213,피자
false,3541,상근타워
false,3943,헤일스톤 수열
false,3964,팩토리얼과 거듭제곱
false,4158,CD
false,4388,받아올림
false,5212,지구 온난화
false,5637,가장 긴 단어
false,5692,팩토리얼 진법
false,5698,Tautogram
false,6502,동혁 피자
false,6851,Snowflakes
false,6987,월드컵
false,6988,타일 밟기
false,7469,K번째 수
false,7662,이중 우선순위 큐
false,7869,두 원
false,8949,대충 더해
false,9047,6174
false,9243,파일 완전 삭제
false,9251,LCS
false,9366,삼각형 분류
false,9742,순열
false,9935,문자열 폭발
false,9987,포켓몬 마스터
false,10000,원 영역
false,10093,숫자
false,10101,삼각형 외우기
false,10162,전자레인지
false,10424,알고리즘 기말고사
false,10610,30
false,10865,친구 친구
false,10942,팰린드롬?
false,10951,A+B - 4
false,11025,요세푸스 문제 3
false,11279,최대 힙
false,11365,!밀비 급일
false,11501,주식
false,11719,그대로 출력하기 2
false,12026,BOJ 거리
false,13311,행운의 편지
false,17071,숨바꼭질 5
