정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1013,Contact
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1058,친구
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1244,스위치 켜고 끄기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1271,엄청난 부자2
true,1275,커피숍2
true,1297,TV 크기
true,1309,동물원
true,1330,두 수 비교하기
true,1358,하키
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1463,1로 만들기
true,1495,기타리스트
true,1516,게임 개발
true,1520,내리막 길
true,1546,평균
true,1550,16진수
true,1673,치킨 쿠폰
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1753,최단경로
true,1757,달려달려
true,1759,암호 만들기
true,1854,K번째 최단경로 찾기
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,2011,암호코드
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2073,수도배관공사
true,2096,내려가기
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2217,로프
true,2225,합분해
true,2234,성곽
true,2240,자두나무
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2331,반복수열
true,2338,긴자리 계산
true,2343,기타 레슨
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2364,담장 너머로
true,2420,사파리월드
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2479,경로 찾기
true,2480,주사위 세개
true,2490,윷놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2562,최댓값
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2591,숫자카드
true,2596,비밀편지
true,2600,구슬게임
true,2605,줄 세우기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2615,오목
true,2616,소형기관차
true,2617,구슬 찾기
true,2622,삼각형만들기
true,2628,종이자르기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2635,수 이어가기
true,2636,치즈
true,2641,다각형그리기
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2651,자동차경주대회
true,2653,안정된 집단
true,2659,십자카드 문제
true,2660,회장뽑기
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2671,잠수함식별
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2798,블랙잭
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2884,알람 시계
true,2908,상수
true,2914,저작권
true,2920,음계
true,2953,나는 요리사다
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3023,마술사 이민혁
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3067,Coins
true,4198,열차정렬
true,4299,AFC 윔블던
true,4344,평균은 넘겠지
true,4620,Pascal's Travels
true,4673,셀프 넘버
true,4781,사탕 가게
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5101,Sequences
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5508,Party Lamps
true,5522,카드 게임
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5567,결혼식
true,5575,타임 카드
true,5596,시험 점수
true,5893,17배
true,6159,코스튬 파티
true,6173,Pearl Pairing
true,6242,City Horizon
true,6359,만취한 상범
true,6516,Grocery store
true,6583,Balancing Bank Accounts
true,6603,로또
true,7044,Bad Cowtractors
true,7287,등록
true,7346,유전자 함수
true,7562,나이트의 이동
true,7569,토마토
true,7571,점 모으기
true,7576,토마토
true,8393,합
true,8394,악수
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9250,문자열 집합 판별
true,9251,LCS
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9524,Beautiful Yekaterinburg
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10156,과자
true,10162,전자레인지
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10179,쿠폰
true,10181,Federation Favorites
true,10211,Maximum Subarray
true,10250,ACM 호텔
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10768,특별한 날
true,10797,10부제
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10994,별 찍기 - 19
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10997,별 찍기 - 22
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11191,Xor Maximization
true,11382,꼬마 정민
true,11403,경로 찾기
true,11404,플로이드
true,11505,구간 곱 구하기
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11948,과목선택
true,12015,가장 긴 증가하는 부분 수열 2
true,12096,
true,12738,가장 긴 증가하는 부분 수열 3
true,12847,꿀 아르바이트
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,13015,별 찍기 - 23
true,13136,Do Not Touch Anything
true,13301,타일 장식물
true,13333,Q-인덱스
true,13413,오셀로 재배치
true,13414,수강신청
true,13416,주식 투자
true,13418,학교 탐방하기
true,13419,탕수육
true,13420,사칙연산
true,13422,도둑
true,13424,비밀 모임
true,13549,숨바꼭질 3
true,13699,점화식
true,13866,팀 나누기
true,13985,Equality
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14264,정육각형과 삼각형
true,14444,가장 긴 팰린드롬 부분 문자열
true,14470,전자레인지
true,14501,퇴사
true,14502,연구소
true,14606,피자 (Small)
true,14607,피자 (Large)
true,14623,감정이입
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14681,사분면 고르기
true,14697,방 배정하기
true,14726,신용카드 판별
true,14729,칠무해
true,14730,謎紛芥索紀 (Small)
true,14781,The Climbing Wall
true,14867,물통
true,14908,구두 수선공
true,14916,거스름돈
true,14918,더하기
true,14924,폰 노이만과 파리
true,14935,FA
true,15238,Pirates
true,15353,큰 수 A+B (2)
true,15439,Vera and Outfits
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15610,Abbey Courtyard
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15733,나는 누구인가
true,15740,A+B - 9
true,15802,타노스
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15962,새로운 시작
true,15963,CASIO
true,15964,이상한 기호
true,15965,K번째 소수
true,15966,군계일학
true,15975,화살표 그리기
true,15988,"1, 2, 3 더하기 3"
true,15991,"1, 2, 3 더하기 6"
true,15992,"1, 2, 3 더하기 7"
true,16170,오늘의 날짜는?
true,16195,"1, 2, 3 더하기 9"
true,16212,정열적인 정렬
true,16234,인구 이동
true,16236,아기 상어
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16396,선 그리기
true,16400,소수 화폐
true,16428,A/B - 3
true,16430,제리와 톰
true,16431,베시와 데이지
true,16433,주디와 당근농장
true,16435,스네이크버드
true,16439,치킨치킨치킨
true,16493,최대 페이지 수
true,16495,열 순서
true,16504,종이접기
true,16600,Contemporary Art
true,16647,"Happy Birthday, kipa00!"
true,16673,고려대학교에는 공식 와인이 있다
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17256,달달함이 넘쳐흘러
true,17263,Sort 마스터 배지훈
true,17295,엔드게임 스포일러
true,17478,재귀함수가 뭔가요?
true,17496,스타후르츠
true,17608,막대기
true,17610,양팔저울
true,17612,쇼핑몰
true,17626,Four Squares
true,17836,공주님을 구해라!
true,17953,디저트
true,18005,Even or Odd?
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18222,투에-모스 문자열
true,18223,민준이와 마산 그리고 건우
true,18247,겨울왕국 티켓 예매
true,18301,Rats
true,19563,개구리 1
true,19564,반복
false,15967,에바쿰
