정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1019,책 페이지
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1058,친구
true,1065,한수
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1201,NMK
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1261,알고스팟
true,1271,엄청난 부자2
true,1298,노트북의 주인을 찾아서
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1344,축구
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1420,학교 가지마!
true,1427,소트인사이드
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1550,16진수
true,1562,계단 수
true,1613,역사
true,1629,곱셈
true,1648,격자판 채우기
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1712,손익분기점
true,1731,추론
true,1737,Pibonacci
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1865,웜홀
true,1890,점프
true,1891,사분면
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1958,LCS 3
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1969,DNA
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2042,구간 합 구하기
true,2056,작업
true,2133,타일 채우기
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2229,조 짜기
true,2231,분해합
true,2252,줄 세우기
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2342,Dance Dance Revolution
true,2355,시그마
true,2365,숫자판 만들기
true,2407,조합
true,2410,2의 멱수의 합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2468,안전 영역
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2522,별 찍기 - 12
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2588,곱셈
true,2602,돌다리 건너기
true,2606,바이러스
true,2623,음악프로그램
true,2644,촌수계산
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2702,초6 수학
true,2720,세탁소 사장 동혁
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2822,점수 계산
true,2839,설탕 배달
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2997,네 번째 수
true,2998,8진수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3059,등장하지 않는 문자의 합
true,3063,게시판
true,3449,해밍 거리
true,3474,교수가 된 현우
true,3613,Java vs C++
true,3881,말파티 원
true,3948,홍준이의 친위대
true,4150,피보나치 수
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4531,Verdis Quo
true,4673,셀프 넘버
true,4880,다음수
true,4948,베르트랑 공준
true,4980,Dirichlet's Theorem on Arithmetic Progressions
true,4999,아!
true,5014,스타트링크
true,5086,배수와 약수
true,5217,쌍의 합
true,5218,알파벳 거리
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5355,화성 수학
true,5361,전투 드로이드 가격
true,5430,AC
true,5523,경기 결과
true,5524,입실 관리
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5599,カードの並び替え
true,5622,다이얼
true,5717,상근이의 친구들
true,5893,17배
true,5988,홀수일까 짝수일까
true,6086,최대 유량
true,6359,만취한 상범
true,6502,동혁 피자
true,6588,골드바흐의 추측
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6996,애너그램
true,7287,등록
true,7576,토마토
true,8393,합
true,8741,이진수 합
true,8932,7종 경기
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9316,Hello Judge
true,9322,철벽 보안 알고리즘
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9536,여우는 어떻게 울지?
true,9546,3000번 버스
true,9610,사분면
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10173,니모를 찾아서
true,10174,팰린드롬
true,10178,할로윈의 사탕
true,10179,쿠폰
true,10212,Mystery
true,10214,Baseball
true,10430,나머지
true,10610,30
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10797,10부제
true,10798,세로읽기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10821,정수의 개수
true,10824,네 수
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10928,SHA-1
true,10930,SHA-256
true,10931,SHA-384
true,10932,SHA-512
true,10935,BASE64 인코딩
true,10936,BASE64 디코딩
true,10938,BASE32 인코딩
true,10939,BASE32 디코딩
true,10940,BASE16 인코딩
true,10941,BASE16 디코딩
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10995,별 찍기 - 20
true,10998,A×B
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11023,더하기 3
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11066,파일 합치기
true,11179,2진수 뒤집기
true,11282,한글
true,11283,한글 2
true,11284,초성 중성 종성
true,11365,!밀비 급일
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11403,경로 찾기
true,11444,피보나치 수 6
true,11478,서로 다른 부분 문자열의 개수
true,11506,占쏙옙
true,11557,Yangjojang of The Year
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11816,"8진수, 10진수, 16진수"
true,11921,0.1
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,11970,Fence Painting
true,12026,BOJ 거리
true,12093,최댓값은 곧 페널티 감소
true,12096,
true,12605,단어순서 뒤집기
true,12790,Mini Fantasy War
true,12813,이진수 연산
true,12851,숨바꼭질 2
true,12996,Acka
true,13013,접미사 배열 2
true,13163,닉네임에 갓 붙이기
true,13235,팰린드롬
true,13236,Collatz Conjecture
true,13240,Chessboard
true,13241,최소공배수
true,13264,접미사 배열 2
true,13277,큰 수 곱셈
true,13304,방 배정
true,13311,행운의 편지
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13900,순서쌍의 곱의 합
true,13913,숨바꼭질 4
true,14389,4블록
true,14438,수열과 쿼리 17
true,14443,채점 소수 번호
true,14470,전자레인지
true,14471,포인트 카드
true,14551,Card Game Contest
true,14581,팬들에게 둘러싸인 홍준
true,14606,피자 (Small)
true,14607,피자 (Large)
true,14608,구분구적법 (Small)
true,14609,구분구적법 (Large)
true,14623,감정이입
true,14624,전북대학교
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14656,조교는 새디스트야!!
true,14697,방 배정하기
true,14726,신용카드 판별
true,14918,더하기
true,14920,3n+1 수열
true,14924,폰 노이만과 파리
true,14935,FA
true,15272,Hissing Microphone
true,15312,이름 궁합
true,15328,산타의 선물
true,15351,인생 점수
true,15482,한글 LCS
true,15489,파스칼 삼각형
true,15547,Lorem ipsum
true,15549,if
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15633,Fan Death
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15644,구슬 탈출 3
true,15680,연세대학교
true,15688,수 정렬하기 5
true,15700,타일 채우기 4
false,1014,컨닝
false,1015,수열 정렬
false,1024,수열의 합
false,1059,수2
false,1072,게임
false,1111,IQ Test
false,1159,농구 경기
false,1256,사전
false,1328,고층 빌딩
false,1350,진짜 공간
false,1492,합
false,1644,소수의 연속합
false,1753,최단경로
false,1773,폭죽쇼
false,1806,부분합
false,1927,최소 힙
false,1939,중량제한
false,2004,조합 0의 개수
false,2011,암호코드
false,2038,골롱 수열
false,2096,내려가기
false,2098,외판원 순회
false,2108,통계학
