정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1052,물병
true,1068,트리
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1110,더하기 사이클
true,1114,통나무 자르기
true,1120,문자열
true,1126,같은 탑
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1184,귀농
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1240,노드사이의 거리
true,1246,온라인 판매
true,1251,단어 나누기
true,1260,DFS와 BFS
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1298,노트북의 주인을 찾아서
true,1301,비즈 공예
true,1309,동물원
true,1328,고층 빌딩
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1373,2진수 8진수
true,1415,사탕
true,1427,소트인사이드
true,1453,피시방 알바
true,1461,도서관
true,1463,1로 만들기
true,1484,다이어트
true,1495,기타리스트
true,1506,경찰서
true,1509,팰린드롬 분할
true,1517,버블 소트
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1550,16진수
true,1602,도망자 원숭이
true,1622,공통 순열
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1657,두부장수 장홍준
true,1671,상어의 저녁식사
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1735,분수 합
true,1753,최단경로
true,1758,알바생 강호
true,1759,암호 만들기
true,1760,N-Rook
true,1761,정점들의 거리
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1789,수들의 합
true,1793,타일링
true,1799,비숍
true,1806,부분합
true,1822,차집합
true,1854,K번째 최단경로 찾기
true,1865,웜홀
true,1867,돌멩이 제거
true,1871,좋은 자동차 번호판
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1941,소문난 칠공주
true,1949,우수 마을
true,1958,LCS 3
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2010,플러그
true,2042,구간 합 구하기
true,2059,작업 순서
true,2098,외판원 순회
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2157,여행
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2172,팰린드롬 경로
true,2176,합리적인 이동경로
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2213,트리의 독립집합
true,2225,합분해
true,2240,자두나무
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2306,유전자
true,2307,도로검문
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2342,Dance Dance Revolution
true,2357,최솟값과 최댓값
true,2358,평행선
true,2365,숫자판 만들기
true,2381,최대 거리
true,2414,게시판 구멍 막기
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2449,전구
true,2455,지능형 기차
true,2467,용액
true,2473,세 용액
true,2475,검증수
true,2481,해밍 경로
true,2482,색상환
true,2487,섞기 수열
true,2512,예산
true,2525,오븐 시계
true,2529,부등호
true,2531,회전 초밥
true,2532,먹이사슬
true,2536,버스 갈아타기
true,2548,대표 자연수
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2570,비숍2
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2644,촌수계산
true,2665,미로만들기
true,2666,벽장문의 이동
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2694,합이 같은 구간
true,2696,중앙값 구하기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2776,암기왕
true,2792,보석 상자
true,2805,나무 자르기
true,2806,DNA 발견
true,2817,ALPS식 투표
true,2820,자동차 공장
true,2824,최대공약수
true,2840,행운의 바퀴
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2904,수학은 너무 쉬워
true,2910,빈도 정렬
true,2916,자와 각도기
true,2947,나무 조각
true,2953,나는 요리사다
true,2986,파스칼
true,2995,생일
true,3046,R2
true,3066,브리징 시그널
true,3163,떨어지는 개미
true,3683,고양이와 개
true,3866,풍선 수집
true,3943,헤일스톤 수열
true,3944,나머지 계산
true,3986,좋은 단어
true,4013,ATM
true,4091,Balloons
true,4101,크냐?
true,4134,다음 소수
true,4307,개미
true,4311,Expanding Rods
true,4344,평균은 넘겠지
true,4716,풍선
true,4999,아!
true,5054,주차의 신
true,5063,TGN
true,5073,삼각형과 세 변
true,5086,배수와 약수
true,5211,가단조와 다장조
true,5214,환승
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5522,카드 게임
true,5523,경기 결과
true,5543,상근날드
true,5554,심부름 가는 길
true,5558,チーズ
true,5565,영수증
true,5598,카이사르 암호
true,5618,공약수
true,5622,다이얼
true,5623,수열의 합
true,5717,상근이의 친구들
true,5789,한다 안한다
true,6079,Checkers
true,6135,Cow Hurdles
true,6248,Bronze Cow Party
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6569,몬드리안의 꿈
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6850,Cows
true,7287,등록
true,7432,디스크 트리
true,7567,그릇
true,7569,토마토
true,7576,토마토
true,7696,반복하지 않는 수
true,8393,합
true,8462,배열의 힘
true,8895,막대 배치
true,8958,OX퀴즈
true,8980,택배
true,8986,전봇대
true,8992,집기 게임
true,9007,카누 선수
true,9009,피보나치
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9240,로버트 후드
true,9251,LCS
true,9252,LCS 2
true,9295,주사위
true,9316,Hello Judge
true,9325,얼마?
true,9421,소수상근수
true,9463,순열 그래프
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9518,로마 카톨릭 미사
true,9577,토렌트
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9665,GMO
true,9934,완전 이진 트리
true,9935,문자열 폭발
true,9996,한국이 그리울 땐 서버에 접속하지
true,9999,구구
true,10039,평균 점수
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10158,개미
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10178,할로윈의 사탕
true,10219,Meats On The Grill
true,10251,운전 면허 시험
true,10252,그리드 그래프
true,10360,The Mountain of Gold?
true,10361,Sequence
true,10362,Turtle Graphics
true,10371,Irrigation Lines
true,10430,나머지
true,10451,순열 사이클
true,10453,문자열 변환
true,10539,수빈이와 수열
true,10540,KLOPKA
true,10599,페르시아의 왕들
true,10610,30
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10768,특별한 날
true,10797,10부제
true,10799,쇠막대기
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10817,세 수
true,10820,문자열 분석
true,10821,정수의 개수
true,10830,행렬 제곱
true,10833,사과
true,10835,카드게임
true,10844,쉬운 계단 수
true,10866,덱
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10937,두부 모판 자르기
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10995,별 찍기 - 20
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11070,피타고라스 기댓값
true,11089,Circuit Counting
true,11111,두부장수 장홍준 2
true,11179,2진수 뒤집기
true,11279,최대 힙
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11404,플로이드
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11437,LCA
true,11438,LCA 2
true,11441,합 구하기
true,11493,동전 교환
true,11495,격자 0 만들기
true,11497,통나무 건너뛰기
true,11501,주식
true,11506,占쏙옙
true,11557,Yangjojang of The Year
true,11558,The Game of Death
true,11575,Affine Cipher
true,11576,Base Conversion
true,11578,팀원 모집
true,11580,Footprint
true,11581,구호물자
true,11582,치킨 TOP N
true,11583,인경호의 징검다리
true,11607,Grid
true,11652,카드
true,11670,초등 수학
true,11674,Identifying Map Tiles
true,11675,Jumbled Communication
true,11680,Dice Cup
true,11719,그대로 출력하기 2
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11735,정산소
true,11739,Easy Problemset
true,11766,Rings
true,11779,최소비용 구하기 2
true,11861,Maximal Area
true,11866,요세푸스 문제 0
true,11929,발렌타인 데이
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11945,뜨거운 붕어빵
true,11952,좀비
true,11973,Angry Cows (Silver)
true,11983,Radio Contact
true,12778,CTP공국으로 이민 가자
true,12779,상품 is 뭔들
true,12780,원피스
true,12781,PIZZA ALVOLOC
true,12782,비트 우정지수
true,12785,토쟁이의 등굣길
true,12786,INHA SUIT
true,12788,제 2회 IUPC는 잘 개최될 수 있을까?
true,12789,도키도키 간식드리미
true,12792,주작 주 주작
true,12796,나의 행렬곱셈 답사기
true,12833,XORXORXOR
true,12835,삼거리
true,12836,가계부 (Easy)
true,12840,창용이의 시계
true,12841,정보대 등산
true,12844,XOR
true,12845,모두의 마블
true,12846,무서운 아르바이트
true,12847,꿀 아르바이트
true,12849,본대 산책
true,13144,List of Unique Numbers
true,13147,Dwarves
true,13163,닉네임에 갓 붙이기
true,13202,피자 배치
true,13206,Professor KCM
true,13226,Divisors Again
true,13235,팰린드롬
true,13236,Collatz Conjecture
true,13237,Binary tree
true,13238,Bitcoin investment
true,13243,Non-decreasing subsegment
true,13265,색칠하기
true,13484,Tarifa
true,13717,포켓몬 GO
true,13718,Tavan
true,14753,MultiMax
false,1011,Fly me to the Alpha Centauri
false,1039,교환
false,1065,한수
false,1168,요세푸스 문제 2
false,1205,등수 구하기
false,1254,팰린드롬 만들기
false,1420,학교 가지마!
false,1475,방 번호
false,1624,데크 소트
false,1738,골목길
false,1764,듣보잡
false,1781,컵라면
false,1861,경로 찾기
false,1918,후위 표기식
false,1981,배열에서 이동
false,2011,암호코드
false,2014,소수의 곱
false,2024,선분 덮기
false,2206,벽 부수고 이동하기
false,2295,세 수의 합
false,2316,도시 왕복하기 2
false,2343,기타 레슨
false,2433,The Sound of Silence
false,2437,저울
false,2450,모양 정돈
false,2470,두 용액
false,2498,중앙문자열
false,2513,통학버스
false,2523,별 찍기 - 13
