정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1020,디지털 카운터
true,1026,보물
true,1028,다이아몬드 광산
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1063,킹
true,1068,트리
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1110,더하기 사이클
true,1126,같은 탑
true,1128,피보나치 냅색
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1168,요세푸스 문제 2
true,1170,선인장의 개수
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1275,커피숍2
true,1280,나무 심기
true,1289,트리의 가중치
true,1290,배럭
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1302,베스트셀러
true,1316,그룹 단어 체커
true,1322,X와 K
true,1337,올바른 배열
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1405,미친 로봇
true,1418,K-세준수
true,1427,소트인사이드
true,1463,1로 만들기
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1539,이진 검색 트리
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1550,16진수
true,1561,놀이 공원
true,1629,곱셈
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1717,집합의 표현
true,1720,타일 코드
true,1725,히스토그램
true,1731,추론
true,1735,분수 합
true,1744,수 묶기
true,1753,최단경로
true,1755,숫자놀이
true,1758,알바생 강호
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1850,최대공약수
true,1854,K번째 최단경로 찾기
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1946,신입 사원
true,1948,임계경로
true,1963,소수 경로
true,1966,프린터 큐
true,1969,DNA
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2022,사다리
true,2037,문자메시지
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2115,갤러리
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2225,합분해
true,2230,수 고르기
true,2233,사과나무
true,2237,수열 축소
true,2239,스도쿠
true,2243,사탕상자
true,2266,금고 테스트
true,2285,우체국
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2315,가로등 끄기
true,2320,끝말잇기
true,2336,굉장한 학생
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2381,최대 거리
true,2407,조합
true,2420,사파리월드
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2457,공주님의 정원
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2482,색상환
true,2490,윷놀이
true,2501,약수 구하기
true,2503,숫자 야구
true,2512,예산
true,2525,오븐 시계
true,2526,싸이클
true,2529,부등호
true,2530,인공지능 시계
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2569,짐정리
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2618,경찰차
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2655,가장높은탑쌓기
true,2661,좋은수열
true,2662,기업투자
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2693,N번째 큰 수
true,2695,공
true,2697,다음수 구하기
true,2698,인접한 비트의 개수
true,2699,격자점 컨벡스헐
true,2729,이진수 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2776,암기왕
true,2790,F7
true,2805,나무 자르기
true,2812,크게 만들기
true,2816,디지털 티비
true,2823,유턴 싫어
true,2831,댄스 파티
true,2839,설탕 배달
true,2855,흥미로운 수열
true,2869,달팽이는 올라가고 싶다
true,2892,심심한 준규
true,2897,몬스터 트럭
true,2905,홍준이와 울타리
true,2942,퍼거슨과 사과
true,2953,나는 요리사다
true,2986,파스칼
true,3019,테트리스
true,3020,개똥벌레
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3080,아름다운 이름
true,3163,떨어지는 개미
true,3226,전화 요금
true,3273,두 수의 합
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3665,최종 순위
true,3687,성냥개비
true,3758,KCPC
true,3826,스타일리시
true,3830,교수님은 기다리지 않는다
true,3933,라그랑주의 네 제곱수 정리
true,3986,좋은 단어
true,4030,포켓볼
true,4095,최대 정사각형
true,4195,친구 네트워크
true,4243,보안 업체
true,4256,트리
true,4370,곱셈 게임
true,4458,첫 글자를 대문자로
true,4461,뱀파이어 김상근 백작
true,4706,쌍둥이 역설
true,4716,풍선
true,4781,사탕 가게
true,4883,삼각 그래프
true,4889,안정적인 문자열
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4968,Equal Total Scores
true,4969,월요일-토요일
true,4999,아!
true,5014,스타트링크
true,5052,전화번호 목록
true,5054,주차의 신
true,5063,TGN
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5419,북서풍
true,5427,불
true,5430,AC
true,5431,책 쌓기
true,5525,IOIOI
true,5543,상근날드
true,5624,좋은 수
true,5631,방사능
true,5635,생일
true,5670,휴대폰 자판
true,5675,시침과 분침
true,5681,공 쌓기
true,5710,전기 요금
true,5721,사탕 줍기 대회
true,5724,파인만
true,5729,수축하는 다각형
true,5789,한다 안한다
true,5800,성적 통계
true,5883,아이폰 9S
true,5893,17배
true,5913,준규와 사과
true,6010,Music Notes
true,6064,카잉 달력
true,7287,등록
true,7469,K번째 수
true,7476,최대 공통 증가 수열
true,7481,ATM놀이
true,7483,Weird sort
true,7490,0 만들기
true,7567,그릇
true,7568,덩치
true,7570,줄 세우기
true,7571,점 모으기
true,7572,간지(干支)
true,7576,토마토
true,7578,공장
true,7662,이중 우선순위 큐
true,7774,콘센트
true,7881,YAPTCHA
true,8393,합
true,8875,장난감 정리 로봇
true,8958,OX퀴즈
true,9006,다리
true,9007,카누 선수
true,9009,피보나치
true,9010,Möbius Strip
true,9011,순서
true,9012,괄호
true,9015,정사각형
true,9020,골드바흐의 추측
true,9076,점수 집계
true,9080,PC방 요금
true,9085,더하기
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9177,단어 섞기
true,9196,정수 직사각형
true,9202,Boggle
true,9237,이장님 초대
true,9241,바이러스 복제
true,9242,폭탄 해체
true,9243,파일 완전 삭제
true,9251,LCS
true,9252,LCS 2
true,9318,위성 사진
true,9319,도청 장치
true,9322,철벽 보안 알고리즘
true,9324,진짜 메시지
true,9325,얼마?
true,9327,용량 확보
true,9328,열쇠
true,9331,Institute of Advanced Category Manipulation
true,9332,Digital Content Protection
true,9333,돈 갚기
true,9334,IQ 테스트
true,9335,소셜 광고
true,9339,마라토너
true,9342,염색체
true,9344,도로
true,9347,울타리
true,9359,서로소
true,9361,Manhattan Sort
true,9393,Genome Evolution
true,9427,Drop Zone
true,9428,Effective Infection Time
true,9431,Virology
true,9432,Worst Case Scenario
true,9433,Zombie Invasion
true,9434,Zombdar
true,9436,Round Robin
true,9437,사라진 페이지 찾기
true,9440,숫자 더하기
true,9442,Sort Me
true,9460,메탈
true,9461,파도반 수열
true,9463,순열 그래프
true,9465,스티커
true,9468,Islands in the Data Stream
true,9469,폰 노이만
true,9470,Strahler 순서
true,9471,피사노 주기
true,9489,사촌
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9505,엔터프라이즈호 탈출
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9512,Languages
true,9577,토렌트
true,9613,GCD 합
true,9637,The Stones Game
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9734,순환 소수
true,9736,정이면체군
true,9738,Sharkovski’s Ordering
true,9935,문자열 폭발
true,9996,한국이 그리울 땐 서버에 접속하지
true,10001,Hash
true,10039,평균 점수
true,10103,주사위 게임
true,10156,과자
true,10166,관중석
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10212,Mystery
true,10214,Baseball
true,10216,Count Circle Groups
true,10218,Maze
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10256,돌연변이
true,10258,스위치 배열
true,10263,Opening Ceremony
true,10273,고대 동굴 탐사
true,10275,골드 러시
true,10281,Choosing Ice Cream
true,10282,해킹
true,10284,Lift Problems
true,10286,Runway Planning
true,10290,Word Search
true,10423,전기가 부족해
true,10425,피보나치 인버스
true,10426,기념일 2
true,10427,빚
true,10430,나머지
true,10469,사이 나쁜 여왕들
true,10472,십자뒤집기
true,10473,인간 대포
true,10474,분수좋아해?
true,10477,경운기
true,10478,단위
true,10484,Erratic Ants
true,10485,Plotting Polynomials
true,10487,4 thought
true,10488,Biggest Slice
true,10489,Even Up Solitaire
true,10496,Loopy transit
true,10501,Ragged Right
true,10520,Cent Savings
true,10521,Digi Comp II
true,10523,직선 찾기
true,10527,Judging Troubles
true,10528,Knapsack Collection
true,10599,페르시아의 왕들
true,10604,Working Hours
true,10605,드래곤 죽이기
true,10610,30
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10787,Cutting Cheese
true,10797,10부제
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10812,바구니 순서 바꾸기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10822,더하기
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10881,프로도의 선물 포장
true,10883,분할
true,10943,랜덤 게임~
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10975,데크 소트 2
true,10976,피난
true,10977,음식 조합 세기
true,10978,기숙사 재배정
true,10979,가넷이나 버는게 낫지 않아요?
true,10981,HEADING TO WORLD FINALS
true,10982,행운쿠키 제작소
true,10984,내 학점을 구해줘
true,10985,사냥꾼
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11038,Entrance Examination
true,11039,Short Phrase
true,11047,동전 0
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11091,알파벳 전부 쓰기
true,11093,Secret Message
true,11094,꿍 가라사대
true,11098,첼시를 도와줘!
true,11100,Frogger
true,11101,꿍의 여친 만들기
true,11104,Fridge of Your Dreams
true,11105,Scorched Earth
true,11268,Bell Ringing
true,11269,Cryptographer’s Conundrum
true,11271,Entertainment Box
true,11272,Floppy Music
true,11399,ATM
