정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1026,보물
true,1027,고층 건물
true,1035,조각 움직이기
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1085,직사각형에서 탈출
true,1102,발전소
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1205,등수 구하기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1275,커피숍2
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1344,축구
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1398,동전 문제
true,1427,소트인사이드
true,1449,수리공 항승
true,1456,거의 소수
true,1463,1로 만들기
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1485,정사각형
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1546,평균
true,1562,계단 수
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1689,겹치는 선분
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1753,최단경로
true,1759,암호 만들기
true,1780,종이의 개수
true,1786,찾기
true,1806,부분합
true,1837,암호제작
true,1855,암호
true,1865,웜홀
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1947,선물 전달
true,1948,임계경로
true,1956,운동
true,1965,상자넣기
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,1996,지뢰 찾기
true,2003,수들의 합 2
true,2014,소수의 곱
true,2023,신기한 소수
true,2037,문자메시지
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2143,두 배열의 합
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2160,그림 비교
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2217,로프
true,2225,합분해
true,2229,조 짜기
true,2230,수 고르기
true,2231,분해합
true,2239,스도쿠
true,2252,줄 세우기
true,2263,트리의 순회
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2458,키 순서
true,2470,두 용액
true,2490,윷놀이
true,2504,괄호의 값
true,2512,예산
true,2517,달리기
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2596,비밀편지
true,2597,줄자접기
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2615,오목
true,2638,치즈
true,2641,다각형그리기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2823,유턴 싫어
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2848,알고스팟어
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,3020,개똥벌레
true,3052,나머지
true,3090,차이를 최소로
true,3190,뱀
true,3649,로봇 프로젝트
true,3745,오름세
true,3758,KCPC
true,3830,교수님은 기다리지 않는다
true,3896,소수 사이 수열
true,4344,평균은 넘겠지
true,4375,1
true,4485,녹색 옷 입은 애가 젤다지?
true,4606,The Seven Percent Solution
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,5419,북서풍
true,5543,상근날드
true,5557,1학년
true,5568,카드 놓기
true,5569,출근 경로
true,5573,산책
true,5582,공통 부분 문자열
true,5612,터널의 입구와 출구
true,5622,다이얼
true,5671,호텔 방 번호
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6181,플러드 필 (Flood Fill)
true,6236,용돈 관리
true,6439,교차
true,6497,전력난
true,6543,그래프의 싱크
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7432,디스크 트리
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7576,토마토
true,7578,공장
true,7579,앱
true,7662,이중 우선순위 큐
true,8393,합
true,8958,OX퀴즈
true,8980,택배
true,9007,카누 선수
true,9009,피보나치
true,9011,순서
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9226,도깨비말
true,9252,LCS 2
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9613,GCD 합
true,10039,평균 점수
true,10159,저울
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10253,헨리
true,10282,해킹
true,10430,나머지
true,10597,순열장난
true,10610,30
true,10709,기상캐스터
true,10718,We love kriii
true,10774,저지
true,10775,공항
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10840,구간 성분
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11021,A+B - 7
true,11022,A+B - 8
true,11038,Entrance Examination
true,11039,Short Phrase
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11062,카드 게임
true,11066,파일 합치기
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11097,도시 계획
true,11266,단절점
true,11279,최대 힙
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11478,서로 다른 부분 문자열의 개수
true,11505,구간 곱 구하기
true,11540,Competition
true,11544,D as in Daedalus
true,11548,Height map
true,11549,Identifying tea
true,11562,백양로 브레이크
true,11575,Affine Cipher
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11779,최소비용 구하기 2
true,11812,K진 트리
true,11964,Fruit Feast
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12755,수면 장애
true,12759,틱! 택! 토!
true,12761,돌다리
true,12762,롤러코스터
true,12763,지각하면 안 돼
true,12764,싸지방에 간 준하
true,12778,CTP공국으로 이민 가자
true,12837,가계부 (Hard)
true,12845,모두의 마블
true,12865,평범한 배낭
true,13059,Tourists
true,13168,내일로 여행
true,13251,조약돌 꺼내기
true,13325,이진 트리
true,13328,Message Passing
true,13330,유사 팰린드롬
true,13333,Q-인덱스
true,13335,트럭
true,13377,Dictionary
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13904,과제
true,13913,숨바꼭질 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14452,Cow Dance Show
true,14453,"Hoof, Paper, Scissors (Silver)"
true,14455,Don't Be Last!
true,14456,"Hoof, Paper, Scissors (Bronze)"
true,14457,Cow Tipping
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14610,좋은 대회
true,14612,김식당
true,14614,Calculate!
true,14615,Defend the CTP!!!
true,14616,Explore space
true,14619,섬 여행
true,14620,꽃길
true,14621,나만 안되는 연애
true,14622,소수 게임
true,14623,감정이입
true,14625,냉동식품
true,14626,ISBN
true,14627,파닭파닭
true,14629,숫자 조각
true,14710,고장난 시계
true,14746,Closest Pair
true,14753,MultiMax
true,14754,Pizza Boxes
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14953,Game Map
true,14954,Happy Number
true,15317,동방 보수
true,15318,새로운 수열
true,15319,동혁이의 생일선물
true,15321,이상한 토너먼트
true,15462,The Bovine Shuffle
true,15463,Blocked Billboard
true,15552,빠른 A+B
true,15586,MooTube (Gold)
true,15591,MooTube (Silver)
true,15594,Out of Place
true,15596,정수 N개의 합
true,15685,드래곤 커브
true,15686,치킨 배달
true,15707,exceed or not
true,15725,다항함수의 미분
true,15726,이칙연산
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15728,에리 - 카드
true,15729,방탈출
true,15730,수영장 사장님
true,15732,도토리 숨기기
true,15747,Taming the Herd
true,15748,Rest Stops
true,15751,Teleportation
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15802,타노스
true,15809,전국시대
true,15810,풍선 공장
true,15811,복면산?!
true,15812,침략자 진아
true,15815,천재 수학자 성필
true,15817,배수 공사
true,15820,맞았는데 왜 틀리죠?
true,15894,수학은 체육과목 입니다
true,15903,카드 합체 놀이
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,15954,인형들
true,15956,숏코딩
true,15988,"1, 2, 3 더하기 3"
true,16139,인간-컴퓨터 상호작용
true,16168,퍼레이드
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16282,Black Chain
true,16286,Panokseon
true,16288,Passport Control
true,16360,Go Latin
true,16361,LED
true,16367,TV Show Game
true,16434,드래곤 앤 던전
true,16437,양 구출 작전
true,16522,Building a Field
true,16523,Cheap Trips
true,16647,"Happy Birthday, kipa00!"
true,17071,숨바꼭질 5
true,17073,나무 위의 빗물
true,17135,캐슬 디펜스
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17210,문문문
true,17224,APC는 왜 서브태스크 대회가 되었을까?
true,17225,세훈이의 선물가게
true,17244,아맞다우산
true,17352,여러분의 다리가 되어 드리겠습니다!
true,17365,별다줄
true,17371,이사
true,17374,비트베리
true,17383,옥토끼는 통신교육을 풀어라!!
true,17389,보너스 점수
true,17390,이건 꼭 풀어야 해!
true,17391,무한부스터
true,17392,우울한 방학
true,17393,다이나믹 롤러
true,17394,핑거 스냅
true,17509,And the Winner Is... Ourselves!
true,17528,Two Machines
true,17838,커맨드
true,17968,Fire on Field
true,17976,Thread Knots
