정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1018,체스판 다시 칠하기
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1039,교환
true,1049,기타줄
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1094,막대기
true,1149,RGB거리
true,1152,단어의 개수
true,1181,단어 정렬
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1208,부분수열의 합 2
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1244,스위치 켜고 끄기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1331,나이트 투어
true,1342,행운의 문자열
true,1365,꼬인 전깃줄
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1411,비슷한 단어
true,1431,시리얼 번호
true,1449,수리공 항승
true,1450,냅색문제
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1484,다이어트
true,1485,정사각형
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1547,공
true,1568,새
true,1620,나는야 포켓몬 마스터 이다솜
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1783,병든 나이트
true,1806,부분합
true,1904,01타일
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1944,복제 로봇
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2014,소수의 곱
true,2022,사다리
true,2038,골롱 수열
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2133,타일 채우기
true,2156,포도주 시식
true,2157,여행
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2212,센서
true,2213,트리의 독립집합
true,2217,로프
true,2230,수 고르기
true,2231,분해합
true,2251,물통
true,2268,수들의 합
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2437,저울
true,2449,전구
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2460,지능형 기차 2
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2478,자물쇠
true,2479,경로 찾기
true,2480,주사위 세개
true,2487,섞기 수열
true,2490,윷놀이
true,2491,수열
true,2493,탑
true,2494,숫자 맞추기
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2511,카드놀이
true,2512,예산
true,2525,오븐 시계
true,2526,싸이클
true,2529,부등호
true,2531,회전 초밥
true,2535,아시아 정보올림피아드
true,2539,모자이크
true,2555,생일 출력하기
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2591,숫자카드
true,2592,대표값
true,2606,바이러스
true,2615,오목
true,2622,삼각형만들기
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2688,줄어들지 않아
true,2696,중앙값 구하기
true,2731,1379와 세제곱
true,2747,피보나치 수
true,2750,수 정렬하기
true,2783,삼각 김밥
true,2792,보석 상자
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2828,사과 담기 게임
true,2836,수상 택시
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2863,이게 분수?
true,2866,문자열 잘라내기
true,2869,달팽이는 올라가고 싶다
true,2871,아름다운 단어
true,2872,우리집엔 도서관이 있어
true,2875,대회 or 인턴
true,2878,캔디캔디
true,2891,카약과 강풍
true,2904,수학은 너무 쉬워
true,2908,상수
true,2909,캔디 구매
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2942,퍼거슨과 사과
true,2948,2009년
true,2953,나는 요리사다
true,2954,창영이의 일기장
true,2961,도영이가 만든 맛있는 음식
true,2966,찍기
true,2979,트럭 주차
true,2980,도로와 신호등
true,2985,세 수
true,2992,크면서 작은 수
true,3000,직각 삼각형
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3035,스캐너
true,3040,백설 공주와 일곱 난쟁이
true,3041,N-퍼즐
true,3047,ABC
true,3052,나머지
true,3055,탈출
true,3078,좋은 친구
true,3085,사탕 게임
true,3176,도로 네트워크
true,3392,화성 지도
true,3908,서로 다른 소수의 합
true,3985,롤 케이크
true,3986,좋은 단어
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4796,캠핑
true,4963,섬의 개수
true,5014,스타트링크
true,5397,키로거
true,5532,방학 숙제
true,5533,유니크
true,5565,영수증
true,5567,결혼식
true,5585,거스름돈
true,5588,별자리 찾기
true,5618,공약수
true,5624,좋은 수
true,5639,이진 검색 트리
true,5912,Haybale Stacking
true,6118,숨바꼭질
true,6236,용돈 관리
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6988,타일 밟기
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7573,고기잡이
true,8320,직사각형을 만드는 방법
true,8979,올림픽
true,8982,수족관 1
true,8983,사냥꾼
true,9012,괄호
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9461,파도반 수열
true,9465,스티커
true,9663,N-Queen
true,9881,Ski Course Design
true,9933,민균이의 비밀번호
true,9997,폰트
true,9998,블록 쌓기
true,10026,적록색약
true,10039,평균 점수
true,10156,과자
true,10157,자리배정
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10448,유레카 이론
true,10546,배부른 마라토너
true,10610,30
true,10797,10부제
true,10798,세로읽기
true,10801,카드게임
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10950,A+B - 3
true,10974,모든 순열
true,10981,HEADING TO WORLD FINALS
true,10986,나머지 합
true,10998,A×B
true,11000,강의실 배정
true,11047,동전 0
true,11048,이동하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11279,최대 힙
true,11375,열혈강호
true,11399,ATM
true,11403,경로 찾기
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11509,풍선 맞추기
true,11650,좌표 정렬하기
true,11660,구간 합 구하기 5
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11812,K진 트리
true,11874,ZAMKA
true,11948,과목선택
true,11967,불켜기
true,11969,Breed Counting
true,12005,Diamond Collector (Bronze)
true,12007,Field Reduction (Bronze)
true,12015,가장 긴 증가하는 부분 수열 2
true,12738,가장 긴 증가하는 부분 수열 3
true,12865,평범한 배낭
true,13164,행복 유치원
true,13274,수열
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13303,장애물 경기
true,13304,방 배정
true,13308,주유소
true,13904,과제
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14174,Block Game
true,14453,"Hoof, Paper, Scissors (Silver)"
true,14456,"Hoof, Paper, Scissors (Bronze)"
true,14457,Cow Tipping
true,14465,소가 길을 건너간 이유 5
true,14466,소가 길을 건너간 이유 6
true,14468,소가 길을 건너간 이유 2
true,14469,소가 길을 건너간 이유 3
true,14470,전자레인지
true,14471,포인트 카드
true,14527,Paired Up
true,14532,Modern Art (Bronze)
true,14696,딱지놀이
true,14697,방 배정하기
true,14863,서울에서 경산까지
true,14864,줄서기
true,14889,스타트와 링크
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15751,Teleportation
true,15900,나무 탈출
true,15969,행복
true,15970,화살표 그리기
true,15971,두 로봇
true,15972,물탱크
true,16139,인간-컴퓨터 상호작용
true,16437,양 구출 작전
true,16563,어려운 소인수분해
true,17025,Icy Perimeter
true,17026,Mountain View
true,17028,Sleepy Cow Sorting
true,17029,Guess the Animal
true,17039,Sleepy Cow Herding (Bronze)
true,17610,양팔저울
true,17611,직각다각형
true,18247,겨울왕국 티켓 예매
false,1002,터렛
false,1068,트리
false,1182,부분수열의 합
false,1253,좋다
false,1655,가운데를 말해요
false,1949,우수 마을
false,1987,알파벳
false,2179,비슷한 단어
false,2643,색종이 올려 놓기
false,2662,기업투자
false,2936,채식주의자
false,5972,택배 배송
false,6209,제자리 멀리뛰기
false,7570,줄 세우기
false,9999,구구
false,11561,징검다리
false,11995,Fenced In (Gold)
false,13265,색칠하기
false,14411,합집합
false,14464,소가 길을 건너간 이유 4
false,15592,Blocked Billboard II
false,15764,Milking Order
false,15891,스타트링크 사무실을 파헤쳐보자
false,16561,3의 배수
false,16562,친구비
false,17615,볼 모으기
