정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1041,주사위
true,1049,기타줄
true,1051,숫자 정사각형
true,1058,친구
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1085,직사각형에서 탈출
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1173,운동
true,1174,줄어드는 숫자
true,1175,배달
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1213,팰린드롬 만들기
true,1238,파티
true,1248,맞춰봐
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1303,전쟁 - 전투
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1347,미로 만들기
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1451,직사각형으로 나누기
true,1456,거의 소수
true,1463,1로 만들기
true,1475,방 번호
true,1484,다이어트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1527,금민수의 개수
true,1535,안녕
true,1546,평균
true,1551,수열의 변화
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1722,순열의 순서
true,1726,로봇
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1766,문제집
true,1781,컵라면
true,1799,비숍
true,1806,부분합
true,1821,수들의 합
true,1865,웜홀
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1948,임계경로
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1986,체스
true,1987,알파벳
true,2001,보석 줍기
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2023,신기한 소수
true,2026,소풍
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2161,카드1
true,2164,카드2
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2225,합분해
true,2230,수 고르기
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2251,물통
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2412,암벽 등반
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2469,사다리 타기
true,2477,참외밭
true,2480,주사위 세개
true,2485,가로수
true,2491,수열
true,2493,탑
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2512,예산
true,2529,부등호
true,2531,회전 초밥
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2573,빙산
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2594,놀이공원
true,2606,바이러스
true,2610,회의준비
true,2623,음악프로그램
true,2630,색종이 만들기
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2641,다각형그리기
true,2644,촌수계산
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2841,외계인의 기타 연주
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2852,NBA 농구
true,2858,기숙사 바닥
true,2887,행성 터널
true,2916,자와 각도기
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2966,찍기
true,2980,도로와 신호등
true,3048,개미
true,3052,나머지
true,3055,탈출
true,3078,좋은 친구
true,3085,사탕 게임
true,3108,로고
true,3109,빵집
true,3117,YouTube
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3671,산업 스파이의 편지
true,3678,카탄의 개척자
true,3709,레이저빔은 어디로
true,3896,소수 사이 수열
true,3980,선발 명단
true,3987,보이저 1호
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4577,소코반
true,4672,Don't Get Rooked
true,4673,셀프 넘버
true,4677,Oil Deposits
true,4920,테트리스 게임
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5022,연결
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5549,행성 탐사
true,5556,타일
true,5566,주사위 게임
true,5567,결혼식
true,5719,거의 최단 경로
true,6087,레이저 통신
true,6118,숨바꼭질
true,6236,용돈 관리
true,6356,Robot
true,6497,전력난
true,6568,귀도 반 로썸은 크리스마스날 심심하다고 파이썬을 만들었다
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,7682,틱택토
true,8393,합
true,8896,가위 바위 보
true,8911,거북이
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9547,대통령 선거
true,9663,N-Queen
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10163,색종이
true,10164,격자상의 경로
true,10172,개
true,10173,니모를 찾아서
true,10211,Maximum Subarray
true,10429,QUENTO
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10552,DOM
true,10709,기상캐스터
true,10711,모래성
true,10718,We love kriii
true,10775,공항
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10824,네 수
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10950,A+B - 3
true,10951,A+B - 4
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10986,나머지 합
true,10989,수 정렬하기 3
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11085,군사 이동
true,11123,양 한마리... 양 두마리...
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11451,팩맨
true,11559,Puyo Puyo
true,11562,백양로 브레이크
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11779,최소비용 구하기 2
true,12100,2048 (Easy)
true,12761,돌다리
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12886,돌 그룹
true,13133,Aurora Princess
true,13422,도둑
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13565,침투
true,13901,로봇
true,13913,숨바꼭질 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14235,크리스마스 선물
true,14391,종이 조각
true,14442,벽 부수고 이동하기 2
true,14494,다이나믹이 뭐예요?
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14620,꽃길
true,14677,병약한 윤호
true,14716,현수막
true,14719,빗물
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14923,미로 탈출
true,14940,쉬운 최단거리
true,15240,Paint bucket
true,15422,Bumped!
true,15552,빠른 A+B
true,15558,점프 게임
true,15559,내 선물을 받아줘
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15661,링크와 스타트
true,15662,톱니바퀴 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15732,도토리 숨기기
true,15812,침략자 진아
true,15989,"1, 2, 3 더하기 4"
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16212,정열적인 정렬
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16430,제리와 톰
true,16431,베시와 데이지
true,16433,주디와 당근농장
true,16434,드래곤 앤 던전
true,16435,스네이크버드
true,16439,치킨치킨치킨
true,16441,아기돼지와 늑대
true,16507,어두운 건 무서워
true,16509,장군
true,16562,친구비
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16724,피리 부는 사나이
true,16918,봄버맨
true,16919,봄버맨 2
true,16920,확장 게임
true,16926,배열 돌리기 1
true,16928,뱀과 사다리 게임
true,16929,Two Dots
true,16932,모양 만들기
true,16933,벽 부수고 이동하기 3
true,16938,캠프 준비
true,16939,2×2×2 큐브
true,16940,BFS 스페셜 저지
true,16945,매직 스퀘어로 변경하기
true,16946,벽 부수고 이동하기 4
true,16948,데스 나이트
true,16954,움직이는 미로 탈출
true,16973,직사각형 탈출
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17086,아기 상어 2
true,17088,등차수열 변환
true,17090,미로 탈출하기
true,17127,벚꽃이 정보섬에 피어난 이유
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
