정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1005,ACM Craft
true,1008,A/B
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1023,괄호 문자열
true,1024,수열의 합
true,1026,보물
true,1029,그림 교환
true,1037,약수
true,1064,평행사변형
true,1065,한수
true,1072,게임
true,1074,Z
true,1080,행렬
true,1085,직사각형에서 탈출
true,1086,박성원
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1126,같은 탑
true,1149,RGB거리
true,1152,단어의 개수
true,1159,농구 경기
true,1162,도로포장
true,1175,배달
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1201,NMK
true,1208,부분수열의 합 2
true,1234,크리스마스 트리
true,1238,파티
true,1242,소풍
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1280,나무 심기
true,1285,동전 뒤집기
true,1292,쉽게 푸는 문제
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1301,비즈 공예
true,1305,광고
true,1315,RPG
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1333,부재중 전화
true,1344,축구
true,1351,무한 수열
true,1354,무한 수열 2
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1476,날짜 계산
true,1485,정사각형
true,1495,기타리스트
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1506,경찰서
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1514,자물쇠
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1523,종점
true,1525,퍼즐
true,1527,금민수의 개수
true,1528,금민수의 합
true,1541,잃어버린 괄호
true,1561,놀이 공원
true,1562,계단 수
true,1581,락스타 락동호
true,1585,경찰
true,1592,영식이와 친구들
true,1613,역사
true,1629,곱셈
true,1633,최고의 팀 만들기
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1657,두부장수 장홍준
true,1658,돼지 잡기
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1727,커플 만들기
true,1733,등번호
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1750,서로소의 개수
true,1753,최단경로
true,1755,숫자놀이
true,1759,암호 만들기
true,1760,N-Rook
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1799,비숍
true,1806,부분합
true,1826,연료 채우기
true,1849,순열
true,1854,K번째 최단경로 찾기
true,1866,택배
true,1867,돌멩이 제거
true,1890,점프
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1947,선물 전달
true,1948,임계경로
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1983,숫자 박스
true,1992,쿼드트리
true,1994,등차수열
true,2001,보석 줍기
true,2003,수들의 합 2
true,2011,암호코드
true,2022,사다리
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2066,카드놀이
true,2092,집합의 개수
true,2098,외판원 순회
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2157,여행
true,2159,케익 배달
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2186,문자판
true,2188,축사 배정
true,2193,이친수
true,2207,가위바위보
true,2213,트리의 독립집합
true,2216,문자열과 점수
true,2218,상자 안의 구슬
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2243,사탕상자
true,2251,물통
true,2252,줄 세우기
true,2257,화학식량
true,2261,가장 가까운 두 점
true,2262,토너먼트 만들기
true,2281,데스노트
true,2291,Sequence
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2311,왕복 여행
true,2315,가로등 끄기
true,2316,도시 왕복하기 2
true,2336,굉장한 학생
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2365,숫자판 만들기
true,2414,게시판 구멍 막기
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2480,주사위 세개
true,2482,색상환
true,2490,윷놀이
true,2494,숫자 맞추기
true,2507,공주 구하기
true,2512,예산
true,2518,회전 테이블
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2563,색종이
true,2568,전깃줄 - 2
true,2570,비숍2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2588,곱셈
true,2602,돌다리 건너기
true,2606,바이러스
true,2616,소형기관차
true,2618,경찰차
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2632,피자판매
true,2661,좋은수열
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2672,여러 직사각형의 전체 면적 구하기
true,2675,문자열 반복
true,2691,UPC 바코드 읽기
true,2698,인접한 비트의 개수
true,2705,팰린드롬 파티션
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2758,로또
true,2783,삼각 김밥
true,2787,흔한 수열 문제
true,2792,보석 상자
true,2798,블랙잭
true,2805,나무 자르기
true,2806,DNA 발견
true,2822,점수 계산
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2912,백설공주와 난쟁이
true,2914,저작권
true,2921,도미노
true,2922,즐거운 단어
true,2934,LRH 식물
true,2935,소음
true,2957,이진 탐색 트리
true,2958,도로 네트워크
true,2960,에라토스테네스의 체
true,2979,트럭 주차
true,2994,내한 공연
true,3006,터보소트
true,3012,올바른 괄호 문자열
true,3015,오아시스 재결합
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3034,앵그리 창영
true,3037,혼란
true,3046,R2
true,3053,택시 기하학
true,3055,탈출
true,3056,007
true,3057,디버그
true,3066,브리징 시그널
true,3085,사탕 게임
true,3108,로고
true,3111,검열
true,3114,사과와 바나나
true,3176,도로 네트워크
true,3640,제독
true,3644,그래프 매칭
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3682,동치 증명
true,3747,완벽한 선거!
true,3789,Hidden Password
true,3852,생산 공정
true,3948,홍준이의 친위대
true,3955,캔디 분배
true,3980,선발 명단
true,4008,특공대
true,4013,ATM
true,4101,크냐?
true,4153,직각삼각형
true,4195,친구 네트워크
true,4196,도미노
true,4354,문자열 제곱
true,4673,셀프 넘버
true,4716,풍선
true,4948,베르트랑 공준
true,5012,불만 정렬
true,5014,스타트링크
true,5015,ls
true,5032,탄산 음료
true,5052,전화번호 목록
true,5060,무글 맵스
true,5063,TGN
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5355,화성 수학
true,5398,틀렸습니다
true,5419,북서풍
true,5427,불
true,5475,Miners
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5618,공약수
true,5620,가장 가까운 두 점의 거리
true,5626,제단
true,5639,이진 검색 트리
true,5651,완전 중요한 간선
true,5676,음주 코딩
true,5704,팬그램
true,5768,Divide and Conquer
true,6064,카잉 달력
true,6118,숨바꼭질
true,6236,용돈 관리
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6986,절사평균
true,6987,월드컵
true,6988,타일 밟기
true,7057,A highway and the seven dwarfs
true,7453,합이 0인 네 정수
true,7469,K번째 수
true,7576,토마토
true,7578,공장
true,7579,앱
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8393,합
true,8394,악수
true,8890,Critical 3-Path
true,8958,OX퀴즈
true,8979,올림픽
true,8983,사냥꾼
true,8984,막대기
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9202,Boggle
true,9240,로버트 후드
true,9244,핀볼
true,9248,Suffix Array
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9327,용량 확보
true,9368,매수
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9472,알고리즘 기말고사
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9520,NP-hard
true,9596,바이너리 트리
true,9646,다이어그램과 태블로
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9935,문자열 폭발
true,9936,체스로 도미노를 타자
true,9946,단어 퍼즐
true,9985,Missing Piece 2001
true,10039,평균 점수
true,10156,과자
true,10159,저울
true,10160,암호
true,10164,격자상의 경로
true,10167,금광
true,10254,고속도로
true,10256,돌연변이
true,10266,시계 사진들
true,10272,현상금 사냥꾼 김정은
true,10282,해킹
true,10430,나머지
true,10531,Golf Bot
true,10564,팔굽혀펴기
true,10571,다이아몬드
true,10610,30
true,10707,수도요금
true,10797,10부제
true,10798,세로읽기
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10822,더하기
true,10824,네 수
true,10828,스택
true,10829,이진수 변환
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10935,BASE64 인코딩
true,10936,BASE64 디코딩
true,10942,팰린드롬?
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10986,나머지 합
true,10998,A×B
true,10999,구간 합 구하기 2
true,11001,김치
true,11003,최솟값 찾기
true,11012,Egg
true,11023,더하기 3
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11097,도시 계획
true,11266,단절점
true,11277,2-SAT - 1
true,11278,2-SAT - 2
true,11279,최대 힙
true,11280,2-SAT - 3
true,11281,2-SAT - 4
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11400,단절선
true,11401,이항 계수 3
true,11403,경로 찾기
true,11405,책 구매하기
true,11406,책 구매하기 2
true,11407,책 구매하기 3
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11437,LCA
true,11438,LCA 2
true,11442,홀수번째 피보나치 수의 합
true,11443,짝수번째 피보나치 수의 합
true,11444,피보나치 수 6
true,11478,서로 다른 부분 문자열의 개수
true,11479,서로 다른 부분 문자열의 개수 2
true,11570,환상의 듀엣
true,11585,속타는 저녁 메뉴
true,11650,좌표 정렬하기
true,11654,아스키 코드
true,11656,접미사 배열
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11723,집합
true,11724,연결 요소의 개수
