정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1029,그림 교환
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1081,합
true,1085,직사각형에서 탈출
true,1094,막대기
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1120,문자열
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1182,부분수열의 합
true,1188,음식 평론가
true,1193,분수찾기
true,1222,홍준 프로그래밍 대회
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1267,핸드폰 요금
true,1268,임시 반장 정하기
true,1297,TV 크기
true,1309,동물원
true,1316,그룹 단어 체커
true,1328,고층 빌딩
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1344,축구
true,1350,진짜 공간
true,1351,무한 수열
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1413,박스 안의 열쇠
true,1427,소트인사이드
true,1436,영화감독 숌
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1562,계단 수
true,1563,개근상
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1660,캡틴 이다솜
true,1670,정상 회담 2
true,1672,DNA 해독
true,1699,제곱수의 합
true,1712,손익분기점
true,1713,후보 추천하기
true,1720,타일 코드
true,1722,순열의 순서
true,1748,수 이어 쓰기 1
true,1756,피자 굽기
true,1764,듣보잡
true,1773,폭죽쇼
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1793,타일링
true,1834,나머지와 몫이 같은 수
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1919,애너그램 만들기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1940,주몽
true,1946,신입 사원
true,1947,선물 전달
true,1958,LCS 3
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1992,쿼드트리
true,2002,추월
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2033,반올림
true,2037,문자메시지
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2136,개미
true,2138,전구와 스위치
true,2140,지뢰찾기
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2193,이친수
true,2201,이친수 찾기
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2246,콘도 선정
true,2281,데스노트
true,2290,LCD Test
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2355,시그마
true,2407,조합
true,2410,2의 멱수의 합
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2449,전구
true,2450,모양 정돈
true,2451,모둠
true,2455,지능형 기차
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2482,색상환
true,2490,윷놀이
true,2511,카드놀이
true,2512,예산
true,2513,통학버스
true,2514,자동분무기
true,2515,전시장
true,2523,별 찍기 - 13
true,2539,모자이크
true,2548,대표 자연수
true,2550,전구
true,2551,두 대표 자연수
true,2557,Hello World
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2588,곱셈
true,2596,비밀편지
true,2597,줄자접기
true,2602,돌다리 건너기
true,2615,오목
true,2616,소형기관차
true,2618,경찰차
true,2621,카드게임
true,2622,삼각형만들기
true,2624,동전 바꿔주기
true,2628,종이자르기
true,2629,양팔저울
true,2631,줄세우기
true,2635,수 이어가기
true,2641,다각형그리기
true,2643,색종이 올려 놓기
true,2659,십자카드 문제
true,2662,기업투자
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2790,F7
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2810,컵홀더
true,2819,상근이의 로봇
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2875,대회 or 인턴
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2909,캔디 구매
true,2914,저작권
true,2916,자와 각도기
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2985,세 수
true,2986,파스칼
true,2997,네 번째 수
true,3005,크로스워드 퍼즐 쳐다보기
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3028,창영마을
true,3029,경고
true,3033,가장 긴 문자열
true,3034,앵그리 창영
true,3035,스캐너
true,3036,링
true,3037,혼란
true,3040,백설 공주와 일곱 난쟁이
true,3041,N-퍼즐
true,3046,R2
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3056,007
true,3067,Coins
true,3076,상근이의 체스판
true,3101,토끼의 이동
true,3460,이진수
true,3474,교수가 된 현우
true,3486,Adding Reversed Numbers
true,3687,성냥개비
true,3908,서로 다른 소수의 합
true,3933,라그랑주의 네 제곱수 정리
true,3943,헤일스톤 수열
true,4153,직각삼각형
true,4172,sqrt log sin
true,4243,보안 업체
true,4246,To and Fro
true,4344,평균은 넘겠지
true,4504,배수 찾기
true,4641,Doubles
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4781,사탕 가게
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,5032,탄산 음료
true,5046,전국 대학생 프로그래밍 대회 동아리 연합
true,5063,TGN
true,5212,지구 온난화
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5549,행성 탐사
true,5554,심부름 가는 길
true,5556,타일
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5568,카드 놓기
true,5575,타임 카드
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5612,터널의 입구와 출구
true,5618,공약수
true,5622,다이얼
true,5624,좋은 수
true,5766,할아버지는 유명해!
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6376,e 계산
true,6378,디지털 루트
true,6581,HTML
true,6588,골드바흐의 추측
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6986,절사평균
true,6987,월드컵
true,6988,타일 밟기
true,7568,덩치
true,7579,앱
true,8320,직사각형을 만드는 방법
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8980,택배
true,8981,입력숫자
true,8982,수족관 1
true,8983,사냥꾼
true,8984,막대기
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9324,진짜 메시지
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9519,졸려
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9764,서로 다른 자연수의 합
true,9971,The Hardest Problem Ever
true,10039,평균 점수
true,10040,투표
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10409,서버
true,10430,나머지
true,10527,Judging Troubles
true,10539,수빈이와 수열
true,10540,KLOPKA
true,10551,STROJOPIS
true,10569,다면체
true,10610,30
true,10643,FUNGHI
true,10707,수도요금
true,10708,크리스마스 파티
true,10709,기상캐스터
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10809,알파벳 찾기
true,10817,세 수
true,10818,"최소, 최대"
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10844,쉬운 계단 수
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10984,내 학점을 구해줘
true,10996,별 찍기 - 21
true,10998,A×B
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11399,ATM
true,11568,민균이의 계략
true,11654,아스키 코드
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11772,POT
true,12790,Mini Fantasy War
true,12791,Starman
true,13300,방 배정
true,13301,타일 장식물
true,13302,리조트
true,13304,방 배정
true,13305,주유소
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14681,사분면 고르기
true,14696,딱지놀이
true,14697,방 배정하기
true,14863,서울에서 경산까지
true,14864,줄서기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15953,상금 헌터
true,15954,인형들
true,15955,부스터
true,15969,행복
true,15970,화살표 그리기
true,15971,두 로봇
true,15973,두 박스
true,15975,화살표 그리기
true,15976,XCorr
true,16637,괄호 추가하기
true,17070,파이프 옮기기 1
true,17608,막대기
true,17609,회문
true,17610,양팔저울
true,17614,369
true,17615,볼 모으기
true,17618,신기한 수
true,17838,커맨드
false,1280,나무 심기
false,1514,자물쇠
false,1528,금민수의 합
false,2338,긴자리 계산
false,2452,그리드 게임
false,2575,수열
false,11735,정산소
false,17613,점프
