정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1019,책 페이지
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1030,프렉탈 평면
true,1031,스타 대결
true,1035,조각 움직이기
true,1036,36진수
true,1039,교환
true,1043,거짓말
true,1062,가르침
true,1068,트리
true,1074,Z
true,1079,마피아
true,1080,행렬
true,1102,발전소
true,1107,리모컨
true,1113,수영장 만들기
true,1114,통나무 자르기
true,1126,같은 탑
true,1149,RGB거리
true,1158,요세푸스 문제
true,1162,도로포장
true,1175,배달
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1222,홍준 프로그래밍 대회
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1240,노드사이의 거리
true,1248,맞춰봐
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1280,나무 심기
true,1285,동전 뒤집기
true,1300,K번째 수
true,1309,동물원
true,1315,RPG
true,1322,X와 K
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1400,화물차
true,1405,미친 로봇
true,1427,소트인사이드
true,1445,일요일 아침의 데이트
true,1450,냅색문제
true,1463,1로 만들기
true,1473,미로 탈출
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1543,문서 검색
true,1546,평균
true,1557,제곱 ㄴㄴ
true,1559,놀라운 미로
true,1561,놀이 공원
true,1562,계단 수
true,1563,개근상
true,1572,중앙값
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1626,두 번째로 작은 스패닝 트리
true,1637,날카로운 눈
true,1647,도시 분할 계획
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1719,택배
true,1720,타일 코드
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1765,닭싸움 팀 정하기
true,1766,문제집
true,1767,N-Rook II
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1799,비숍
true,1806,부분합
true,1828,세금
true,1854,K번째 최단경로 찾기
true,1874,스택 수열
true,1901,논리식
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1917,정육면체 전개도
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,2001,보석 줍기
true,2002,추월
true,2003,수들의 합 2
true,2011,암호코드
true,2021,최소 환승 경로
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2099,The game of death
true,2109,순회강연
true,2110,공유기 설치
true,2132,나무 위의 벌레
true,2138,전구와 스위치
true,2140,지뢰찾기
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2157,여행
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2208,보석 줍기
true,2213,트리의 독립집합
true,2234,성곽
true,2239,스도쿠
true,2243,사탕상자
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2254,감옥 건설
true,2263,트리의 순회
true,2293,동전 1
true,2300,기지국
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2412,암벽 등반
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2449,전구
true,2452,그리드 게임
true,2468,안전 영역
true,2514,자동분무기
true,2517,달리기
true,2529,부등호
true,2557,Hello World
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2573,빙산
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2613,숫자구슬
true,2615,오목
true,2618,경찰차
true,2623,음악프로그램
true,2629,양팔저울
true,2631,줄세우기
true,2632,피자판매
true,2636,치즈
true,2644,촌수계산
true,2645,회로배치
true,2655,가장높은탑쌓기
true,2661,좋은수열
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2680,QR
true,2718,타일 채우기
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2798,블랙잭
true,2820,자동차 공장
true,2842,집배원 한상덕
true,2878,캔디캔디
true,2884,알람 시계
true,2887,행성 터널
true,2917,늑대 사냥꾼
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,3006,터보소트
true,3011,이름 지어주기
true,3020,개똥벌레
true,3055,탈출
true,3109,빵집
true,3117,YouTube
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3344,N-Queen
true,3430,용이 산다
true,3482,Labyrinth
true,3584,가장 가까운 공통 조상
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3678,카탄의 개척자
true,3683,고양이와 개
true,3860,할로윈 묘지
true,3954,Brainf**k 인터프리터
true,3967,매직 스타
true,3980,선발 명단
true,4179,불!
true,4195,친구 네트워크
true,4217,신성 문자
true,4358,생태학
true,4574,스도미노쿠
true,4716,풍선
true,4811,알약
true,4963,섬의 개수
true,4991,로봇 청소기
true,5011,Robots on a grid
true,5014,스타트링크
true,5022,연결
true,5052,전화번호 목록
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5446,용량 부족
true,5549,행성 탐사
true,5558,チーズ
true,5670,휴대폰 자판
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6087,레이저 통신
true,6416,트리인가?
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6568,귀도 반 로썸은 크리스마스날 심심하다고 파이썬을 만들었다
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7490,0 만들기
true,7562,나이트의 이동
true,7569,토마토
true,7576,토마토
true,7578,공장
true,7579,앱
true,7806,GCD!
true,8111,0과 1
true,8320,직사각형을 만드는 방법
true,8393,합
true,8972,미친 아두이노
true,8982,수족관 1
true,9012,괄호
true,9019,DSLR
true,9081,단어 맞추기
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9241,바이러스 복제
true,9251,LCS
true,9328,열쇠
true,9345,디지털 비디오 디스크(DVDs)
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9376,탈옥
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9613,GCD 합
true,9663,N-Queen
true,9944,NxM 보드 완주하기
true,9998,블록 쌓기
true,10026,적록색약
true,10165,버스 노선
true,10171,고양이
true,10172,개
true,10212,Mystery
true,10218,Maze
true,10256,돌연변이
true,10282,해킹
true,10430,나머지
true,10714,케이크 자르기 2
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10799,쇠막대기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10930,SHA-256
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11046,팰린드롬??
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11057,오르막 수
true,11266,단절점
true,11399,ATM
true,11400,단절선
true,11403,경로 찾기
true,11437,LCA
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11657,타임머신
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11812,K진 트리
true,11931,수 정렬하기 4
true,11967,불켜기
true,12094,2048 (Hard)
true,12100,2048 (Easy)
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12872,플레이리스트
true,12886,돌 그룹
true,13016,내 왼손에는 흑염룡이 잠들어 있다
true,13023,ABCDE
true,13264,접미사 배열 2
true,13322,접두사 배열
true,13418,학교 탐방하기
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13505,두 수 XOR
true,13549,숨바꼭질 3
true,13713,문자열과 쿼리
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14238,출근 기록
true,14267,내리 칭찬
true,14391,종이 조각
true,14395,4연산
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14632,고급 작품
true,14645,와이버스 부릉부릉
true,14681,사분면 고르기
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14923,미로 탈출
true,14925,목장 건설하기
true,15558,점프 게임
true,15591,MooTube (Silver)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15681,트리와 쿼리
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15688,수 정렬하기 5
true,15690,Comma Sprinkler
true,15740,A+B - 9
true,15802,타노스
true,15804,저거 못 타면 지각이야!!
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15949,Piet
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,16113,시그널
true,16118,달빛 여우
true,16137,견우와 직녀
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16398,행성 연결
true,16465,Bookend
true,16468,크리스마스 트리 꾸미기
true,16472,고냥이
true,16562,친구비
true,16637,괄호 추가하기
true,16722,결! 합!
true,16928,뱀과 사다리 게임
true,16932,모양 만들기
true,16933,벽 부수고 이동하기 3
true,16940,BFS 스페셜 저지
true,16946,벽 부수고 이동하기 4
true,16947,서울 지하철 2호선
true,16948,데스 나이트
true,16954,움직이는 미로 탈출
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,16989,Baaaaaaaaaduk2 (Hard)
true,17070,파이프 옮기기 1
true,17114,하이퍼 토마토
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17244,아맞다우산
true,17261,석유가 넘쳐흘러
true,17281,⚾
true,17298,오큰수
true,17299,오등큰수
true,17349,1루수가 누구야
true,17394,핑거 스냅
true,17396,백도어
true,17398,통신망 분할
true,17401,일하는 세포
true,17406,배열 돌리기 4
true,17413,단어 뒤집기 2
true,17435,합성함수와 쿼리
true,17471,게리맨더링
true,17472,다리 만들기 2
