정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1074,Z
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1193,분수찾기
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1251,단어 나누기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1264,모음의 개수
true,1269,대칭 차집합
true,1302,베스트셀러
true,1330,두 수 비교하기
true,1357,뒤집힌 덧셈
true,1406,에디터
true,1408,24
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1439,뒤집기
true,1453,피시방 알바
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1568,새
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1655,가운데를 말해요
true,1662,압축
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1725,히스토그램
true,1731,추론
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1764,듣보잡
true,1769,3의 배수
true,1780,종이의 개수
true,1786,찾기
true,1850,최대공약수
true,1863,스카이라인 쉬운거
true,1864,문어 숫자
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1918,후위 표기식
true,1920,수 찾기
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1940,주몽
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2229,조 짜기
true,2230,수 고르기
true,2231,분해합
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2292,벌집
true,2294,동전 2
true,2307,도로검문
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2386,도비의 영어 공부
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2457,공주님의 정원
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2490,윷놀이
true,2493,탑
true,2501,약수 구하기
true,2503,숫자 야구
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2630,색종이 만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2696,중앙값 구하기
true,2698,인접한 비트의 개수
true,2711,오타맨 고창영
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2783,삼각 김밥
true,2789,유학 금지
true,2798,블랙잭
true,2805,나무 자르기
true,2822,점수 계산
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2947,나무 조각
true,2953,나는 요리사다
true,2997,네 번째 수
true,3004,체스판 조각
true,3009,네 번째 점
true,3035,스캐너
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3059,등장하지 않는 문자의 합
true,3076,상근이의 체스판
true,3085,사탕 게임
true,3190,뱀
true,3986,좋은 단어
true,4101,크냐?
true,4108,지뢰찾기
true,4344,평균은 넘겠지
true,4396,지뢰 찾기
true,4458,첫 글자를 대문자로
true,4493,가위 바위 보?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4766,일반 화학 실험
true,4796,캠핑
true,4963,섬의 개수
true,5052,전화번호 목록
true,5054,주차의 신
true,5063,TGN
true,5073,삼각형과 세 변
true,5179,우승자는 누구?
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5397,키로거
true,5430,AC
true,5522,카드 게임
true,5525,IOIOI
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5565,영수증
true,5585,거스름돈
true,5586,JOI와 IOI
true,5597,과제 안 내신 분..?
true,5613,계산기 프로그램
true,5691,평균 중앙값 문제
true,5717,상근이의 친구들
true,6086,최대 유량
true,6321,IBM 빼기 1
true,6549,히스토그램에서 가장 큰 직사각형
true,6593,상범 빌딩
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,7785,회사에 있는 사람
true,8393,합
true,8958,OX퀴즈
true,8974,희주의 수학시험
true,9012,괄호
true,9076,점수 집계
true,9086,문자열
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9237,이장님 초대
true,9251,LCS
true,9316,Hello Judge
true,9325,얼마?
true,9328,열쇠
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9469,폰 노이만
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9625,BABBA
true,9626,크로스워드 퍼즐
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9659,돌 게임 5
true,9660,돌 게임 6
true,9661,돌 게임 7
true,9663,N-Queen
true,9711,피보나치
true,9933,민균이의 비밀번호
true,9934,완전 이진 트리
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10102,개표
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10419,지각
true,10430,나머지
true,10448,유레카 이론
true,10610,30
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10804,카드 역배치
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10948,Daily 로또
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,10999,구간 합 구하기 2
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11070,피타고라스 기댓값
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11382,꼬마 정민
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11441,합 구하기
true,11586,지영 공주님의 마법 거울
true,11645,"I’ve Been Everywhere, Man"
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11657,타임머신
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11944,NN
true,11966,2의 제곱인가?
true,12789,도키도키 간식드리미
true,12871,무한 문자열
true,13163,닉네임에 갓 붙이기
true,13411,하늘에서 정의가 빗발친다!
true,13414,수강신청
true,13417,카드 문자열
true,14264,정육각형과 삼각형
true,14267,내리 칭찬
true,14442,벽 부수고 이동하기 2
true,14467,소가 길을 건너간 이유 1
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14624,전북대학교
true,14652,나는 행복합니다~
true,14656,조교는 새디스트야!!
true,14726,신용카드 판별
true,14888,연산자 끼워넣기
true,14909,양수 개수 세기
true,14912,숫자 빈도수
true,14918,더하기
true,14940,쉬운 최단거리
true,15552,빠른 A+B
true,15565,귀여운 라이언
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15680,연세대학교
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15729,방탈출
true,15730,수영장 사장님
true,15733,나는 누구인가
true,15734,명장 남정훈
true,15802,타노스
true,15813,너의 이름은 몇 점이니?
true,15818,오버플로우와 모듈러
true,15828,Router
true,15829,Hashing
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,15917,노솔브 방지문제야!!
true,15962,새로운 시작
true,15963,CASIO
true,15964,이상한 기호
true,16170,오늘의 날짜는?
true,16394,홍익대학교
true,16486,운동장 한 바퀴
true,16496,큰 수 만들기
true,16497,대출 요청
true,16561,3의 배수
true,16563,어려운 소인수분해
true,16568,엔비스카의 영혼
true,16726,영과일 학회방
true,16933,벽 부수고 이동하기 3
true,16946,벽 부수고 이동하기 4
true,16948,데스 나이트
true,16953,A → B
true,17072,아스키 아트
true,17175,피보나치는 지겨웡~
true,17177,내접사각형 만들기
true,17210,문문문
true,17211,좋은 날 싫은 날
true,17212,달나라 토끼를 위한 구매대금 지불 도우미
true,17213,과일 서리
true,17215,볼링 점수 계산
true,17219,비밀번호 찾기
true,17220,마약수사대
true,17256,달달함이 넘쳐흘러
true,17291,새끼치기
true,17388,와글와글 숭고한
true,17435,합성함수와 쿼리
true,17478,재귀함수가 뭔가요?
true,17490,일감호에 다리 놓기
true,17502,클레어와 팰린드롬
true,17521,Byte Coin
true,17626,Four Squares
true,18111,마인크래프트
true,18238,ZOAC 2
true,18242,네모네모 시력검사
true,18243,Small World Network
true,18245,이상한 나라의 암호
false,1182,부분수열의 합
