정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1021,회전하는 큐
true,1026,보물
true,1037,약수
true,1038,감소하는 수
true,1059,수2
true,1065,한수
true,1068,트리
true,1080,행렬
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1138,한 줄로 서기
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1309,동물원
true,1330,두 수 비교하기
true,1365,꼬인 전깃줄
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1418,K-세준수
true,1427,소트인사이드
true,1436,영화감독 숌
true,1461,도서관
true,1463,1로 만들기
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1535,안녕
true,1541,잃어버린 괄호
true,1546,평균
true,1577,도로의 개수
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1633,최고의 팀 만들기
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1671,상어의 저녁식사
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1708,볼록 껍질
true,1717,집합의 표현
true,1725,히스토그램
true,1726,로봇
true,1753,최단경로
true,1761,정점들의 거리
true,1766,문제집
true,1786,찾기
true,1850,최대공약수
true,1865,웜홀
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1956,운동
true,1965,상자넣기
true,1966,프린터 큐
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1991,트리 순회
true,2010,플러그
true,2042,구간 합 구하기
true,2096,내려가기
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2240,자두나무
true,2252,줄 세우기
true,2306,유전자
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2346,풍선 터뜨리기
true,2357,최솟값과 최댓값
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2480,주사위 세개
true,2484,주사위 네개
true,2490,윷놀이
true,2493,탑
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2511,카드놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2623,음악프로그램
true,2631,줄세우기
true,2660,회장뽑기
true,2661,좋은수열
true,2662,기업투자
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2754,학점계산
true,2755,이번학기 평점은 몇점?
true,2792,보석 상자
true,2805,나무 자르기
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2959,거북이
true,2965,캥거루 세마리
true,2985,세 수
true,3047,ABC
true,3055,탈출
true,3058,짝수를 찾아라
true,3460,이진수
true,3474,교수가 된 현우
true,3649,로봇 프로젝트
true,3944,나머지 계산
true,4172,sqrt log sin
true,4195,친구 네트워크
true,4246,To and Fro
true,4256,트리
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4641,Doubles
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4690,완전 세제곱
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4999,아!
true,5218,알파벳 거리
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5397,키로거
true,5430,AC
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5704,팬그램
true,5724,파인만
true,5766,할아버지는 유명해!
true,5988,홀수일까 짝수일까
true,6086,최대 유량
true,6118,숨바꼭질
true,6144,Charm Bracelet
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6376,e 계산
true,6378,디지털 루트
true,6497,전력난
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6986,절사평균
true,7287,등록
true,7562,나이트의 이동
true,7570,줄 세우기
true,7576,토마토
true,8393,합
true,8949,대충 더해
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9610,사분면
true,9613,GCD 합
true,9625,BABBA
true,9655,돌 게임
true,9657,돌 게임 3
true,9663,N-Queen
true,9938,방 청소
true,9971,The Hardest Problem Ever
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10159,저울
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10430,나머지
true,10448,유레카 이론
true,10469,사이 나쁜 여왕들
true,10610,30
true,10699,오늘 날짜
true,10708,크리스마스 파티
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10803,정사각형 만들기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10825,국영수
true,10828,스택
true,10829,이진수 변환
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,10999,구간 합 구하기 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11038,Entrance Examination
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11123,양 한마리... 양 두마리...
true,11279,최대 힙
true,11286,절댓값 힙
true,11320,삼각 무늬 - 1
true,11365,!밀비 급일
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11437,LCA
true,11438,LCA 2
true,11441,합 구하기
true,11444,피보나치 수 6
true,11505,구간 곱 구하기
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,12015,가장 긴 증가하는 부분 수열 2
true,12778,CTP공국으로 이민 가자
true,12850,본대 산책2
true,13280,Selection of Participants of an Experiment
true,13306,트리
true,13419,탕수육
true,13511,트리와 쿼리 2
true,13900,순서쌍의 곱의 합
true,14002,가장 긴 증가하는 부분 수열 4
true,14289,본대 산책 3
true,14487,욱제는 효도쟁이야!!
true,14501,퇴사
true,14502,연구소
true,14581,팬들에게 둘러싸인 홍준
true,14913,등차수열에서 항 번호 찾기
true,15353,큰 수 A+B (2)
true,15480,LCA와 쿼리
true,15552,빠른 A+B
true,15873,공백 없는 A+B
true,15922,아우으 우아으이야!!
true,15926,현욱은 괄호왕이야!!
true,15947,아기 석환 뚜루루 뚜루
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,15991,"1, 2, 3 더하기 6"
true,16076,휴식이 필요해
true,16170,오늘의 날짜는?
true,16171,나는 친구가 적다 (Small)
true,16172,나는 친구가 적다 (Large)
true,16194,카드 구매하기 2
true,16212,정열적인 정렬
true,16430,제리와 톰
true,16433,주디와 당근농장
true,16562,친구비
true,17173,배수들의 합
true,17269,이름궁합 테스트
false,1152,단어의 개수
false,1790,수 이어 쓰기 2
false,1949,우수 마을
false,2659,십자카드 문제
false,2670,연속부분최대곱
false,2812,크게 만들기
false,3079,입국심사
false,5618,공약수
false,9205,맥주 마시면서 걸어가기
false,9370,미확인 도착지
false,10800,컬러볼
false,10868,최솟값
false,10974,모든 순열
false,11657,타임머신
false,12847,꿀 아르바이트
false,14585,사수빈탕
