정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1029,그림 교환
true,1032,명령 프롬프트
true,1034,램프
true,1035,조각 움직이기
true,1037,약수
true,1051,숫자 정사각형
true,1065,한수
true,1068,트리
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1110,더하기 사이클
true,1124,언더프라임
true,1138,한 줄로 서기
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1271,엄청난 부자2
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1305,광고
true,1309,동물원
true,1327,소트 게임
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1342,행운의 문자열
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1379,강의실 2
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1432,그래프 수정
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1477,휴게소 세우기
true,1495,기타리스트
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1508,레이스
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1546,평균
true,1550,16진수
true,1562,계단 수
true,1563,개근상
true,1613,역사
true,1614,영식이의 손가락
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1681,줄 세우기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1731,추론
true,1735,분수 합
true,1740,거듭제곱
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1806,부분합
true,1822,차집합
true,1834,나머지와 몫이 같은 수
true,1854,K번째 최단경로 찾기
true,1871,좋은 자동차 번호판
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1940,주몽
true,1941,소문난 칠공주
true,1942,디지털시계
true,1947,선물 전달
true,1951,활자
true,1956,운동
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2004,조합 0의 개수
true,2010,플러그
true,2018,수들의 합 5
true,2023,신기한 소수
true,2024,선분 덮기
true,2033,반올림
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2156,포도주 시식
true,2159,케익 배달
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2212,센서
true,2213,트리의 독립집합
true,2216,문자열과 점수
true,2224,명제 증명
true,2225,합분해
true,2229,조 짜기
true,2234,성곽
true,2243,사탕상자
true,2252,줄 세우기
true,2263,트리의 순회
true,2266,금고 테스트
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2338,긴자리 계산
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2417,정수 제곱근
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2458,키 순서
true,2463,비용
true,2468,안전 영역
true,2476,주사위 게임
true,2479,경로 찾기
true,2482,색상환
true,2487,섞기 수열
true,2490,윷놀이
true,2493,탑
true,2504,괄호의 값
true,2512,예산
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2531,회전 초밥
true,2532,먹이사슬
true,2533,사회망 서비스(SNS)
true,2535,아시아 정보올림피아드
true,2539,모자이크
true,2553,마지막 팩토리얼 수
true,2557,Hello World
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2567,색종이 - 2
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2585,경비행기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2605,줄 세우기
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2617,구슬 찾기
true,2618,경찰차
true,2623,음악프로그램
true,2630,색종이 만들기
true,2631,줄세우기
true,2636,치즈
true,2638,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2660,회장뽑기
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2684,동전 게임
true,2693,N번째 큰 수
true,2702,초6 수학
true,2720,세탁소 사장 동혁
true,2721,삼각수의 합
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2780,비밀번호
true,2789,유학 금지
true,2792,보석 상자
true,2805,나무 자르기
true,2806,DNA 발견
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2910,빈도 정렬
true,2914,저작권
true,2920,음계
true,2935,소음
true,2942,퍼거슨과 사과
true,2948,2009년
true,2953,나는 요리사다
true,2965,캥거루 세마리
true,3009,네 번째 점
true,3015,오아시스 재결합
true,3028,창영마을
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3052,나머지
true,3062,수 뒤집기
true,3063,게시판
true,3067,Coins
true,3163,떨어지는 개미
true,3295,단방향 링크 네트워크
true,3366,수열 줄이기
true,3460,이진수
true,3495,아스키 도형
true,3613,Java vs C++
true,3653,영화 수집
true,3745,오름세
true,3758,KCPC
true,3896,소수 사이 수열
true,4105,유클리드
true,4195,친구 네트워크
true,4297,Ultra-QuickSort
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4706,쌍둥이 역설
true,4781,사탕 가게
true,4782,분수 뺄셈
true,4811,알약
true,4883,삼각 그래프
true,4963,섬의 개수
true,5054,주차의 신
true,5060,무글 맵스
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5354,J박스
true,5430,AC
true,5525,IOIOI
true,5597,과제 안 내신 분..?
true,5635,생일
true,5636,소수 부분 문자열
true,5637,가장 긴 단어
true,5676,음주 코딩
true,5719,거의 최단 경로
true,5893,17배
true,6064,카잉 달력
true,6279,삼각형 피자
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6443,애너그램
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,6679,싱기한 네자리 숫자
true,6996,애너그램
true,7287,등록
true,7481,ATM놀이
true,7489,팩토리얼
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7576,토마토
true,7578,공장
true,7579,앱
true,7662,이중 우선순위 큐
true,7795,먹을 것인가 먹힐 것인가
true,7812,중앙 트리
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8980,택배
true,8983,사냥꾼
true,8984,막대기
true,9007,카누 선수
true,9012,괄호
true,9015,정사각형
true,9019,DSLR
true,9076,점수 집계
true,9077,지뢰제거
true,9079,동전 게임
true,9080,PC방 요금
true,9081,단어 맞추기
true,9082,지뢰찾기
true,9083,셔틀버스
true,9084,동전
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9240,로버트 후드
true,9241,바이러스 복제
true,9242,폭탄 해체
true,9243,파일 완전 삭제
true,9251,LCS
true,9324,진짜 메시지
true,9325,얼마?
true,9345,디지털 비디오 디스크(DVDs)
true,9372,상근이의 여행
true,9455,박스
true,9460,메탈
true,9461,파도반 수열
true,9463,순열 그래프
true,9464,직사각형 집합
true,9465,스티커
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9550,아이들은 사탕을 좋아해
true,9567,Empty Stalls
true,9571,Crowded Cows
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9870,Vacation Planning
true,9946,단어 퍼즐
true,10021,Watering the Fields
true,10026,적록색약
true,10156,과자
true,10159,저울
true,10164,격자상의 경로
true,10166,관중석
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10216,Count Circle Groups
true,10217,KCM Travel
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10252,그리드 그래프
true,10253,헨리
true,10259,Amanda Lounges
true,10262,주사위 게임
true,10263,Opening Ceremony
true,10265,MT
true,10272,현상금 사냥꾼 김정은
true,10274,Equator
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10453,문자열 변환
true,10672,Stampede
true,10699,오늘 날짜
true,10711,모래성
true,10718,We love kriii
true,10749,Superbull
true,10757,큰 수 A+B
true,10765,Bessie Gets Even
true,10767,Palindromic Paths
true,10799,쇠막대기
true,10812,바구니 순서 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10825,국영수
true,10826,피보나치 수 4
true,10827,a^b
true,10828,스택
true,10829,이진수 변환
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10971,외판원 순회 2
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10989,수 정렬하기 3
true,10998,A×B
true,11000,강의실 배정
true,11003,최솟값 찾기
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11023,더하기 3
true,11024,더하기 4
true,11025,요세푸스 문제 3
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11068,회문인 수
true,11279,최대 힙
true,11286,절댓값 힙
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
