정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1004,어린 왕자
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1023,괄호 문자열
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1057,토너먼트
true,1063,킹
true,1065,한수
true,1074,Z
true,1076,저항
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1212,8진수 2진수
true,1219,오민식의 고민
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1280,나무 심기
true,1292,쉽게 푸는 문제
true,1302,베스트셀러
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1546,평균
true,1547,공
true,1550,16진수
true,1561,놀이 공원
true,1562,계단 수
true,1613,역사
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1718,암호
true,1725,히스토그램
true,1735,분수 합
true,1738,골목길
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1773,폭죽쇼
true,1780,종이의 개수
true,1806,부분합
true,1874,스택 수열
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1934,최소공배수
true,1935,후위 표기식2
true,1939,중량제한
true,1944,복제 로봇
true,1956,운동
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2089,-2진수
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2140,지뢰찾기
true,2146,다리 만들기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2201,이친수 찾기
true,2211,네트워크 복구
true,2213,트리의 독립집합
true,2225,합분해
true,2231,분해합
true,2243,사탕상자
true,2248,이진수 찾기
true,2251,물통
true,2268,수들의 합
true,2291,Sequence
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2336,굉장한 학생
true,2339,석판 자르기
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2357,최솟값과 최댓값
true,2399,거리의 합
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2490,윷놀이
true,2494,숫자 맞추기
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2522,별 찍기 - 12
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2583,영역 구하기
true,2590,색종이
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2839,설탕 배달
true,2840,행운의 바퀴
true,2841,외계인의 기타 연주
true,2851,슈퍼 마리오
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2887,행성 터널
true,2908,상수
true,2960,에라토스테네스의 체
true,2966,찍기
true,3006,터보소트
true,3040,백설 공주와 일곱 난쟁이
true,3047,ABC
true,3055,탈출
true,3058,짝수를 찾아라
true,3062,수 뒤집기
true,3078,좋은 친구
true,3085,사탕 게임
true,3107,IPv6
true,3163,떨어지는 개미
true,3190,뱀
true,3449,해밍 거리
true,3613,Java vs C++
true,3653,영화 수집
true,3687,성냥개비
true,3745,오름세
true,3780,네트워크 연결
true,3986,좋은 단어
true,4195,친구 네트워크
true,4299,AFC 윔블던
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4673,셀프 넘버
true,4963,섬의 개수
true,5054,주차의 신
true,5063,TGN
true,5338,마이크로소프트 로고
true,5354,J박스
true,5361,전투 드로이드 가격
true,5397,키로거
true,5419,북서풍
true,5430,AC
true,5543,상근날드
true,5585,거스름돈
true,5598,카이사르 암호
true,5622,다이얼
true,5719,거의 최단 경로
true,6086,최대 유량
true,6236,용돈 관리
true,6497,전력난
true,6588,골드바흐의 추측
true,6603,로또
true,7287,등록
true,7567,그릇
true,7568,덩치
true,7576,토마토
true,7662,이중 우선순위 큐
true,7785,회사에 있는 사람
true,8012,한동이는 영업사원!
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9085,더하기
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9345,디지털 비디오 디스크(DVDs)
true,9373,복도 뚫기
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9494,Text Roll
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9546,3000번 버스
true,9613,GCD 합
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9938,방 청소
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10217,KCM Travel
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10473,인간 대포
true,10546,배부른 마라토너
true,10718,We love kriii
true,10775,공항
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10881,프로도의 선물 포장
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11562,백양로 브레이크
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,12015,가장 긴 증가하는 부분 수열 2
true,12789,도키도키 간식드리미
true,12837,가계부 (Hard)
true,12865,평범한 배낭
true,13168,내일로 여행
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14868,문명
true,14888,연산자 끼워넣기
true,14915,진수 변환기
true,15353,큰 수 A+B (2)
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15784,질투진서
true,15786,Send me the money
true,15787,기차가 어둠을 헤치고 은하수를
true,15791,세진이의 미팅
true,16282,Black Chain
true,16283,Farm
true,16287,Parcel
true,16288,Passport Control
true,16429,2018 빼빼로 데이 이벤트 겸 스타트링크 홍보
true,16562,친구비
true,16637,괄호 추가하기
true,16681,등산
true,17398,통신망 분할
false,1009,분산처리
false,1377,버블 소트
false,1865,웜홀
false,2011,암호코드
false,2014,소수의 곱
false,11657,타임머신
false,15783,세진 바이러스
false,15802,타노스
false,16434,드래곤 앤 던전
