정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1026,보물
true,1032,명령 프롬프트
true,1039,교환
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1068,트리
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1213,팰린드롬 만들기
true,1225,이상한 곱셈
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1252,이진수 덧셈
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1297,TV 크기
true,1309,동물원
true,1316,그룹 단어 체커
true,1344,축구
true,1350,진짜 공간
true,1365,꼬인 전깃줄
true,1402,아무래도이문제는A번난이도인것같다
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1453,피시방 알바
true,1463,1로 만들기
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1550,16진수
true,1592,영식이와 친구들
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1689,겹치는 선분
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1708,볼록 껍질
true,1713,후보 추천하기
true,1717,집합의 표현
true,1725,히스토그램
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1796,신기한 키보드
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1926,그림
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1941,소문난 칠공주
true,1946,신입 사원
true,1949,우수 마을
true,1953,팀배분
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2133,타일 채우기
true,2156,포도주 시식
true,2157,여행
true,2161,카드1
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2213,트리의 독립집합
true,2229,조 짜기
true,2231,분해합
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2303,숫자 게임
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2458,키 순서
true,2469,사다리 타기
true,2470,두 용액
true,2473,세 용액
true,2475,검증수
true,2485,가로수
true,2503,숫자 야구
true,2506,점수계산
true,2511,카드놀이
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2579,계단 오르기
true,2583,영역 구하기
true,2591,숫자카드
true,2602,돌다리 건너기
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2611,자동차경주
true,2623,음악프로그램
true,2631,줄세우기
true,2636,치즈
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2660,회장뽑기
true,2665,미로만들기
true,2666,벽장문의 이동
true,2693,N번째 큰 수
true,2711,오타맨 고창영
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2776,암기왕
true,2790,F7
true,2805,나무 자르기
true,2857,FBI
true,2864,5와 6의 차이
true,2879,코딩은 예쁘게
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2904,수학은 너무 쉬워
true,2908,상수
true,2914,저작권
true,2920,음계
true,3015,오아시스 재결합
true,3046,R2
true,3047,ABC
true,3058,짝수를 찾아라
true,3190,뱀
true,3273,두 수의 합
true,3392,화성 지도
true,3649,로봇 프로젝트
true,3745,오름세
true,3948,홍준이의 친위대
true,4470,줄번호
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4803,트리
true,4841,Look and Say
true,4880,다음수
true,4883,삼각 그래프
true,4963,섬의 개수
true,4999,아!
true,5052,전화번호 목록
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5347,LCM
true,5397,키로거
true,5430,AC
true,5543,상근날드
true,5565,영수증
true,5582,공통 부분 문자열
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5624,좋은 수
true,5636,소수 부분 문자열
true,5717,상근이의 친구들
true,5904,Moo 게임
true,5988,홀수일까 짝수일까
true,6549,히스토그램에서 가장 큰 직사각형
true,7287,등록
true,7562,나이트의 이동
true,7567,그릇
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,7774,콘센트
true,7785,회사에 있는 사람
true,7894,큰 수
true,8393,합
true,8891,점 숫자
true,8896,가위 바위 보
true,8922,두찌 수열
true,8958,OX퀴즈
true,8976,LAGNO
true,9009,피보나치
true,9011,순서
true,9012,괄호
true,9020,골드바흐의 추측
true,9085,더하기
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9316,Hello Judge
true,9325,얼마?
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9576,책 나눠주기
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10040,투표
true,10093,숫자
true,10101,삼각형 외우기
true,10102,개표
true,10103,주사위 게임
true,10158,개미
true,10163,색종이
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10218,Maze
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10253,헨리
true,10419,지각
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10453,문자열 변환
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10769,행복한지 슬픈지
true,10797,10부제
true,10799,쇠막대기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10864,친구
true,10865,친구 친구
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10881,프로도의 선물 포장
true,10882,International meeting
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11023,더하기 3
true,11053,가장 긴 증가하는 부분 수열
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11109,괴짜 교수
true,11134,쿠키애호가
true,11179,2진수 뒤집기
true,11203,Numbers On a Tree
true,11279,최대 힙
true,11365,!밀비 급일
true,11375,열혈강호
true,11382,꼬마 정민
true,11399,ATM
true,11403,경로 찾기
true,11441,합 구하기
true,11497,통나무 건너뛰기
true,11505,구간 곱 구하기
true,11509,풍선 맞추기
true,11549,Identifying tea
true,11557,Yangjojang of The Year
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11947,이런 반전이
true,12100,2048 (Easy)
true,12790,Mini Fantasy War
true,12791,Starman
true,12796,나의 행렬곱셈 답사기
true,12833,XORXORXOR
true,12837,가계부 (Hard)
true,13136,Do Not Touch Anything
true,13140,Hello World!
true,13144,List of Unique Numbers
true,13163,닉네임에 갓 붙이기
true,13164,행복 유치원
true,13170,떨어진 수정
true,13300,방 배정
true,13410,거꾸로 구구단
true,13412,서로소 쌍
true,13413,오셀로 재배치
true,13414,수강신청
true,13416,주식 투자
true,13417,카드 문자열
true,13418,학교 탐방하기
true,13419,탕수육
true,13420,사칙연산
true,13422,도둑
true,13423,Three Dots
true,13424,비밀 모임
true,13549,숨바꼭질 3
true,13567,로봇
true,13698,Hawk eyes
true,13757,빼빼로 데이
true,13913,숨바꼭질 4
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14581,팬들에게 둘러싸인 홍준
true,14612,김식당
true,14614,Calculate!
true,14620,꽃길
true,14726,신용카드 판별
false,1024,수열의 합
false,1062,가르침
false,1208,부분수열의 합 2
false,1312,소수
false,1475,방 번호
false,1633,최고의 팀 만들기
false,2309,일곱 난쟁이
false,2504,괄호의 값
false,2590,색종이
false,5557,1학년
false,6064,카잉 달력
false,10446,Algorist Club
false,10826,피보나치 수 4
false,11404,플로이드
false,11657,타임머신
false,12094,2048 (Hard)
false,13460,구슬 탈출 2
false,13565,침투
false,14613,너의 티어는?
