정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1027,고층 건물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1059,수2
true,1062,가르침
true,1064,평행사변형
true,1065,한수
true,1068,트리
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1238,파티
true,1246,온라인 판매
true,1251,단어 나누기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1309,동물원
true,1312,소수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1495,기타리스트
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1629,곱셈
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1786,찾기
true,1806,부분합
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2011,암호코드
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2133,타일 채우기
true,2146,다리 만들기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2240,자두나무
true,2263,트리의 순회
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2490,윷놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2529,부등호
true,2557,Hello World
true,2559,수열
true,2562,최댓값
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2594,놀이공원
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2644,촌수계산
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2789,유학 금지
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2857,FBI
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2941,크로아티아 알파벳
true,2981,검문
true,3009,네 번째 점
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3190,뱀
true,3460,이진수
true,3986,좋은 단어
true,4153,직각삼각형
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5086,배수와 약수
true,5218,알파벳 거리
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5586,JOI와 IOI
true,5598,카이사르 암호
true,5622,다이얼
true,6321,IBM 빼기 1
true,6359,만취한 상범
true,6378,디지털 루트
true,6588,골드바흐의 추측
true,6603,로또
true,6679,싱기한 네자리 숫자
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7571,점 모으기
true,7576,토마토
true,7577,탐사
true,7578,공장
true,7579,앱
true,7662,이중 우선순위 큐
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9372,상근이의 여행
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,10026,적록색약
true,10039,평균 점수
true,10156,과자
true,10157,자리배정
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10430,나머지
true,10610,30
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10801,카드게임
true,10804,카드 역배치
true,10805,L 모양의 종이 자르기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10996,별 찍기 - 21
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11575,Affine Cipher
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11866,요세푸스 문제 0
true,12813,이진수 연산
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,13275,가장 긴 팰린드롬 부분 문자열
true,13410,거꾸로 구구단
true,13411,하늘에서 정의가 빗발친다!
true,13412,서로소 쌍
true,13413,오셀로 재배치
true,13414,수강신청
true,13416,주식 투자
true,13417,카드 문자열
true,13419,탕수육
true,13422,도둑
true,13423,Three Dots
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14681,사분면 고르기
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15969,행복
true,15988,"1, 2, 3 더하기 3"
true,17350,2루수 이름이 뭐야
true,17419,비트가 넘쳐흘러
true,17608,막대기
true,17609,회문
true,17612,쇼핑몰
true,17613,점프
true,17614,369
true,17615,볼 모으기
true,17618,신기한 수
true,18187,평면 분할
false,1431,시리얼 번호
false,2607,비슷한 단어
false,2661,좋은수열
false,4378,트ㅏㅊ;
false,9527,1의 개수 세기
false,11576,Base Conversion
false,11723,집합
false,11812,K진 트리
false,13415,정렬 게임
false,13420,사칙연산
false,13545,수열과 쿼리 0
false,13909,창문 닫기
false,14867,물통
false,15970,화살표 그리기
false,17404,RGB거리 2
false,17619,개구리 점프
