정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1007,벡터 매칭
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1110,더하기 사이클
true,1114,통나무 자르기
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1304,지역
true,1305,광고
true,1307,마방진
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1402,아무래도이문제는A번난이도인것같다
true,1406,에디터
true,1408,24
true,1427,소트인사이드
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1517,버블 소트
true,1520,내리막 길
true,1546,평균
true,1547,공
true,1550,16진수
true,1592,영식이와 친구들
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1697,숨바꼭질
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1735,분수 합
true,1743,음식물 피하기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1766,문제집
true,1769,3의 배수
true,1780,종이의 개수
true,1803,무술 연습
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1948,임계경로
true,1956,운동
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2042,구간 합 구하기
true,2096,내려가기
true,2110,공유기 설치
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2225,합분해
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2307,도로검문
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2357,최솟값과 최댓값
true,2417,정수 제곱근
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2470,두 용액
true,2473,세 용액
true,2476,주사위 게임
true,2480,주사위 세개
true,2490,윷놀이
true,2501,약수 구하기
true,2504,괄호의 값
true,2506,점수계산
true,2512,예산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2529,부등호
true,2530,인공지능 시계
true,2548,대표 자연수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2566,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2587,대표값2
true,2588,곱셈
true,2592,대표값
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2613,숫자구슬
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2630,색종이 만들기
true,2636,치즈
true,2644,촌수계산
true,2655,가장높은탑쌓기
true,2662,기업투자
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2698,인접한 비트의 개수
true,2702,초6 수학
true,2711,오타맨 고창영
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2792,보석 상자
true,2798,블랙잭
true,2799,블라인드
true,2800,괄호 제거
true,2805,나무 자르기
true,2824,최대공약수
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2842,집배원 한상덕
true,2851,슈퍼 마리오
true,2852,NBA 농구
true,2854,문제 출제
true,2857,FBI
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2865,나는 위대한 슈퍼스타K
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2903,중앙 이동 알고리즘
true,2904,수학은 너무 쉬워
true,2908,상수
true,2911,전화 복구
true,2914,저작권
true,2916,자와 각도기
true,2920,음계
true,2921,도미노
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2979,트럭 주차
true,2981,검문
true,2982,국왕의 방문
true,2993,세 부분
true,2999,비밀 이메일
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3020,개똥벌레
true,3022,PRASE
true,3046,R2
true,3052,나머지
true,3062,수 뒤집기
true,3079,입국심사
true,3682,동치 증명
true,3780,네트워크 연결
true,3830,교수님은 기다리지 않는다
true,3908,서로 다른 소수의 합
true,3986,좋은 단어
true,4096,팰린드로미터
true,4101,크냐?
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4781,사탕 가게
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4999,아!
true,5014,스타트링크
true,5211,가단조와 다장조
true,5213,과외맨
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5543,상근날드
true,5565,영수증
true,5567,결혼식
true,5573,산책
true,5585,거스름돈
true,5622,다이얼
true,5623,수열의 합
true,5719,거의 최단 경로
true,5988,홀수일까 짝수일까
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7511,소셜 네트워킹 어플리케이션
true,7567,그릇
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9325,얼마?
true,9328,열쇠
true,9359,서로소
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9517,아이 러브 크로아티아
true,9546,3000번 버스
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9663,N-Queen
true,9935,문자열 폭발
true,9997,폰트
true,9998,블록 쌓기
true,10026,적록색약
true,10039,평균 점수
true,10156,과자
true,10158,개미
true,10159,저울
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10430,나머지
true,10573,증가하는 수
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10775,공항
true,10797,10부제
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10991,별 찍기 - 16
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11068,회문인 수
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11507,카드셋트
true,11560,다항식 게임
true,11562,백양로 브레이크
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,11942,고려대는 사랑입니다
true,12015,가장 긴 증가하는 부분 수열 2
true,12026,BOJ 거리
true,12789,도키도키 간식드리미
true,12842,튀김 소보루
true,13163,닉네임에 갓 붙이기
true,13302,리조트
true,13419,탕수육
true,13458,시험 감독
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14569,시간표 짜기
true,14570,나무 위의 구슬
true,14699,관악산 등산
false,1271,엄청난 부자2
false,1588,수열
false,1602,도망자 원숭이
false,1865,웜홀
false,1939,중량제한
false,2098,외판원 순회
false,2436,공약수
false,2475,검증수
false,2573,빙산
false,2583,영역 구하기
false,2589,보물섬
false,2638,치즈
false,2830,행성 X3
false,2859,별 관찰
false,2934,LRH 식물
false,3090,차이를 최소로
false,4196,도미노
false,6086,최대 유량
false,7562,나이트의 이동
false,11004,K번째 수
false,11657,타임머신
