정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1065,한수
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1162,도로포장
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1219,오민식의 고민
true,1225,이상한 곱셈
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1331,나이트 투어
true,1342,행운의 문자열
true,1350,진짜 공간
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1431,시리얼 번호
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1546,평균
true,1547,공
true,1550,16진수
true,1598,꼬리를 무는 숫자 나열
true,1613,역사
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1735,분수 합
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1789,수들의 합
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1946,신입 사원
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2010,플러그
true,2012,등수 매기기
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2217,로프
true,2231,분해합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2420,사파리월드
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2467,용액
true,2468,안전 영역
true,2475,검증수
true,2480,주사위 세개
true,2490,윷놀이
true,2493,탑
true,2503,숫자 야구
true,2504,괄호의 값
true,2511,카드놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2702,초6 수학
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2805,나무 자르기
true,2822,점수 계산
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2851,슈퍼 마리오
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2875,대회 or 인턴
true,2884,알람 시계
true,2891,카약과 강풍
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2920,음계
true,2921,도미노
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2979,트럭 주차
true,2980,도로와 신호등
true,3028,창영마을
true,3034,앵그리 창영
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3062,수 뒤집기
true,3460,이진수
true,3584,가장 가까운 공통 조상
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4564,숫자 카드놀이
true,4673,셀프 넘버
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5054,주차의 신
true,5063,TGN
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5347,LCM
true,5355,화성 수학
true,5397,키로거
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5565,영수증
true,5567,결혼식
true,5576,콘테스트
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5622,다이얼
true,5635,생일
true,5719,거의 최단 경로
true,5789,한다 안한다
true,6118,숨바꼭질
true,6156,Cow Contest
true,6246,풍선 놀이
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7572,간지(干支)
true,7576,토마토
true,8393,합
true,8922,두찌 수열
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9020,골드바흐의 추측
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9325,얼마?
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10102,개표
true,10156,과자
true,10157,자리배정
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10253,헨리
true,10263,Opening Ceremony
true,10282,해킹
true,10419,지각
true,10430,나머지
true,10448,유레카 이론
true,10546,배부른 마라토너
true,10569,다면체
true,10610,30
true,10707,수도요금
true,10718,We love kriii
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10807,개수 세기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10810,공 넣기
true,10811,바구니 뒤집기
true,10812,바구니 순서 바꾸기
true,10813,공 바꾸기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10825,국영수
true,10828,스택
true,10833,사과
true,10834,벨트
true,10835,카드게임
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10946,랜덤 게임~~~~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11062,카드 게임
true,11066,파일 합치기
true,11067,모노톤길
true,11068,회문인 수
true,11070,피타고라스 기댓값
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11444,피보나치 수 6
true,11506,占쏙옙
true,11557,Yangjojang of The Year
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11816,"8진수, 10진수, 16진수"
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11945,뜨거운 붕어빵
true,11947,이런 반전이
true,12100,2048 (Easy)
true,12790,Mini Fantasy War
true,12791,Starman
true,12813,이진수 연산
true,13300,방 배정
true,13301,타일 장식물
true,13304,방 배정
true,13305,주유소
true,13311,행운의 편지
true,13325,이진 트리
true,13333,Q-인덱스
true,13334,철로
true,13335,트럭
true,13419,탕수육
true,13458,시험 감독
true,13560,축구 게임
true,13567,로봇
true,14430,자원 캐기
true,14443,채점 소수 번호
true,14487,욱제는 효도쟁이야!!
true,14489,치킨 두 마리 (...)
true,14490,백대열
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14581,팬들에게 둘러싸인 홍준
true,14582,오늘도 졌다
true,14583,이음줄
true,14645,와이버스 부릉부릉
true,14696,딱지놀이
true,14697,방 배정하기
true,14726,신용카드 판별
true,14729,칠무해
true,14753,MultiMax
true,14754,Pizza Boxes
true,14863,서울에서 경산까지
true,14864,줄서기
true,14918,더하기
true,14921,용액 합성하기
true,14954,Happy Number
true,14956,Philosopher’s Walk
true,15549,if
true,15552,빠른 A+B
true,15685,드래곤 커브
true,15686,치킨 배달
true,15802,타노스
true,15894,수학은 체육과목 입니다
true,15962,새로운 시작
true,15963,CASIO
true,15964,이상한 기호
true,15969,행복
false,1168,요세푸스 문제 2
false,1769,3의 배수
false,2469,사다리 타기
false,3079,입국심사
false,5214,환승
false,6549,히스토그램에서 가장 큰 직사각형
false,10826,피보나치 수 4
false,11657,타임머신
false,11729,하노이 탑 이동 순서
