정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1039,교환
true,1065,한수
true,1075,나누기
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1162,도로포장
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1213,팰린드롬 만들기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1284,집 주소
true,1303,전쟁 - 전투
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1342,행운의 문자열
true,1368,물대기
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1436,영화감독 숌
true,1445,일요일 아침의 데이트
true,1453,피시방 알바
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1526,가장 큰 금민수
true,1546,평균
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1568,새
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1655,가운데를 말해요
true,1681,줄 세우기
true,1697,숨바꼭질
true,1712,손익분기점
true,1713,후보 추천하기
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1765,닭싸움 팀 정하기
true,1773,폭죽쇼
true,1774,우주신과의 교감
true,1789,수들의 합
true,1799,비숍
true,1912,연속합
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1938,통나무 옮기기
true,1941,소문난 칠공주
true,1944,복제 로봇
true,1963,소수 경로
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,2010,플러그
true,2023,신기한 소수
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2108,통계학
true,2146,다리 만들기
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2231,분해합
true,2239,스도쿠
true,2251,물통
true,2292,벌집
true,2309,일곱 난쟁이
true,2386,도비의 영어 공부
true,2406,안정적인 네트워크
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2490,윷놀이
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2667,단지번호붙이기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2702,초6 수학
true,2720,세탁소 사장 동혁
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2846,오르막길
true,2851,슈퍼 마리오
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2908,상수
true,2914,저작권
true,2920,음계
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2959,거북이
true,2960,에라토스테네스의 체
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3009,네 번째 점
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3035,스캐너
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3059,등장하지 않는 문자의 합
true,3108,로고
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3425,고스택
true,3449,해밍 거리
true,3967,매직 스타
true,3980,선발 명단
true,4101,크냐?
true,4153,직각삼각형
true,4179,불!
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4577,소코반
true,4650,Jungle Roads
true,4658,삼각형 게임
true,4672,Don't Get Rooked
true,4673,셀프 넘버
true,4677,Oil Deposits
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5032,탄산 음료
true,5063,TGN
true,5214,환승
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5373,큐빙
true,5427,불
true,5522,카드 게임
true,5523,경기 결과
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5558,チーズ
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5618,공약수
true,5622,다이얼
true,5635,생일
true,5717,상근이의 친구들
true,5719,거의 최단 경로
true,5751,Head or Tail
true,5800,성적 통계
true,6087,레이저 통신
true,6118,숨바꼭질
true,6190,Another Cow Number Game
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7595,Triangles
true,8393,합
true,8710,Koszykarz
true,8714,Monety
true,8911,거북이
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9295,주사위
true,9316,Hello Judge
true,9325,얼마?
true,9370,미확인 도착지
true,9461,파도반 수열
true,9498,시험 성적
true,9550,아이들은 사탕을 좋아해
true,9613,GCD 합
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9983,더 푸르게
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10156,과자
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10282,해킹
true,10423,전기가 부족해
true,10430,나머지
true,10473,인간 대포
true,10597,순열장난
true,10699,오늘 날짜
true,10707,수도요금
true,10711,모래성
true,10718,We love kriii
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10824,네 수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10943,랜덤 게임~
true,10944,랜덤 게임~~
true,10945,랜덤 게임~~~
true,10946,랜덤 게임~~~~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11109,괴짜 교수
true,11134,쿠키애호가
true,11170,0의 개수
true,11254,Hydraulic Arm
true,11279,최대 힙
true,11286,절댓값 힙
true,11382,꼬마 정민
true,11403,경로 찾기
true,11502,세 개의 소수 문제
true,11506,占쏙옙
true,11549,Identifying tea
true,11557,Yangjojang of The Year
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11948,과목선택
true,11966,2의 제곱인가?
true,12096,
true,12100,2048 (Easy)
true,12102,종이 접기 2
true,12761,돌다리
true,12790,Mini Fantasy War
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12886,돌 그룹
true,13418,학교 탐방하기
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13905,세부
true,13913,숨바꼭질 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14241,슬라임 합치기
true,14431,소수마을
true,14443,채점 소수 번호
true,14470,전자레인지
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14581,팬들에게 둘러싸인 홍준
true,14621,나만 안되는 연애
true,14630,변신로봇
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14681,사분면 고르기
true,14719,빗물
true,14868,문명
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14912,숫자 빈도수
true,14918,더하기
true,14924,폰 노이만과 파리
true,14940,쉬운 최단거리
true,14950,정복자
true,15000,CAPS
true,15059,Hard choice
true,15439,Vera and Outfits
true,15552,빠른 A+B
true,15559,내 선물을 받아줘
true,15596,정수 N개의 합
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15643,Yee
true,15644,구슬 탈출 3
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15680,연세대학교
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15688,수 정렬하기 5
true,15709,정기검진
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15733,나는 누구인가
true,15740,A+B - 9
true,15802,타노스
true,15886,내 선물을 받아줘 2
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15949,Piet
true,15962,새로운 시작
true,15963,CASIO
true,15964,이상한 기호
true,15969,행복
true,16076,휴식이 필요해
true,16170,오늘의 날짜는?
true,16173,점프왕 쩰리 (Small)
true,16174,점프왕 쩰리 (Large)
true,16221,모독
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16394,홍익대학교
true,16398,행성 연결
true,16430,제리와 톰
true,16433,주디와 당근농장
true,16562,친구비
true,16571,알파 틱택토
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16861,Harshad Numbers
true,16926,배열 돌리기 1
true,16927,배열 돌리기 2
true,16928,뱀과 사다리 게임
true,16939,2×2×2 큐브
true,16985,Maaaaaaaaaze
true,16991,외판원 순회 3
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
true,17130,토끼가 정보섬에 올라온 이유
