정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1006,습격자 초라기
true,1007,벡터 매칭
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1013,Contact
true,1014,컨닝
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1020,디지털 카운터
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1023,괄호 문자열
true,1024,수열의 합
true,1025,제곱수 찾기
true,1026,보물
true,1027,고층 건물
true,1028,다이아몬드 광산
true,1029,그림 교환
true,1030,프렉탈 평면
true,1031,스타 대결
true,1032,명령 프롬프트
true,1033,칵테일
true,1034,램프
true,1035,조각 움직이기
true,1036,36진수
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1040,정수
true,1041,주사위
true,1042,움
true,1043,거짓말
true,1044,팀 선발
true,1045,도로
true,1046,그림자
true,1047,울타리
true,1048,유니콘
true,1049,기타줄
true,1050,물약
true,1051,숫자 정사각형
true,1052,물병
true,1053,팰린드롬 공장
true,1054,팰린드롬 문장
true,1055,끝이없음
true,1056,수
true,1057,토너먼트
true,1058,친구
true,1059,수2
true,1060,구간
true,1061,삼각형
true,1062,가르침
true,1063,킹
true,1064,평행사변형
true,1065,한수
true,1066,에이한수
true,1067,이동
true,1068,트리
true,1069,집으로
true,1070,김지민의 침략
true,1071,소트
true,1072,게임
true,1073,도미노
true,1074,Z
true,1075,나누기
true,1076,저항
true,1077,넓이
true,1078,뒤집음
true,1079,마피아
true,1080,행렬
true,1081,합
true,1082,방 번호
true,1083,소트
true,1084,방 번호 2
true,1085,직사각형에서 탈출
true,1086,박성원
true,1087,쥐 잡기
true,1088,케이크
true,1089,엘리베이터
true,1090,체커
true,1091,카드 섞기
true,1092,배
true,1093,스티커 수집
true,1094,막대기
true,1095,마법의 구슬
true,1096,종이 접기
true,1097,마법의 단어
true,1098,쌍둥이 마을
true,1099,알 수 없는 문장
true,1100,하얀 칸
true,1101,스티커 정리 1
true,1102,발전소
true,1103,게임
true,1104,패턴
true,1105,팔
true,1106,호텔
true,1107,리모컨
true,1108,검색 엔진
true,1109,섬
true,1110,더하기 사이클
true,1111,IQ Test
true,1112,진법 변환
true,1113,수영장 만들기
true,1114,통나무 자르기
true,1115,순열
true,1116,순열 2
true,1117,색칠 1
true,1119,그래프
true,1120,문자열
true,1121,도형
true,1122,뒤집기
true,1124,언더프라임
true,1125,바닥 장식
true,1126,같은 탑
true,1129,키
true,1131,숫자
true,1132,합
true,1135,뉴스 전하기
true,1143,경찰
true,1145,적어도 대부분의 배수
true,1146,지그재그 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1154,팀 편성
true,1159,농구 경기
true,1173,운동
true,1182,부분수열의 합
true,1183,약속
true,1184,귀농
true,1185,유럽여행
true,1201,NMK
true,1202,보석 도둑
true,1209,단조수열 만들기
true,1222,홍준 프로그래밍 대회
true,1226,국회
true,1237,정ㅋ벅ㅋ
true,1246,온라인 판매
true,1254,팰린드롬 만들기
true,1280,나무 심기
true,1282,P-수열
true,1289,트리의 가중치
true,1294,문자열 장식
true,1297,TV 크기
true,1328,고층 빌딩
true,1344,축구
true,1359,복권
true,1395,스위치
true,1413,박스 안의 열쇠
true,1415,사탕
true,1416,팬 서비스
true,1459,걷기
true,1461,도서관
true,1462,퀴즈쇼
true,1463,1로 만들기
true,1506,경찰서
true,1520,내리막 길
true,1521,랜덤 소트
true,1541,잃어버린 괄호
true,1546,평균
true,1560,비숍
true,1561,놀이 공원
true,1565,수학
true,1566,P배열
true,1676,팩토리얼 0의 개수
true,1708,볼록 껍질
true,1717,집합의 표현
true,1720,타일 코드
true,1722,순열의 순서
true,1754,진영 순열
true,1758,알바생 강호
true,1773,폭죽쇼
true,1789,수들의 합
true,1793,타일링
true,1796,신기한 키보드
true,1836,트리의 가짓수 세기
true,1849,순열
true,1850,최대공약수
true,1866,택배
true,1912,연속합
true,1920,수 찾기
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1953,팀배분
true,1965,상자넣기
true,1975,Number Game
true,1978,소수 찾기
true,1983,숫자 박스
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2097,조약돌
true,2098,외판원 순회
true,2138,전구와 스위치
true,2167,2차원 배열의 합
true,2193,이친수
true,2263,트리의 순회
true,2285,우체국
true,2300,기지국
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2381,최대 거리
true,2413,비슷한 순열
true,2419,사수아탕
true,2420,사파리월드
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2449,전구
true,2450,모양 정돈
true,2451,모둠
true,2455,지능형 기차
true,2464,비밀번호
true,2475,검증수
true,2487,섞기 수열
true,2493,탑
true,2501,약수 구하기
true,2506,점수계산
true,2512,예산
true,2513,통학버스
true,2541,점
true,2543,초고속철도
true,2548,대표 자연수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2566,최댓값
true,2569,짐정리
true,2581,소수
true,2585,경비행기
true,2600,구슬게임
true,2609,최대공약수와 최소공배수
true,2675,문자열 반복
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2785,체인
true,2786,상근이의 레스토랑
true,2792,보석 상자
true,2802,크레용
true,2806,DNA 발견
true,2820,자동차 공장
true,2824,최대공약수
true,2846,오르막길
true,2848,알고스팟어
true,2854,문제 출제
true,2855,흥미로운 수열
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2875,대회 or 인턴
true,2900,프로그램
true,2904,수학은 너무 쉬워
true,2908,상수
true,2911,전화 복구
true,2922,즐거운 단어
true,2981,검문
true,3015,오아시스 재결합
true,3037,혼란
true,3046,R2
true,3053,택시 기하학
true,3197,백조의 호수
true,3267,TWO
true,3343,장미
true,3429,방어선
true,4002,닌자배치
true,4158,CD
true,4344,평균은 넘겠지
true,4948,베르트랑 공준
true,5000,빵 정렬
true,5003,Eco-driving
true,5012,불만 정렬
true,5042,나무 옮기기
true,5254,Balls
true,5484,정원
true,5485,평균값 수열
true,5498,Batch Scheduling
true,5527,전구 장식
true,5528,달려라 IOI 열차
true,5530,JOIOI 탑
true,5543,상근날드
true,5550,헌책방
true,5561,과자의 분할
true,5573,산책
true,5582,공통 부분 문자열
true,5623,수열의 합
true,5624,좋은 수
true,5626,제단
true,5681,공 쌓기
true,5822,악어의 지하 도시
true,5878,Bookshelf
true,5881,Bookshelf
true,5922,Above the Median
true,5932,Cow Photographs
true,5933,Buying Feed
true,5934,Visiting Cows
true,5960,Cowlphabet
true,5962,Generic Cow Protests
true,5977,Mowing the Lawn
true,6015,Taking Turns
true,6017,Cow Telephones
true,6072,Trick or Treat on the Farm
true,6082,Earthquake Damage
true,6083,The Baric Bovine
true,6086,최대 유량
true,6101,식당
true,6132,전화선
true,6134,Sunscreen
true,6142,Gourmet Grazers
true,6143,문자열 생성 2
true,6151,The Bovine Accordion and Banjo Orchestra
true,6171,땅따먹기
true,6172,Cow Jogging
true,6173,Pearl Pairing
true,6184,Cow Cars
true,6195,Fence Repair
true,6213,Balanced Lineup
true,6214,Problem Solving
true,6222,Building A New Barn
true,6223,Cow Sorting
true,6231,Gold Balanced Lineup
true,6232,Ranking the Cows
true,6233,Face The Right Way
true,6549,히스토그램에서 가장 큰 직사각형
true,6852,Bowling for Numbers++
true,7287,등록
true,7568,덩치
true,7571,점 모으기
true,7579,앱
true,8120,Coding of Permutations
true,8320,직사각형을 만드는 방법
true,8393,합
true,8984,막대기
true,9086,문자열
true,9426,중앙값 측정
true,9443,Arrangement of Contest
true,9498,시험 성적
true,9520,NP-hard
true,9569,No Change
true,9596,바이너리 트리
true,9613,GCD 합
true,9628,KOLINJE
true,9655,돌 게임
true,9764,서로 다른 자연수의 합
true,9867,Optimal Milking
true,9935,문자열 폭발
true,9998,블록 쌓기
true,10067,수열 나누기
true,10160,암호
true,10164,격자상의 경로
true,10220,Self Representing Seq
true,10258,스위치 배열
true,10275,골드 러시
true,10372,Alarm Clock
true,10378,Grave
true,10430,나머지
true,10520,Cent Savings
true,10539,수빈이와 수열
true,10543,ZABAVA
true,10610,30
true,10649,프리스비
true,10670,Moovie Mooving
true,10768,특별한 날
true,10769,행복한지 슬픈지
true,10770,Rövarspråket
true,10772,π-day
true,10773,제로
true,10774,저지
true,10775,공항
true,10776,제국
true,10777,허니버터칩
true,10799,쇠막대기
true,10800,컬러볼
true,10802,369 게임
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10817,세 수
true,10819,차이를 최대로
true,10835,카드게임
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10943,랜덤 게임~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10986,나머지 합
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11049,행렬 곱셈 순서
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11399,ATM
true,11523,Running Steps
true,11648,지속
true,11653,소인수분해
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11723,집합
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11812,K진 트리
true,11873,최대 직사각형
true,11876,PERICA
true,11899,괄호 끼워넣기
true,11924,PIANINO
true,11942,고려대는 사랑입니다
true,11961,High Card Low Card (Platinum)
true,11963,High Card Low Card (Gold)
true,11964,Fruit Feast
true,11982,Angry Cows (Gold)
true,11983,Radio Contact
true,11992,Circular Barn (Platinum)
true,11993,Circular Barn (Gold)
true,11994,Circular Barn Revisited
true,12011,Splitting the Field
true,12012,Closing the Farm (Gold)
true,12013,248 게임
true,12016,라운드 로빈 스케줄러
true,12749,Bosses
true,12808,Binary String
true,12810,Beautiful Partition
true,12844,XOR
true,12846,무서운 아르바이트
true,12860,나머지 게임
true,12862,Love Triangles
true,12872,플레이리스트
true,12875,칙령
true,12878,Blocks
true,12879,카드 세트
true,12884,A Lot of Games
true,12889,특별한 문자열
true,12894,Equivalent Strings
true,12897,Candy
true,12899,데이터 구조
true,12902,Alice and Bob
true,12903,공 색칠하기
true,12909,그래프 만들기
true,12920,평범한 배낭 2
true,12927,배수 스위치
true,12931,두 배 더하기
true,12934,턴 게임
true,12938,곱으로 분해하기
true,12947,트리 만들기
true,12979,종이 접기
true,12995,트리나라
true,12996,Acka
true,13007,ntopia
true,13146,같은 수로 만들기 2
true,13260,문자열 자르기
true,13261,탈옥
true,13262,수열의 OR 점수
true,13263,나무 자르기
true,13325,이진 트리
true,13330,유사 팰린드롬
true,13333,Q-인덱스
true,13334,철로
true,13335,트럭
true,13397,구간 나누기 2
true,13398,연속합 2
true,13413,오셀로 재배치
true,13414,수강신청
true,13415,정렬 게임
true,13416,주식 투자
true,13417,카드 문자열
true,13418,학교 탐방하기
true,13419,탕수육
true,13420,사칙연산
true,13421,국민 랜드
true,13422,도둑
true,13423,Three Dots
true,13424,비밀 모임
true,13448,SW 역량 테스트
true,13537,수열과 쿼리 1
true,13757,빼빼로 데이
true,13900,순서쌍의 곱의 합
true,13901,로봇
true,13902,개업 2
true,13903,출근
true,13904,과제
true,13905,세부
true,13906,대문자
true,13907,세금
true,13908,비밀번호
true,13909,창문 닫기
true,13910,개업
true,13911,집 구하기
true,13912,외계 생물
true,14165,Team Building
true,14207,약수 도로
true,14222,배열과 연산
true,14240,부분 수열의 점수
true,14241,슬라임 합치기
true,14242,아름다운 그래프
true,14246,K보다 큰 구간
true,14251,늑대 2
true,14257,XOR 방정식
true,14281,볼록 수열
true,14449,Balanced Photo
true,14450,"Hoof, Paper, Scissors (Gold)"
true,14451,안대 낀 스피드러너
true,14517,팰린드롬 개수 구하기 (Large)
