정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1086,박성원
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1107,리모컨
true,1110,더하기 사이클
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1183,약속
true,1188,음식 평론가
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1234,크리스마스 트리
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1296,데이트
true,1297,TV 크기
true,1301,비즈 공예
true,1302,베스트셀러
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1408,24
true,1427,소트인사이드
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1476,날짜 계산
true,1484,다이어트
true,1494,절댓값 수열
true,1495,기타리스트
true,1502,숫자 퍼즐 ≤ 8
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1513,경로 찾기
true,1514,자물쇠
true,1516,게임 개발
true,1546,평균
true,1550,16진수
true,1551,수열의 변화
true,1562,계단 수
true,1563,개근상
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1648,격자판 채우기
true,1660,캡틴 이다솜
true,1672,DNA 해독
true,1676,팩토리얼 0의 개수
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1720,타일 코드
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1789,수들의 합
true,1793,타일링
true,1806,부분합
true,1822,차집합
true,1850,최대공약수
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1951,활자
true,1956,운동
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1967,트리의 지름
true,1977,완전제곱수
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2014,소수의 곱
true,2056,작업
true,2078,무한이진트리
true,2103,직교다각형 복원
true,2108,통계학
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2225,합분해
true,2228,구간 나누기
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2262,토너먼트 만들기
true,2266,금고 테스트
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2306,유전자
true,2312,수 복원하기
true,2331,반복수열
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2410,2의 멱수의 합
true,2436,공약수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2460,지능형 기차 2
true,2494,숫자 맞추기
true,2548,대표 자연수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2567,색종이 - 2
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2588,곱셈
true,2606,바이러스
true,2607,비슷한 단어
true,2615,오목
true,2616,소형기관차
true,2632,피자판매
true,2638,치즈
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2703,Cryptoquote
true,2711,오타맨 고창영
true,2718,타일 채우기
true,2738,행렬 덧셈
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2776,암기왕
true,2864,5와 6의 차이
true,2884,알람 시계
true,2897,몬스터 트럭
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2957,이진 탐색 트리
true,2965,캥거루 세마리
true,3009,네 번째 점
true,3015,오아시스 재결합
true,3028,창영마을
true,3029,경고
true,3040,백설 공주와 일곱 난쟁이
true,3041,N-퍼즐
true,3042,트리플렛
true,3046,R2
true,3047,ABC
true,3048,개미
true,3049,다각형의 대각선
true,3050,집들이
true,3052,나머지
true,3053,택시 기하학
true,3054,피터팬 프레임
true,3055,탈출
true,3066,브리징 시그널
true,3103,순열의 순서
true,3176,도로 네트워크
true,3644,그래프 매칭
true,3967,매직 스타
true,4101,크냐?
true,4153,직각삼각형
true,4195,친구 네트워크
true,4383,점프는 즐거워
true,4766,일반 화학 실험
true,4811,알약
true,4821,페이지 세기
true,4883,삼각 그래프
true,4963,섬의 개수
true,4999,아!
true,5014,스타트링크
true,5032,탄산 음료
true,5347,LCM
true,5427,불
true,5431,책 쌓기
true,5543,상근날드
true,5557,1학년
true,5565,영수증
true,5569,출근 경로
true,5576,콘테스트
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5618,공약수
true,5622,다이얼
true,5635,생일
true,5800,성적 통계
true,5875,오타
true,5988,홀수일까 짝수일까
true,6086,최대 유량
true,6359,만취한 상범
true,6502,동혁 피자
true,6549,히스토그램에서 가장 큰 직사각형
true,6591,이항 쇼다운
true,6603,로또
true,7287,등록
true,7510,고급 수학
true,7562,나이트의 이동
true,7567,그릇
true,7570,줄 세우기
true,7572,간지(干支)
true,7770,아즈텍 피라미드
true,7785,회사에 있는 사람
true,7812,중앙 트리
true,8393,합
true,8958,OX퀴즈
true,8980,택배
true,8981,입력숫자
true,8983,사냥꾼
true,8984,막대기
true,9012,괄호
true,9019,DSLR
true,9076,점수 집계
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9237,이장님 초대
true,9251,LCS
true,9252,LCS 2
true,9295,주사위
true,9325,얼마?
true,9461,파도반 수열
true,9465,스티커
true,9472,알고리즘 기말고사
true,9498,시험 성적
true,9501,꿍의 우주여행
true,9550,아이들은 사탕을 좋아해
true,9610,사분면
true,9655,돌 게임
true,9659,돌 게임 5
true,9663,N-Queen
true,9935,문자열 폭발
true,9999,구구
true,10102,개표
true,10156,과자
true,10159,저울
true,10162,전자레인지
true,10163,색종이
true,10164,격자상의 경로
true,10166,관중석
true,10174,팰린드롬
true,10212,Mystery
true,10218,Maze
true,10419,지각
true,10430,나머지
true,10451,순열 사이클
true,10571,다이아몬드
true,10610,30
true,10699,오늘 날짜
true,10707,수도요금
true,10757,큰 수 A+B
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10824,네 수
true,10828,스택
true,10844,쉬운 계단 수
true,10864,친구
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10918,Zu
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,11003,최솟값 찾기
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11067,모노톤길
true,11134,쿠키애호가
true,11279,최대 힙
true,11375,열혈강호
true,11383,뚊
true,11403,경로 찾기
true,11404,플로이드
true,11438,LCA 2
true,11506,占쏙옙
true,11509,풍선 맞추기
true,11587,MARKO
true,11588,GEPPETTO
true,11650,좌표 정렬하기
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11779,최소비용 구하기 2
true,11780,플로이드 2
true,11800,Tawla
true,11881,지우개
true,11922,BELA
true,11931,수 정렬하기 4
true,11943,파일 옮기기
true,11948,과목선택
true,11949,번호표 교환
true,11954,NIZOVI
true,11966,2의 제곱인가?
true,11967,불켜기
true,11968,High Card Wins
true,11969,Breed Counting
true,11970,Fence Painting
true,11971,속도 위반
true,11972,Contaminated Milk
true,11985,오렌지 출하
true,12014,주식
true,12015,가장 긴 증가하는 부분 수열 2
true,12778,CTP공국으로 이민 가자
true,12779,상품 is 뭔들
true,12782,비트 우정지수
true,12785,토쟁이의 등굣길
true,12788,제 2회 IUPC는 잘 개최될 수 있을까?
true,12790,Mini Fantasy War
true,12791,Starman
true,12792,주작 주 주작
true,12796,나의 행렬곱셈 답사기
true,12813,이진수 연산
true,12833,XORXORXOR
true,12869,뮤탈리스크
true,12888,완전 이진 트리 도로 네트워크
true,12919,A와 B 2
true,12947,트리 만들기
true,13013,접미사 배열 2
true,13116,30번
true,13118,뉴턴과 사과
true,13119,Mountains Beyond Mountains
true,13144,List of Unique Numbers
true,14204,표 정렬
true,14215,세 막대
true,14217,그래프 탐색
true,14218,그래프 탐색 2
true,14219,막대과자 포장
true,14220,양아치 집배원
true,14222,배열과 연산
true,14223,작은 정사각형 1
true,14226,이모티콘
true,14228,물탱크
true,14231,박스 포장
true,14235,크리스마스 선물
true,14241,슬라임 합치기
true,14244,트리 만들기
true,14245,XOR
true,14252,공약수열
true,14256,SSR
true,14264,정육각형과 삼각형
true,14267,내리 칭찬
true,14271,그리드 게임
true,14281,볼록 수열
true,14284,간선 이어가기 2
true,14286,간선 끊어가기 2
true,14391,종이 조각
true,14394,9-퍼즐
false,1003,피보나치 함수
false,1023,괄호 문자열
false,1475,방 번호
false,1520,내리막 길
false,1865,웜홀
false,1978,소수 찾기
false,2098,외판원 순회
false,2580,스도쿠
false,3044,자전거 경주 준비하기
false,7453,합이 0인 네 정수
false,9613,GCD 합
false,10755,컴퓨터실
false,10834,벨트
false,11437,LCA
false,11657,타임머신
false,13137,Exchange Problem
false,14227,빨간 버튼 파란 버튼
false,14246,K보다 큰 구간
false,14395,4연산
