정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1033,칵테일
true,1037,약수
true,1043,거짓말
true,1049,기타줄
true,1051,숫자 정사각형
true,1052,물병
true,1057,토너먼트
true,1058,친구
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1080,행렬
true,1082,방 번호
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1126,같은 탑
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1173,운동
true,1181,단어 정렬
true,1188,음식 평론가
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1205,등수 구하기
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1236,성 지키기
true,1238,파티
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1285,동전 뒤집기
true,1297,TV 크기
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1301,비즈 공예
true,1302,베스트셀러
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1337,올바른 배열
true,1342,행운의 문자열
true,1348,주차장
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1415,사탕
true,1417,국회의원 선거
true,1420,학교 가지마!
true,1421,나무꾼 이다솜
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1439,뒤집기
true,1448,삼각형 만들기
true,1450,냅색문제
true,1459,걷기
true,1461,도서관
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1493,박스 채우기
true,1495,기타리스트
true,1507,궁금한 민호
true,1508,레이스
true,1516,게임 개발
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1568,새
true,1613,역사
true,1614,영식이의 손가락
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1668,트로피 진열
true,1669,멍멍이 쓰다듬기
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1715,카드 정렬하기
true,1726,로봇
true,1727,커플 만들기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1764,듣보잡
true,1766,문제집
true,1783,병든 나이트
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1818,책정리
true,1826,연료 채우기
true,1850,최대공약수
true,1867,돌멩이 제거
true,1890,점프
true,1904,01타일
true,1911,흙길 보수하기
true,1912,연속합
true,1916,최소비용 구하기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,2010,플러그
true,2012,등수 매기기
true,2026,소풍
true,2033,반올림
true,2089,-2진수
true,2110,공유기 설치
true,2141,우체국
true,2146,다리 만들기
true,2156,포도주 시식
true,2157,여행
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2211,네트워크 복구
true,2212,센서
true,2217,로프
true,2229,조 짜기
true,2231,분해합
true,2251,물통
true,2252,줄 세우기
true,2258,정육점
true,2261,가장 가까운 두 점
true,2293,동전 1
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2316,도시 왕복하기 2
true,2352,반도체 설계
true,2358,평행선
true,2399,거리의 합
true,2419,사수아탕
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2490,윷놀이
true,2512,예산
true,2525,오븐 시계
true,2557,Hello World
true,2558,A+B - 2
true,2563,색종이
true,2577,숫자의 개수
true,2579,계단 오르기
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2629,양팔저울
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2783,삼각 김밥
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2822,점수 계산
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2846,오르막길
true,2847,게임을 만든 동준이
true,2851,슈퍼 마리오
true,2854,문제 출제
true,2858,기숙사 바닥
true,2864,5와 6의 차이
true,2865,나는 위대한 슈퍼스타K
true,2869,달팽이는 올라가고 싶다
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2878,캔디캔디
true,2884,알람 시계
true,2887,행성 터널
true,2891,카약과 강풍
true,2908,상수
true,2909,캔디 구매
true,2911,전화 복구
true,2912,백설공주와 난쟁이
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2939,택배 배달
true,2953,나는 요리사다
true,2959,거북이
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2980,도로와 신호등
true,2981,검문
true,3020,개똥벌레
true,3023,마술사 이민혁
true,3034,앵그리 창영
true,3046,R2
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3109,빵집
true,3184,양
true,3190,뱀
true,3665,최종 순위
true,4153,직각삼각형
true,4179,불!
true,4198,열차정렬
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4504,배수 찾기
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5032,탄산 음료
true,5063,TGN
true,5214,환승
true,5427,불
true,5532,방학 숙제
true,5533,유니크
true,5543,상근날드
true,5554,심부름 가는 길
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5576,콘테스트
true,5585,거스름돈
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5612,터널의 입구와 출구
true,5618,공약수
true,5719,거의 최단 경로
true,6118,숨바꼭질
true,6359,만취한 상범
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8320,직사각형을 만드는 방법
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9550,아이들은 사탕을 좋아해
true,9576,책 나눠주기
true,9613,GCD 합
true,9663,N-Queen
true,10039,평균 점수
true,10159,저울
true,10272,현상금 사냥꾼 김정은
true,10282,해킹
true,10409,서버
true,10430,나머지
true,10539,수빈이와 수열
true,10569,다면체
true,10610,30
true,10707,수도요금
true,10718,We love kriii
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10824,네 수
true,10825,국영수
true,10844,쉬운 계단 수
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10971,외판원 순회 2
true,10984,내 학점을 구해줘
true,10989,수 정렬하기 3
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11375,열혈강호
true,11376,열혈강호 2
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11568,민균이의 계략
true,11570,환상의 듀엣
true,11576,Base Conversion
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,12019,동아리방 청소!
true,12100,2048 (Easy)
true,12790,Mini Fantasy War
true,12791,Starman
true,13460,구슬 탈출 2
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14891,톱니바퀴
true,15649,N과 M (1)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,17140,이차원 배열과 연산
true,17143,낚시왕
true,18310,안테나
false,1005,ACM Craft
false,1092,배
false,1152,단어의 개수
false,1405,미친 로봇
false,1504,특정한 최단 경로
false,1676,팩토리얼 0의 개수
false,1700,멀티탭 스케줄링
false,1713,후보 추천하기
false,1717,집합의 표현
false,1722,순열의 순서
false,1744,수 묶기
false,1773,폭죽쇼
false,1919,애너그램 만들기
false,1949,우수 마을
false,2001,보석 줍기
false,2133,타일 채우기
false,2240,자두나무
false,2529,부등호
false,2631,줄세우기
false,2935,소음
false,3047,ABC
false,5052,전화번호 목록
false,5431,책 쌓기
false,5545,최고의 피자
false,5639,이진 검색 트리
false,6064,카잉 달력
false,6086,최대 유량
false,9205,맥주 마시면서 걸어가기
false,10026,적록색약
false,10953,A+B - 6
false,11377,열혈강호 3
false,13458,시험 감독
